Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Servicios. Contratos indefinidos registrados en las oficinas de empleo en servicios. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1071;Patones;8;11;15;12;8;13;12;12;28;16;14;8;25;46;35;
Municipios;1087;Pedrezuela;120;95;51;79;85;106;103;103;127;152;165;135;195;249;248;
Municipios;1090;Pelayos de la Presa;53;15;21;38;30;30;40;37;44;48;58;47;59;193;104;
Municipios;1104;Perales de Tajuña;26;14;9;13;17;30;38;24;24;25;33;21;22;167;160;
Municipios;1111;Pezuela de las Torres;8;12;2;12;6;4;7;8;2;9;9;8;15;26;31;
Municipios;1126;Pinilla del Valle;4;0;1;4;3;0;0;1;0;0;1;4;8;14;11;
Municipios;1132;Pinto;1222;992;1074;1242;1249;1411;1533;1772;2013;2305;1981;1438;2000;5246;4816;
Municipios;1147;Piñuécar-Gandullas;88;7;0;2;2;1;8;3;5;2;2;3;1;2;5;
Municipios;1150;Pozuelo de Alarcón;3969;4156;5246;9353;6265;6478;8364;8979;10088;10720;11184;7202;10138;15849;14035;
Municipios;1163;Pozuelo del Rey;11;5;10;12;10;16;15;32;15;11;14;12;21;46;28;
Municipios;1179;Prádena del Rincón;1;0;1;2;3;1;2;2;1;8;3;1;5;2;11;
Municipios;1185;Puebla de la Sierra;2;0;2;1;1;2;2;1;1;2;1;2;5;1;4;
Municipios;9020;Puentes Viejas;7;13;4;6;1;6;13;6;7;10;10;6;6;28;14;
Municipios;1198;Quijorna;21;61;22;51;33;27;62;40;31;27;27;31;46;92;70;
Municipios;1202;Rascafría;23;38;21;19;29;23;26;43;45;55;28;35;51;128;110;
Municipios;1219;Redueña;15;6;0;3;2;5;21;7;4;10;8;11;7;14;16;
Municipios;1224;Ribatejada;3;6;6;9;4;3;13;6;9;5;3;5;11;17;19;
Municipios;1230;Rivas-Vaciamadrid;1252;1424;1298;2114;1704;2339;2417;2752;3344;3727;3471;2397;3160;7951;7716;
Municipios;1245;Robledillo de la Jara;2;2;4;2;4;1;1;3;2;0;0;0;4;3;10;
Municipios;1258;Robledo de Chavela;39;52;30;60;40;48;30;39;39;47;57;46;53;144;210;
Municipios;1261;Robregordo;2;0;1;0;1;0;1;1;0;5;1;1;0;1;1;
Municipios;1277;Rozas de Madrid (Las);3999;3762;3621;7037;4563;5615;6199;6176;8079;8498;7764;5414;7488;16558;14832;
Municipios;1283;Rozas de Puerto Real;3;3;6;8;18;4;7;13;13;19;14;19;16;54;41;
