Serie;Codigo_municipio;Nombre;total_num;huertos_consumo_propio;tierra_pastos
Municipios;1697;Venturada;12;1;6
Municipios;1718;Villa del Prado;266;22;23
Municipios;1701;Villaconejos;106;3;2
Municipios;1723;Villalbilla;25;2;2
Municipios;1739;Villamanrique de Tajo;33;0;3
Municipios;1744;Villamanta;62;8;15
Municipios;1757;Villamantilla;7;1;5
Municipios;1782;Villanueva de Perales;6;0;4
Municipios;1760;Villanueva de la Cañada;6;1;2
Municipios;1776;Villanueva del Pardillo;12;0;5
Municipios;1795;Villar del Olmo;24;3;5
Municipios;1809;Villarejo de Salvanés;472;9;21
Municipios;1816;Villaviciosa de Odón;31;8;10
Municipios;1821;Villavieja del Lozoya;8;0;8
Municipios;1837;Zarzalejo;14;3;14
