Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de actividades financieras y de seguros. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;1230;Rivas-Vaciamadrid;349;411;428;411;401;401;447;406;400;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;22;22;19;18;17;19;19;18;16;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);2041;1978;1385;1507;1519;1498;1997;1857;1961;
Municipios;1283;Rozas de Puerto Real;260;240;0;0;1;0;0;159;155;
Municipios;1296;San Agustín del Guadalix;77;74;80;76;69;75;76;83;86;
Municipios;1300;San Fernando de Henares;268;257;345;347;447;438;409;393;305;
Municipios;1317;San Lorenzo de El Escorial;64;58;56;60;53;64;58;66;68;
Municipios;1338;San Martín de Valdeiglesias;48;47;47;49;47;54;51;59;56;
Municipios;1322;San Martín de la Vega;49;51;48;50;54;67;59;87;89;
Municipios;1343;San Sebastián de los Reyes;623;599;612;747;851;820;778;826;883;
Municipios;1356;Santa María de la Alameda;2;2;2;2;2;2;2;3;3;
Municipios;1369;Santorcaz;0;0;0;0;0;0;0;0;0;
Municipios;1375;Santos de la Humosa (Los);6;7;2;4;3;3;1;0;0;
Municipios;1381;Serna del Monte (La);0;0;1;1;0;0;0;0;0;
Municipios;1408;Serranillos del Valle;17;19;19;21;21;19;20;22;24;
Municipios;1415;Sevilla la Nueva;52;50;61;61;62;59;46;45;41;
Municipios;1436;Somosierra;0;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;41;44;46;47;46;40;41;49;49;
Municipios;1454;Talamanca de Jarama;8;11;7;8;4;4;4;3;3;
Municipios;1467;Tielmes;20;9;9;9;9;11;13;17;14;
Municipios;1473;Titulcia;1;1;1;2;3;3;1;1;2;
Municipios;1489;Torrejón de Ardoz;707;706;682;727;673;690;741;716;689;
Municipios;1505;Torrejón de Velasco;27;29;31;29;28;26;29;30;31;
Municipios;1492;Torrejón de la Calzada;51;53;52;54;43;37;38;36;33;
Municipios;1512;Torrelaguna;34;29;24;27;21;21;23;22;22;
Municipios;1527;Torrelodones;97;111;122;128;128;145;164;174;169;
Municipios;1533;Torremocha de Jarama;4;3;3;3;2;2;2;8;9;
Municipios;1548;Torres de la Alameda;19;22;21;25;23;31;38;38;39;
Municipios;9036;Tres Cantos;2126;2167;2146;2299;2394;2511;2802;2868;2824;
Municipios;1551;Valdaracete;0;0;0;0;0;0;0;0;0;
Municipios;1564;Valdeavero;5;5;5;5;5;2;1;1;2;
Municipios;1570;Valdelaguna;0;0;0;0;0;0;0;2;3;
Municipios;1586;Valdemanco;1;1;1;1;2;1;1;3;3;
Municipios;1599;Valdemaqueda;0;0;0;0;0;0;0;0;0;
Municipios;1603;Valdemorillo;38;43;48;48;49;57;44;49;46;
Municipios;1610;Valdemoro;357;362;333;336;319;332;327;341;336;
Municipios;1625;Valdeolmos-Alalpardo;11;14;12;15;13;10;11;16;14;
Municipios;1631;Valdepiélagos;0;0;0;0;0;0;1;1;1;
Municipios;1646;Valdetorres de Jarama;18;18;20;19;21;19;21;53;50;
Municipios;1659;Valdilecha;11;13;14;14;15;13;14;21;18;
Municipios;1662;Valverde de Alcalá;0;0;0;0;1;1;0;0;0;
Municipios;1678;Velilla de San Antonio;37;38;43;43;38;43;48;39;36;
Municipios;1684;Vellón (El);5;6;6;6;6;6;7;12;10;
Municipios;1697;Venturada;4;6;7;5;9;11;10;11;10;
Municipios;1718;Villa del Prado;10;11;15;16;19;16;19;24;22;
Municipios;1701;Villaconejos;17;18;18;16;14;15;16;17;17;
Municipios;1723;Villalbilla;56;62;64;67;60;59;39;54;53;
Municipios;1739;Villamanrique de Tajo;1;2;2;0;0;0;1;1;0;
Municipios;1744;Villamanta;10;10;12;12;14;14;15;25;21;
Municipios;1757;Villamantilla;1;2;2;3;3;2;2;2;2;
Municipios;1782;Villanueva de Perales;2;4;4;6;2;3;3;3;3;
Municipios;1760;Villanueva de la Cañada;76;87;106;110;104;110;102;122;115;
Municipios;1776;Villanueva del Pardillo;82;87;89;98;93;93;90;116;122;
Municipios;1795;Villar del Olmo;3;5;5;4;3;3;4;3;3;
Municipios;1809;Villarejo de Salvanés;31;29;32;32;28;40;29;29;27;
Municipios;1816;Villaviciosa de Odón;173;204;161;154;171;166;188;193;180;
Municipios;1821;Villavieja del Lozoya;0;0;0;0;2;3;3;3;3;
Municipios;1837;Zarzalejo;12;5;3;4;5;5;5;5;5;(A) Avance ;
Notas;
(Base 2015);
;
Datos a 1 de enero de cada año.;
