Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Contratos temporales registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadística de Contratos Registrados. Ministerio de Trabajo y Economía Social.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Municipios;1006;Nuevo Baztán;2565;11050;10418;6253;4348;2453;566;307;545;1099;426;406;517;419;375;394;420;206;
Municipios;1013;Olmeda de las Fuentes;38;36;43;33;29;34;34;18;35;16;22;24;8;10;23;37;26;26;
Municipios;1028;Orusco de Tajuña;98;131;106;73;82;91;111;62;69;90;83;93;103;74;59;68;59;70;
Municipios;1049;Paracuellos de Jarama;2948;3694;2910;2576;2165;2684;2379;2606;3270;4848;5008;6686;7448;6413;6442;3509;4010;2332;
Municipios;1065;Parla;11617;12590;11900;9942;7869;7715;8240;6848;6855;7323;7640;9733;9662;9596;9732;7989;10917;10050;
Municipios;1071;Patones;106;119;120;80;82;119;118;120;140;238;330;313;364;274;163;145;135;67;
Municipios;1087;Pedrezuela;962;1035;783;724;511;383;458;317;290;362;377;475;548;535;526;428;413;232;
Municipios;1090;Pelayos de la Presa;210;327;278;334;232;165;183;144;199;202;232;249;258;243;263;286;302;226;
Municipios;1104;Perales de Tajuña;394;294;189;250;222;234;119;123;131;155;160;184;178;193;222;175;333;194;
Municipios;1111;Pezuela de las Torres;67;61;53;32;32;69;45;45;52;35;52;61;60;63;121;64;137;75;
Municipios;1126;Pinilla del Valle;19;32;66;29;63;25;23;13;14;14;15;19;21;29;41;17;33;25;
Municipios;1132;Pinto;20764;21825;21673;16682;10546;11431;13758;12268;10142;11790;13407;13653;16491;18156;20638;16230;20832;12345;
Municipios;1147;Piñuécar-Gandullas;150;127;87;29;21;46;17;16;15;11;4;23;20;14;15;9;26;19;
Municipios;1150;Pozuelo de Alarcón;18696;22242;22698;23615;20064;21451;23969;21454;24747;27808;41272;47246;48598;52930;53575;26449;31358;21578;
Municipios;1163;Pozuelo del Rey;143;176;163;184;75;56;47;92;77;68;95;93;63;81;93;61;87;54;
Municipios;1179;Prádena del Rincón;27;35;20;22;32;21;13;4;19;18;20;21;15;15;20;23;24;24;
Municipios;1185;Puebla de la Sierra;60;105;69;37;24;22;18;22;5;12;13;10;20;6;6;20;17;8;
Municipios;9020;Puentes Viejas;34;41;48;70;172;49;26;176;12;165;387;50;84;59;119;50;132;54;
Municipios;1198;Quijorna;276;263;205;348;202;385;178;210;174;253;286;500;356;303;385;342;320;272;
Municipios;1202;Rascafría;968;760;876;800;586;420;635;597;601;318;158;217;191;218;268;222;202;148;
Municipios;1219;Redueña;58;61;80;26;74;89;54;19;26;49;21;19;55;29;36;32;51;28;
Municipios;1224;Ribatejada;43;57;64;53;48;51;47;54;54;58;77;50;179;115;252;90;93;85;
Municipios;1230;Rivas-Vaciamadrid;9762;12520;14093;10563;7870;9620;12967;11857;14491;11668;12382;14364;16308;15043;16164;11591;15916;10100;
Municipios;1245;Robledillo de la Jara;25;119;34;14;30;23;48;9;8;14;14;14;11;18;12;17;8;21;
Municipios;1258;Robledo de Chavela;211;290;279;250;208;279;300;250;163;262;362;399;512;565;513;296;492;392;
Municipios;1261;Robregordo;6;14;5;8;7;14;7;4;1;5;5;7;10;9;6;15;8;9;
Municipios;1277;Rozas de Madrid (Las);18648;19955;19980;19659;16766;17889;18162;17885;23083;26372;34889;28569;27950;31452;30671;24651;23795;13610;
Municipios;1283;Rozas de Puerto Real;47;39;45;82;34;66;75;57;65;96;83;118;107;90;191;82;133;86;
Municipios;1296;San Agustín del Guadalix;2634;2965;3004;2552;1742;2541;2510;2706;4511;2622;1711;2020;2416;2366;2739;1920;2563;2640;
Municipios;1300;San Fernando de Henares;7328;7284;9138;6647;5182;5276;5896;6373;7047;8324;12110;16575;14724;15262;17768;15880;17363;10078;
Municipios;1317;San Lorenzo de El Escorial;2542;2664;2287;2003;2224;2138;2087;2014;2834;3501;4671;2988;3100;4539;4366;2083;2391;2869;
Municipios;1338;San Martín de Valdeiglesias;1097;1157;1314;1216;999;878;1079;944;826;841;913;879;1197;1296;1293;1187;1174;873;
Municipios;1322;San Martín de la Vega;3638;4613;4524;4001;3249;3529;3749;3053;3974;3751;3657;3681;4183;4330;4473;2351;3503;2340;
Municipios;1343;San Sebastián de los Reyes;36188;31158;27749;25895;22148;24700;24468;18376;22415;25241;29138;32450;33375;32204;34198;26035;34863;26884;
Municipios;1356;Santa María de la Alameda;79;86;80;74;98;90;109;59;42;54;41;61;92;62;97;80;94;56;
Municipios;1369;Santorcaz;133;97;70;81;41;32;50;36;51;23;34;46;27;25;24;25;94;34;
Municipios;1375;Santos de la Humosa (Los);275;162;89;98;72;62;72;76;88;83;117;96;86;92;75;93;111;61;
Municipios;1381;Serna del Monte (La);20;28;20;14;24;17;6;8;18;20;15;20;11;15;7;10;16;2;
Municipios;1408;Serranillos del Valle;423;472;411;430;326;430;371;301;259;307;304;309;339;693;1115;438;626;306;
Municipios;1415;Sevilla la Nueva;746;805;799;912;860;988;717;584;735;724;747;786;801;932;901;726;762;599;
Municipios;1436;Somosierra;49;10;27;20;36;54;17;72;9;17;15;14;21;58;41;10;30;19;
Municipios;1441;Soto del Real;831;864;740;561;556;606;601;582;595;562;614;658;603;692;744;647;812;385;
Municipios;1454;Talamanca de Jarama;418;425;383;250;568;1189;640;228;224;303;461;387;372;347;566;199;398;784;
Municipios;1467;Tielmes;241;266;252;199;600;1136;170;103;96;119;158;218;230;253;270;198;366;405;
Municipios;1473;Titulcia;121;109;167;94;44;60;73;80;64;75;92;135;102;115;128;136;317;551;
