Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Construcción. Contratos temporales registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0796;Madrid;97395;87616;71359;61908;58281;72295;76843;77307;83124;82595;68419;61695;63373;20854;11315;
Municipios;0800;Majadahonda;752;758;1011;705;600;734;844;651;710;846;763;623;791;217;79;
Municipios;0822;Manzanares el Real;113;97;70;64;65;56;45;51;236;298;40;32;43;20;12;
Municipios;0838;Meco;604;449;385;402;402;362;273;402;405;391;325;277;356;114;41;
Municipios;0843;Mejorada del Campo;808;661;490;346;379;337;333;305;437;460;482;383;380;114;57;
Municipios;0856;Miraflores de la Sierra;62;70;74;59;34;51;42;39;42;34;40;42;39;12;1;
Municipios;0869;Molar (El);150;159;99;88;50;67;82;94;109;115;102;69;150;38;10;
Municipios;0875;Molinos (Los);75;117;82;44;41;21;34;35;19;26;36;36;31;7;2;
Municipios;0881;Montejo de la Sierra;13;0;0;2;6;1;3;1;0;2;3;2;0;0;0;
Municipios;0894;Moraleja de Enmedio;167;166;137;99;102;89;87;132;288;227;307;213;188;75;26;
Municipios;0908;Moralzarzal;112;75;87;134;136;95;108;102;158;167;274;119;206;16;12;
Municipios;0915;Morata de Tajuña;167;93;116;53;40;57;50;49;59;74;97;69;66;19;15;
Municipios;0920;Móstoles;4307;4676;3705;2508;2339;2331;2737;2423;2300;2381;2378;2250;1898;499;221;
Municipios;0936;Navacerrada;34;54;25;17;11;18;49;28;21;9;32;28;46;12;6;
Municipios;0941;Navalafuente;6;5;3;0;4;12;30;16;10;4;2;8;3;8;1;
Municipios;0954;Navalagamella;48;31;19;29;23;80;25;0;1;15;7;8;14;4;0;
Municipios;0967;Navalcarnero;566;462;255;254;208;256;306;266;393;352;321;321;358;132;69;
Municipios;0973;Navarredonda y San Mamés;8;0;16;1;0;6;6;3;1;21;9;4;2;0;0;
Municipios;0992;Navas del Rey;80;64;22;30;23;44;35;35;28;32;31;23;32;5;1;
Municipios;1006;Nuevo Baztán;407;340;209;66;66;94;142;89;164;116;91;66;65;20;41;
Municipios;1013;Olmeda de las Fuentes;5;9;14;9;20;2;4;5;0;0;1;4;6;1;2;
Municipios;1028;Orusco de Tajuña;26;18;22;6;0;2;2;7;3;3;2;2;5;6;6;
Municipios;1049;Paracuellos de Jarama;509;406;384;426;344;466;344;397;523;476;451;327;329;99;45;
Municipios;1065;Parla;1734;1506;1576;983;1407;1221;1336;1717;1410;1409;1429;1573;1427;459;141;
