Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Total ocupados en unidades productivas. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;1087;Pedrezuela;919;917;951;987;1022;1051;1032;1083;1053;
Municipios;1090;Pelayos de la Presa;477;486;494;531;571;584;627;685;710;
Municipios;1104;Perales de Tajuña;519;495;542;563;562;569;572;616;609;
Municipios;1111;Pezuela de las Torres;202;177;180;178;189;180;184;197;207;
Municipios;1126;Pinilla del Valle;44;27;29;26;24;37;30;32;67;
Municipios;1132;Pinto;17984;18671;19053;20967;21729;22276;22206;23057;23726;
Municipios;1147;Piñuécar-Gandullas;46;48;53;50;48;48;50;80;131;
Municipios;1150;Pozuelo de Alarcón;64207;65773;70230;71073;74592;77110;75523;77587;81280;
Municipios;1163;Pozuelo del Rey;136;129;143;140;177;190;177;153;191;
Municipios;1179;Prádena del Rincón;40;46;53;53;62;57;65;87;108;
Municipios;1185;Puebla de la Sierra;22;17;21;32;21;18;24;39;72;
Municipios;9020;Puentes Viejas;122;137;140;155;188;182;176;227;365;
Municipios;1198;Quijorna;441;424;470;474;538;529;530;547;598;
Municipios;1202;Rascafría;511;463;567;532;553;593;587;607;648;
Municipios;1219;Redueña;143;132;145;189;190;232;208;197;236;
Municipios;1224;Ribatejada;163;142;152;160;162;178;174;192;212;
Municipios;1230;Rivas-Vaciamadrid;20815;22923;24722;25141;26060;28310;28701;30978;31270;
Municipios;1245;Robledillo de la Jara;25;25;28;26;26;26;41;51;82;
Municipios;1258;Robledo de Chavela;815;786;835;909;966;963;932;1014;1051;
Municipios;1261;Robregordo;24;24;25;25;26;26;34;46;65;
Municipios;1277;Rozas de Madrid (Las);52803;54349;57224;59442;59985;56163;52814;54526;57382;
Municipios;1283;Rozas de Puerto Real;463;460;386;511;546;588;557;583;590;
Municipios;1296;San Agustín del Guadalix;3982;4170;4317;4562;4687;4379;4630;4989;5410;
Municipios;1300;San Fernando de Henares;18118;18733;20818;22242;24174;25755;25250;27224;27152;
Municipios;1317;San Lorenzo de El Escorial;5061;5345;5525;5515;5889;6050;5688;5190;5581;
Municipios;1338;San Martín de Valdeiglesias;1796;1827;1892;1981;2098;2127;2049;2547;2532;
Municipios;1322;San Martín de la Vega;4834;4899;4961;5182;5533;5632;5532;5834;6030;
Municipios;1343;San Sebastián de los Reyes;39865;41902;42453;44844;44198;45486;44123;47054;48321;
Municipios;1356;Santa María de la Alameda;227;223;228;261;267;294;291;353;486;
Municipios;1369;Santorcaz;89;87;89;90;86;79;130;175;214;
Municipios;1375;Santos de la Humosa (Los);327;321;341;345;364;376;413;421;412;
Municipios;1381;Serna del Monte (La);39;29;37;37;35;34;36;44;76;
Municipios;1408;Serranillos del Valle;961;979;1033;1082;1259;1377;1133;1215;1326;
Municipios;1415;Sevilla la Nueva;1867;1751;1878;1888;1961;1927;1831;1952;2087;
Municipios;1436;Somosierra;23;28;36;34;45;42;42;44;91;
Municipios;1441;Soto del Real;2794;2733;2739;2819;2895;2868;2777;2773;2871;
Municipios;1454;Talamanca de Jarama;698;689;729;682;760;798;741;776;846;
Municipios;1467;Tielmes;529;604;624;596;584;578;669;695;726;
Municipios;1473;Titulcia;212;202;213;224;263;280;301;296;362;
Municipios;1489;Torrejón de Ardoz;38490;39859;41113;42013;40913;42796;42687;45251;47633;
Municipios;1505;Torrejón de Velasco;878;874;946;991;995;1092;1127;1084;1130;
Municipios;1492;Torrejón de la Calzada;2794;2932;3004;3261;3470;3467;3430;3511;3560;
Municipios;1512;Torrelaguna;1055;1055;943;963;1057;1136;1173;1293;1421;
Municipios;1527;Torrelodones;6704;7046;7000;7262;7554;7585;7561;7984;8154;
Municipios;1533;Torremocha de Jarama;430;362;375;609;619;629;602;646;694;
Municipios;1548;Torres de la Alameda;2693;2830;3420;3404;3492;3104;2860;3221;3281;
Municipios;9036;Tres Cantos;34614;34388;35707;37536;39456;40053;39243;41003;42174;
Municipios;1551;Valdaracete;124;117;116;116;123;120;136;136;166;
Municipios;1564;Valdeavero;271;288;310;316;330;323;345;409;414;
Municipios;1570;Valdelaguna;237;171;162;160;162;147;156;180;167;
Municipios;1586;Valdemanco;141;132;144;145;165;148;149;165;182;
Municipios;1599;Valdemaqueda;142;128;139;134;147;150;151;172;213;
Municipios;1603;Valdemorillo;2285;2309;2409;2539;2749;2766;2706;2958;3141;
Municipios;1610;Valdemoro;18515;19748;22236;24040;25093;28668;28484;33693;36206;
Municipios;1625;Valdeolmos-Alalpardo;1235;1130;1155;1239;1180;1167;1165;1271;1179;
Municipios;1631;Valdepiélagos;106;98;106;113;121;119;126;149;176;
Municipios;1646;Valdetorres de Jarama;689;754;768;824;808;811;801;906;1050;
Municipios;1659;Valdilecha;608;622;658;723;738;754;793;730;718;
Municipios;1662;Valverde de Alcalá;41;41;37;41;46;48;77;87;111;
Municipios;1678;Velilla de San Antonio;3058;3083;3157;3303;3318;3355;3399;3561;3646;
Municipios;1684;Vellón (El);244;222;226;255;262;272;292;303;379;
Municipios;1697;Venturada;492;479;578;684;836;880;843;1024;1080;
Municipios;1718;Villa del Prado;1251;1293;1319;1305;1318;1351;1402;1427;1458;
Municipios;1701;Villaconejos;682;693;691;695;650;671;705;804;825;
Municipios;1723;Villalbilla;2316;2328;2436;2542;2654;2747;2779;3049;3223;
Municipios;1739;Villamanrique de Tajo;137;131;144;176;150;166;182;205;220;
Municipios;1744;Villamanta;507;500;501;523;566;629;591;654;711;
Municipios;1757;Villamantilla;271;237;245;253;266;272;273;312;311;
Municipios;1782;Villanueva de Perales;407;394;415;406;315;358;317;310;372;
Municipios;1760;Villanueva de la Cañada;5752;6090;6087;6418;6738;7095;7312;8080;8389;
Municipios;1776;Villanueva del Pardillo;3260;3401;3614;3728;3893;3877;3863;4219;4335;
Municipios;1795;Villar del Olmo;246;239;253;271;285;336;364;369;426;
Municipios;1809;Villarejo de Salvanés;2253;2320;2413;2453;2490;2488;2495;2588;2454;
Municipios;1816;Villaviciosa de Odón;8802;10049;9982;10162;10571;10668;10771;10804;11331;
Municipios;1821;Villavieja del Lozoya;68;51;55;57;63;61;68;67;87;
Municipios;1837;Zarzalejo;422;424;449;477;489;502;495;525;569;(A) Avance ;
Notas;
(Base 2015);
;
Datos a 1 de enero de cada año.;
