Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados en unidades productivas de industria de la alimentación e industria textil. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0967;Navalcarnero;84;101;121;120;122;128;106;107;108;
Municipios;0973;Navarredonda y San Mamés;1;1;1;0;0;0;0;0;0;
Municipios;0992;Navas del Rey;5;5;22;39;34;7;6;7;7;
Municipios;1006;Nuevo Baztán;8;7;7;7;7;9;9;8;6;
Municipios;1013;Olmeda de las Fuentes;1;3;2;1;2;2;0;0;0;
Municipios;1028;Orusco de Tajuña;0;0;1;0;2;1;0;0;0;
Municipios;1049;Paracuellos de Jarama;157;167;175;173;175;354;312;321;296;
Municipios;1065;Parla;134;131;127;161;155;90;93;91;103;
Municipios;1071;Patones;0;0;0;0;0;0;0;0;0;
Municipios;1087;Pedrezuela;15;12;8;13;13;11;12;12;12;
Municipios;1090;Pelayos de la Presa;10;9;12;19;17;15;26;19;24;
Municipios;1104;Perales de Tajuña;11;9;8;14;23;22;22;19;20;
Municipios;1111;Pezuela de las Torres;0;0;1;1;1;1;0;0;0;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;
Municipios;1132;Pinto;236;251;283;292;314;361;379;341;375;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;84;83;98;102;113;116;139;137;160;
Municipios;1163;Pozuelo del Rey;1;2;1;0;0;0;0;0;0;
Municipios;1179;Prádena del Rincón;0;0;0;0;0;0;0;0;0;
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;0;0;0;0;0;0;0;0;0;
Municipios;1198;Quijorna;2;2;4;4;2;2;2;1;1;
Municipios;1202;Rascafría;7;7;8;8;12;8;10;7;10;
Municipios;1219;Redueña;0;0;0;0;0;0;0;0;0;
Municipios;1224;Ribatejada;1;1;0;0;1;1;1;1;1;
Municipios;1230;Rivas-Vaciamadrid;209;227;263;323;354;369;366;382;393;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;3;4;7;7;7;7;7;7;8;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);235;233;230;263;280;289;285;276;408;
Municipios;1283;Rozas de Puerto Real;0;0;0;0;0;0;0;0;0;
Municipios;1296;San Agustín del Guadalix;141;155;180;223;257;226;186;183;228;
Municipios;1300;San Fernando de Henares;266;279;284;301;315;181;169;149;153;
Municipios;1317;San Lorenzo de El Escorial;15;23;26;33;34;24;26;31;27;
Municipios;1338;San Martín de Valdeiglesias;21;18;19;20;16;15;18;22;18;
Municipios;1322;San Martín de la Vega;24;22;22;20;17;22;19;27;30;
Municipios;1343;San Sebastián de los Reyes;350;405;443;620;496;532;530;480;500;
Municipios;1356;Santa María de la Alameda;2;3;2;0;2;9;11;12;10;
Municipios;1369;Santorcaz;0;0;0;0;0;0;0;0;0;
Municipios;1375;Santos de la Humosa (Los);5;5;5;6;7;5;5;5;6;
Municipios;1381;Serna del Monte (La);0;0;0;0;0;0;0;0;0;
Municipios;1408;Serranillos del Valle;27;22;19;26;10;10;6;4;3;
Municipios;1415;Sevilla la Nueva;2;2;6;7;7;7;6;6;6;
Municipios;1436;Somosierra;0;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;7;6;6;14;14;11;12;11;9;
Municipios;1454;Talamanca de Jarama;20;119;134;67;139;153;136;159;153;
Municipios;1467;Tielmes;14;14;20;16;11;9;7;4;5;
Municipios;1473;Titulcia;2;2;3;4;3;2;3;3;3;
Municipios;1489;Torrejón de Ardoz;340;356;332;344;327;323;273;335;362;
Municipios;1505;Torrejón de Velasco;31;27;29;27;31;25;23;20;23;
Municipios;1492;Torrejón de la Calzada;33;32;27;18;21;34;30;25;29;
Municipios;1512;Torrelaguna;7;9;9;19;10;9;11;7;7;
Municipios;1527;Torrelodones;10;16;15;14;15;12;18;20;16;
Municipios;1533;Torremocha de Jarama;11;9;13;13;3;3;5;5;3;
Municipios;1548;Torres de la Alameda;85;77;81;95;100;95;92;94;94;
Municipios;9036;Tres Cantos;308;340;344;361;349;343;341;345;343;
Municipios;1551;Valdaracete;1;1;0;7;9;9;12;5;5;
Municipios;1564;Valdeavero;0;0;8;1;1;1;0;0;0;
Municipios;1570;Valdelaguna;3;2;2;2;1;4;2;2;2;
Municipios;1586;Valdemanco;1;1;0;0;0;1;0;1;1;
Municipios;1599;Valdemaqueda;2;2;2;2;2;2;2;2;2;
Municipios;1603;Valdemorillo;8;11;10;12;11;12;14;13;15;
Municipios;1610;Valdemoro;191;224;224;249;246;248;263;288;298;
Municipios;1625;Valdeolmos-Alalpardo;93;97;96;87;78;70;69;77;77;
Municipios;1631;Valdepiélagos;5;5;6;13;19;18;20;20;22;
Municipios;1646;Valdetorres de Jarama;3;2;2;3;1;0;0;8;13;
Municipios;1659;Valdilecha;9;10;11;9;10;7;7;7;6;
Municipios;1662;Valverde de Alcalá;0;0;0;0;0;0;0;0;0;
Municipios;1678;Velilla de San Antonio;92;87;86;79;83;117;116;76;72;
Municipios;1684;Vellón (El);3;3;3;4;6;7;7;8;8;
Municipios;1697;Venturada;1;1;3;2;2;2;2;2;2;
Municipios;1718;Villa del Prado;12;9;8;6;6;6;6;7;9;
Municipios;1701;Villaconejos;36;56;62;58;50;51;48;44;41;
Municipios;1723;Villalbilla;43;48;43;49;60;50;40;45;47;
Municipios;1739;Villamanrique de Tajo;0;0;1;1;0;1;1;1;2;
Municipios;1744;Villamanta;27;24;27;29;17;17;15;16;18;
Municipios;1757;Villamantilla;29;33;23;23;23;20;18;18;18;
Municipios;1782;Villanueva de Perales;1;1;1;1;1;0;0;0;0;
Municipios;1760;Villanueva de la Cañada;28;34;33;35;29;30;36;51;55;
Municipios;1776;Villanueva del Pardillo;17;17;35;18;21;65;57;60;61;
Municipios;1795;Villar del Olmo;0;0;1;1;3;2;2;2;2;
Municipios;1809;Villarejo de Salvanés;93;563;547;552;552;555;578;566;545;
Municipios;1816;Villaviciosa de Odón;70;70;53;67;82;93;89;61;61;
Municipios;1821;Villavieja del Lozoya;0;0;0;0;0;0;0;0;0;
Municipios;1837;Zarzalejo;88;92;97;108;117;128;120;118;109;(A) Avance ;
Notas;
(Base 2015);
;
Datos a 1 de enero de cada año.;
