Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados
Municipios;0587;Fuenlabrada;2;13;15;1175;8037;9212;5335;4158;23054;27212;31104;14.64;85.36;36439
Municipios;0590;Fuente el Saz de Jarama;2;9;11;69;208;277;199;128;315;443;532;27.22;72.78;731
Municipios;0604;Fuentidueña de Tajo;2;179;181;7;60;67;37;28;110;138;349;9.59;90.41;386
Municipios;0611;Galapagar;2;12;14;58;444;502;536;476;1613;2089;2069;20.58;79.42;2605
Municipios;0626;Garganta de los Montes;1;3;4;1;8;9;4;2;13;15;24;14.29;85.71;28
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;0;0;0;1;1;7;7;27;34;28;20.00;80.00;35
Municipios;0647;Gascones;0;0;0;0;4;4;12;12;22;34;26;31.58;68.42;38
Municipios;0650;Getafe;5;62;67;1663;8022;9685;6567;4899;49339;54238;57423;10.26;89.74;63990
Municipios;0663;Griñón;11;5;16;199;816;1015;578;368;1015;1383;1836;23.94;76.06;2414
Municipios;0679;Guadalix de la Sierra;6;17;23;20;87;107;350;324;466;790;570;38.04;61.96;920
Municipios;0685;Guadarrama;0;1;1;44;174;218;380;336;1643;1979;1818;17.29;82.71;2198
Municipios;0698;Hiruela (La);0;0;0;0;6;6;1;1;20;21;26;3.70;96.30;27
Municipios;0702;Horcajo de la Sierra-Aoslos;0;0;0;0;11;11;3;3;41;44;52;5.45;94.55;55
Municipios;0719;Horcajuelo de la Sierra;0;0;0;5;97;102;11;6;16;22;113;8.87;91.13;124
Municipios;0724;Hoyo de Manzanares;3;15;18;11;119;130;120;106;358;464;492;19.61;80.39;612
Municipios;0730;Humanes de Madrid;3;34;37;598;2060;2658;1284;683;2188;2871;4282;23.07;76.93;5566
Municipios;0745;Leganés;3;206;209;837;4017;4854;4912;4072;21017;25089;25240;16.29;83.71;30152
Municipios;0758;Loeches;0;4;4;189;1615;1804;367;178;673;851;2292;13.80;86.20;2659
Municipios;0761;Lozoya;0;0;0;2;40;42;18;16;627;643;667;2.63;97.37;685
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0;0;0;7;24;31;45;38;183;221;207;17.86;82.14;252
Municipios;0783;Madarcos;0;0;0;11;41;52;93;82;389;471;430;17.78;82.22;523
Municipios;0796;Madrid;134;4610;4744;17922;88619;106541;206214;188158;768889;957047;862118;19.30;80.70;1068332
Municipios;0800;Majadahonda;4;77;81;202;977;1179;3067;2861;8694;11555;9748;23.93;76.07;12815
Municipios;0822;Manzanares el Real;2;3;5;20;48;68;91;69;439;508;490;15.66;84.34;581
Municipios;0838;Meco;2;12;14;145;1046;1191;646;499;6058;6557;7116;8.32;91.68;7762
Municipios;0843;Mejorada del Campo;0;0;0;225;941;1166;661;436;1710;2146;2651;19.96;80.04;3312
Municipios;0856;Miraflores de la Sierra;3;7;10;2;77;79;81;76;466;542;550;12.84;87.16;631
Municipios;0869;Molar (El);2;2;4;26;110;136;96;68;342;410;454;17.45;82.55;550
Municipios;0875;Molinos (Los);2;3;5;17;42;59;86;67;176;243;221;28.01;71.99;307
Municipios;0881;Montejo de la Sierra;0;0;0;0;6;6;17;17;78;95;84;16.83;83.17;101
Municipios;0894;Moraleja de Enmedio;0;2;2;80;492;572;196;116;3213;3329;3707;5.02;94.98;3903
Municipios;0908;Moralzarzal;3;5;8;32;152;184;246;211;793;1004;950;20.57;79.43;1196
Municipios;0915;Morata de Tajuña;1;48;49;12;196;208;87;74;344;418;588;12.89;87.11;675
Municipios;0920;Móstoles;2;18;20;834;4736;5570;3538;2702;10025;12727;14779;19.32;80.68;18317
Municipios;0936;Navacerrada;0;1;1;5;33;38;62;57;223;280;257;19.44;80.56;319
Municipios;0941;Navalafuente;8;7;15;1;9;10;20;11;59;70;75;21.05;78.95;95
Municipios;0954;Navalagamella;7;2;9;3;21;24;19;9;96;105;119;13.77;86.23;138
Municipios;0967;Navalcarnero;1;72;73;78;485;563;543;464;2544;3008;3101;14.90;85.10;3644
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;5;5;11;11;44;55;49;18.33;81.67;60
Municipios;0992;Navas del Rey;1;0;1;5;27;32;56;50;208;258;235;19.24;80.76;291
Municipios;1006;Nuevo Baztán;0;9;9;9;70;79;150;141;315;456;394;27.57;72.43;544
Municipios;1013;Olmeda de las Fuentes;0;4;4;0;5;5;15;15;28;43;37;28.85;71.15;52
Municipios;1028;Orusco de Tajuña;0;0;0;0;6;6;17;17;62;79;68;20.00;80.00;85
Municipios;1049;Paracuellos de Jarama;1;5;6;132;1614;1746;693;560;1890;2450;3509;16.49;83.51;4202
Municipios;1065;Parla;4;15;19;342;2030;2372;1920;1574;5944;7518;7989;19.38;80.62;9909
Municipios;1071;Patones;0;0;0;3;7;10;11;8;138;146;145;7.05;92.95;156
Municipios;1087;Pedrezuela;0;0;0;13;45;58;148;135;383;518;428;25.69;74.31;576
Municipios;1090;Pelayos de la Presa;0;4;4;6;78;84;53;47;204;251;286;15.63;84.37;339
Municipios;1104;Perales de Tajuña;0;3;3;8;32;40;29;21;140;161;175;14.22;85.78;204
Municipios;1111;Pezuela de las Torres;3;11;14;2;3;5;13;8;50;58;64;16.88;83.12;77
Municipios;1126;Pinilla del Valle;0;0;0;0;2;2;4;4;15;19;17;19.05;80.95;21
Municipios;1132;Pinto;10;39;49;431;5680;6111;1879;1438;10511;11949;16230;10.38;89.62;18109
Municipios;1147;Piñuécar-Gandullas;0;0;0;1;3;4;4;3;6;9;9;30.77;69.23;13
Municipios;1150;Pozuelo de Alarcón;8;20;28;298;1636;1934;7508;7202;24793;31995;26449;22.11;77.89;33957
Municipios;1163;Pozuelo del Rey;0;0;0;6;25;31;18;12;36;48;61;22.78;77.22;79
Municipios;1179;Prádena del Rincón;0;1;1;1;3;4;2;1;19;20;23;8.00;92.00;25
Municipios;1185;Puebla de la Sierra;0;0;0;0;1;1;2;2;19;21;20;9.09;90.91;22
Municipios;9020;Puentes Viejas;0;0;0;1;5;6;7;6;45;51;50;12.28;87.72;57
Municipios;1198;Quijorna;1;5;6;5;62;67;37;31;275;306;342;9.76;90.24;379
Municipios;1202;Rascafría;0;1;1;10;38;48;45;35;183;218;222;16.85;83.15;267
Municipios;1219;Redueña;0;0;0;0;1;1;11;11;31;42;32;25.58;74.42;43
Municipios;1224;Ribatejada;0;0;0;1;4;5;6;5;86;91;90;6.25;93.75;96
Municipios;1230;Rivas-Vaciamadrid;4;7;11;514;2254;2768;2915;2397;9330;11727;11591;20.10;79.90;14506
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;17;17;17;0.00;100.00;17
Municipios;1258;Robledo de Chavela;2;11;13;9;93;102;57;46;192;238;296;16.15;83.85;353
Municipios;1261;Robregordo;0;0;0;0;3;3;1;1;12;13;15;6.25;93.75;16
Municipios;1277;Rozas de Madrid (Las);37;41;78;516;1515;2031;5967;5414;23095;28509;24651;19.49;80.51;30618
Municipios;1283;Rozas de Puerto Real;0;0;0;0;10;10;19;19;72;91;82;18.81;81.19;101
Municipios;1296;San Agustín del Guadalix;1;7;8;166;803;969;501;334;1110;1444;1920;20.69;79.31;2421
Municipios;1300;San Fernando de Henares;0;6;6;490;1806;2296;3098;2608;14068;16676;15880;16.32;83.68;18978
Municipios;1317;San Lorenzo de El Escorial;3;7;10;23;177;200;334;308;1899;2207;2083;13.82;86.18;2417
Municipios;1338;San Martín de Valdeiglesias;2;44;46;21;155;176;147;124;988;1112;1187;11.02;88.98;1334
Municipios;1322;San Martín de la Vega;2;34;36;119;581;700;532;411;1736;2147;2351;18.45;81.55;2883
Municipios;1343;San Sebastián de los Reyes;4;26;30;495;2270;2765;4042;3543;23739;27282;26035;13.44;86.56;30077
Municipios;1356;Santa María de la Alameda;0;2;2;4;13;17;11;7;65;72;80;12.09;87.91;91
Municipios;1369;Santorcaz;0;0;0;0;6;6;6;6;19;25;25;19.35;80.65;31
Municipios;1375;Santos de la Humosa (Los);0;2;2;2;11;13;30;28;80;108;93;24.39;75.61;123
Municipios;1381;Serna del Monte (La);0;0;0;0;1;1;6;6;9;15;10;37.50;62.50;16
Municipios;1408;Serranillos del Valle;0;0;0;38;176;214;127;89;262;351;438;22.48;77.52;565
Municipios;1415;Sevilla la Nueva;2;1;3;29;127;156;174;143;598;741;726;19.33;80.67;900
