Serie;Codigo_municipio;Nombre;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos
Municipios;1454;Talamanca de Jarama;0.49;0.01;0.05;22.54;0.0;0.85
Municipios;1467;Tielmes;0.74;0.01;0.02;9.82;0.0;0.59
Municipios;1473;Titulcia;0.18;0.0;0.01;3.98;0.0;0.14
Municipios;1489;Torrejón de Ardoz;0.07;0.02;0.02;12.21;0.0;0.28
Municipios;1505;Torrejón de Velasco;0.78;0.05;0.05;35.21;0.0;0.03
Municipios;1492;Torrejón de la Calzada;0.05;0.0;0.02;3.11;0.0;0.21
Municipios;1512;Torrelaguna;0.55;0.01;0.09;18.17;0.0;2.4
Municipios;1527;Torrelodones;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;1533;Torremocha de Jarama;0.56;0.02;0.06;12.46;0.0;0.45
Municipios;1548;Torres de la Alameda;0.36;0.01;0.0;25.45;0.0;0.0
Municipios;9036;Tres Cantos;0.21;0.0;0.2;11.55;0.0;11.24
Municipios;1551;Valdaracete;1.25;0.06;0.08;27.65;0.0;0.11
Municipios;1564;Valdeavero;0.13;0.01;0.01;16.71;0.0;0.25
Municipios;1570;Valdelaguna;0.84;0.1;0.07;8.29;0.0;0.48
Municipios;1586;Valdemanco;0.04;0.01;0.04;0.38;0.0;0.38
Municipios;1599;Valdemaqueda;0.0;0.0;0.0;0.0;0.0;0.0
Municipios;1603;Valdemorillo;0.45;0.06;0.39;21.41;0.0;20.82
Municipios;1610;Valdemoro;0.19;0.01;0.04;11.12;0.0;1.14
Municipios;1625;Valdeolmos0Alalpardo;0.22;0.0;0.05;21.9;0.0;0.89
Municipios;1631;Valdepiélagos;0.13;0.01;0.01;13.58;0.0;1.57
Municipios;1646;Valdetorres de Jarama;0.27;0.02;0.07;22.12;0.0;0.31
Municipios;1659;Valdilecha;1.55;0.09;0.1;40.53;0.0;7.59
Municipios;1662;Valverde de Alcalá;0.12;0.0;0.02;4.16;0.0;0.07
Municipios;1678;Velilla de San Antonio;0.07;0.01;0.01;4.84;0.0;0.0
Municipios;1684;Vellón (El);0.3;0.05;0.17;14.85;0.0;7.36
Municipios;1697;Venturada;0.12;0.01;0.06;4.66;0.0;3.22
Municipios;1718;Villa del Prado;2.66;0.22;0.23;37.48;0.01;16.07
Municipios;1701;Villaconejos;1.06;0.03;0.02;29.81;0.0;4.66
Municipios;1723;Villalbilla;0.25;0.02;0.02;19.03;0.0;1.25
Municipios;1739;Villamanrique de Tajo;0.33;0.0;0.03;23.05;0.0;0.54
Municipios;1744;Villamanta;0.62;0.08;0.15;26.18;0.0;11.49
Municipios;1757;Villamantilla;0.07;0.01;0.05;12.4;0.0;4.38
Municipios;1782;Villanueva de Perales;0.06;0.0;0.04;28.63;0.0;9.34
Municipios;1760;Villanueva de la Cañada;0.06;0.01;0.02;5.33;0.0;0.1
Municipios;1776;Villanueva del Pardillo;0.12;0.0;0.05;16.15;0.0;5.09
Municipios;1795;Villar del Olmo;0.24;0.03;0.05;7.31;0.0;0.17
Municipios;1809;Villarejo de Salvanés;4.72;0.09;0.21;64.08;0.0;6.16
Municipios;1816;Villaviciosa de Odón;0.31;0.08;0.1;10.48;0.0;0.6
Municipios;1821;Villavieja del Lozoya;0.08;0.0;0.08;6.96;0.0;6.9
Municipios;1837;Zarzalejo;0.14;0.03;0.14;5.77;0.0;5.67
