Serie;Codigo_municipio;Nombre;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario
Municipios;1505;Torrejón de Velasco;32;149;750
Municipios;1492;Torrejón de la Calzada;8;414;1637
Municipios;1512;Torrelaguna;15;87;773
Municipios;1527;Torrelodones;8;239;6500
Municipios;1533;Torremocha de Jarama;10;27;215
Municipios;1548;Torres de la Alameda;16;396;1420
Municipios;9036;Tres Cantos;19;440;10156
Municipios;1551;Valdaracete;12;15;73
Municipios;1564;Valdeavero;13;73;291
Municipios;1570;Valdelaguna;7;31;99
Municipios;1586;Valdemanco;1;32;132
Municipios;1599;Valdemaqueda;11;42;138
Municipios;1603;Valdemorillo;21;264;2611
Municipios;1610;Valdemoro;23;1919;11670
Municipios;1625;Valdeolmos-Alalpardo;10;57;840
Municipios;1631;Valdepiélagos;8;22;111
Municipios;1646;Valdetorres de Jarama;15;122;685
Municipios;1659;Valdilecha;29;84;417
Municipios;1662;Valverde de Alcalá;4;7;57
Municipios;1678;Velilla de San Antonio;6;467;2001
Municipios;1684;Vellón (El);11;51;248
Municipios;1697;Venturada;4;41;662
Municipios;1718;Villa del Prado;164;130;924
Municipios;1701;Villaconejos;84;87;576
Municipios;1723;Villalbilla;7;370;2120
Municipios;1739;Villamanrique de Tajo;22;14;120
Municipios;1744;Villamanta;38;110;430
Municipios;1757;Villamantilla;6;41;190
Municipios;1782;Villanueva de Perales;10;31;290
Municipios;1760;Villanueva de la Cañada;19;235;5332
Municipios;1776;Villanueva del Pardillo;13;263;3232
Municipios;1795;Villar del Olmo;4;71;415
Municipios;1809;Villarejo de Salvanés;59;252;1123
Municipios;1816;Villaviciosa de Odón;25;555;7251
Municipios;1821;Villavieja del Lozoya;3;9;57
Municipios;1837;Zarzalejo;10;61;265
