Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;afiliados_30a49;afiliados_mayores_50;afiliados_menores_18;afiliados_menores_30;afiliados_total;porcentaje_30a49;porcentaje_mayores_50;porcentaje_menores_30;censo_0a4;censo_5a9;censo_10a14;censo_15a19;censo_20a24;censo_25a29;censo_30a34;censo_35a39;censo_40a44;censo_45a49;censo_50a54;censo_55a59;censo_60a64;censo_65a69;censo_70a74;censo_75a79;censo_80a84;censo_85a89;censo_90a94;censo_95a99;censo_100;censo_total;crecimiento_relativo_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;ocupados_total;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_mayores_25;porcentaje_menores_25;variacion_paro_registrado;sector
Municipios;0091;Algete;280091;02;Norte Metropolitano;38.01;7;3;10;730;334;1064;2465;1728;1266;2994;1603;60.59;39.41;4068;549.78;53;4608;15327;0.16;0.02;0.04;26.23;0.0;1.36;0;0;0;0;4;162;723;20.864;26;617;4585;2523;4460;3509;3;1623;9592;46.50;36.58;16.92;866;1102;1383;1500;1447;1138;1042;1236;1469;1837;1774;1682;1448;1056;715;491;350;246;115;36;3;20936;1.12;40.79;46.58;29.34;14.39;5.93;1.91;16.01;30.08;40.49;53.42;9584;0;0;0;250;751;501;59;3.86;810;Terciario
Municipios;0105;Alpedrete;280105;11;Sierra Central;12.66;0;1;1;140;60;200;1024;884;998;1882;1059;49.16;50.84;2083;1171.19;11;546;5806;0.09;0.01;0.09;5.71;0.0;5.71;0;0;0;0;3;82;599;14.839;6;285;2830;1534;2764;2617;1;901;6282;44.00;41.66;14.34;500;749;1068;1196;953;768;711;814;1006;1580;1639;1336;919;626;470;449;326;198;122;21;1;15452;1.76;41.70;49.75;28.92;14.32;7.23;2.21;14.99;28.90;38.47;50.25;3394;0;0;0;195;628;433;50;4.43;678;Terciario
Municipios;0112;Ambite;280112;08;Sudeste Comunidad;51.60;0;1;1;13;1;14;69;56;65;121;67;50.74;49.26;136;23.59;9;11;199;0.24;0.01;0.03;18.22;0.0;8.67;0;0;0;0;0;11;45;609;6;11;80;48;93;95;0;20;208;44.71;45.67;9.62;30;33;33;28;19;27;25;46;56;67;72;65;47;29;30;22;24;28;8;1;0;690;4.55;46.53;56.96;36.81;20.58;12.03;5.36;13.91;20.72;28.26;43.04;175;0;0;0;17;55;38;2;8.33;57;Terciario
Municipios;0127;Anchuelo;280127;08;Sudeste Comunidad;21.59;0;0;0;12;0;12;131;119;336;455;336;28.05;71.95;467;59.51;8;39;412;0.3;0.01;0.0;14.55;0.0;0.0;0;0;0;0;1;11;58;1.286;8;23;180;104;258;170;0;57;485;53.20;35.05;11.75;68;100;101;67;61;64;93;108;137;135;93;70;93;62;40;39;21;12;12;2;1;1379;1.62;39.70;42.06;25.53;13.71;6.31;1.96;19.51;28.79;40.17;57.94;332;0;0;0;24;50;26;9;4.28;59;Terciario
Municipios;0133;Aranjuez;280133;04;Sur Metropolitano;189.01;55;76;131;755;1861;2616;7234;6424;10010;16434;11947;37.71;62.29;19181;318.93;156;6206;37710;1.89;0.11;0.23;107.42;0.0;10.03;0;0;0;0;77;627;3243;60.332;99;715;8368;4515;10929;7130;4;3252;21311;51.28;33.46;15.26;2435;3267;3931;3735;3297;3269;3320;3894;4827;5557;4785;4385;3590;2991;2579;2131;1358;995;526;110;16;60998;1.43;42.20;47.58;30.63;17.55;8.42;2.70;15.79;27.32;38.12;52.42;20453;0;0;0;1420;3367;1947;309;6.06;3676;Terciario
Municipios;0148;Arganda del Rey;280148;03;Este Metropolitano;80.27;12;15;27;3719;1589;5308;8345;4614;4633;9247;6237;57.23;42.77;14582;705.65;68;19312;51479;1.7;0.1;0.14;25.37;0.0;4.12;0;0;0;0;47;1262;2832;1.172;39;3179;10311;6206;13833;7530;8;3619;24982;55.37;30.14;14.49;2685;3420;3828;3395;2949;3103;3826;4492;5460;5742;4683;3877;3262;2576;2099;1440;863;545;290;77;11;58623;2.27;40.14;43.44;25.66;13.48;5.50;1.57;16.94;27.77;39.59;56.56;30375;0;0;0;1368;3380;2012;282;6.21;3662;Terciario
Municipios;0151;Arroyomolinos;280151;09;Sudoeste Comunidad;20.78;0;0;0;622;140;762;4439;3817;2315;6132;2455;64.39;35.61;6894;1582.65;11;2024;19603;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;6;200;1105;32.935;10;760;5370;3008;7687;3753;2;1762;13202;58.23;28.43;13.35;2253;3257;3220;2407;1600;1251;1643;2983;4535;4492;2829;1866;1207;986;700;452;213;131;60;14;3;36102;3.29;35.26;35.88;15.60;7.09;2.42;0.58;24.18;35.28;43.30;64.12;12222;0;0;0;504;1202;698;119;3.67;1321;Terciario
Municipios;0164;Atazar (El);280164;06;Sierra Norte;28.43;0;0;0;2;1;3;95;93;76;169;77;55.23;44.77;172;3.16;0;5;47;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;0;1;7;2.004;0;3;17;10;11;22;0;1;34;32.35;64.71;2.94;0;4;3;7;4;6;1;2;9;6;18;14;7;6;3;4;3;6;1;0;0;104;-2.80;50.19;65.38;42.31;22.12;13.46;6.73;6.73;17.31;24.04;34.62;99;0;0;0;1;13;12;0;12.50;13;Terciario
Municipios;0170;Batres;280170;09;Sudoeste Comunidad;21.36;0;0;0;24;2;26;132;108;162;270;164;44.59;55.41;296;81.85;2;52;482;0.05;0.01;0.04;1.91;0.0;1.03;0;0;0;0;0;15;64;1.750;1;28;224;124;265;267;0;103;635;41.73;42.05;16.22;59;89;97;124;113;74;95;103;154;181;209;174;114;97;86;55;24;23;8;2;0;1881;2.34;43.03;51.73;30.99;15.68;5.95;1.75;13.02;25.62;34.61;48.27;378;0;0;0;23;73;50;4;4.11;77;Terciario
Municipios;0186;Becerril de la Sierra;280186;11;Sierra Central;29.64;4;0;4;75;23;98;355;276;363;639;386;47.91;52.09;741;198.08;10;208;2172;0.22;0.02;0.21;13.58;0.0;13.56;0;0;0;0;1;56;250;73;9;129;1156;640;1136;957;0;342;2435;46.65;39.30;14.05;237;298;341;420;321;305;291;348;521;649;546;492;437;308;258;218;117;87;59;13;1;6267;1.34;43.12;50.82;31.75;16.93;7.90;2.55;13.98;25.80;35.31;49.18;1229;0;0;0;105;307;202;15;5.13;322;Terciario
Municipios;0199;Belmonte de Tajo;280199;08;Sudeste Comunidad;24.07;2;7;9;25;6;31;166;139;347;486;360;31.56;68.44;526;69.86;9;122;519;1.42;0.05;0.05;14.0;0.0;0.02;0;0;0;0;4;24;86;707;9;108;223;149;367;225;0;90;682;53.81;32.99;13.20;77;93;105;96;87;88;121;149;170;143;144;114;123;108;75;59;36;30;19;4;1;1842;3.72;42.77;46.47;30.89;18.02;8.09;2.93;14.93;24.86;36.21;53.53;372;0;0;0;42;96;54;12;5.87;108;Terciario
Municipios;0210;Berrueco (El);280210;06;Sierra Norte;28.40;0;0;0;33;3;36;146;113;220;333;223;39.57;60.43;369;27.33;0;41;516;0.08;0.0;0.08;1.96;0.0;1.95;0;0;0;0;1;6;26;2.004;0;20;125;72;110;91;0;33;234;47.01;38.89;14.10;32;51;42;23;34;41;27;56;70;78;62;49;66;51;46;32;25;23;11;2;0;821;0.74;45.95;54.20;37.15;23.14;11.33;4.38;15.23;22.17;30.45;45.80;217;0;0;0;12;36;24;0;4.49;36;Terciario
Municipios;0203;Berzosa del Lozoya;280761;06;Sierra Norte;57.69;0;0;0;10;2;12;197;187;466;653;468;29.62;70.38;665;15.17;26;9;185;0.04;0.0;0.03;2.72;0.0;2.58;0;0;0;0;0;0;7;262;1;4;55;30;25;27;0;7;59;42.37;45.76;11.86;2;6;10;18;10;11;8;9;9;14;21;20;19;20;14;9;6;2;6;5;0;219;-3.52;49.78;62.10;46.12;28.31;12.79;5.94;8.22;21.00;29.68;37.90;148;0;0;0;3;7;4;0;3.23;7;Terciario
Municipios;0225;Boadilla del Monte;280225;05;Oeste Metropolitano;47.38;10;46;56;955;233;1188;7292;6327;6886;13213;7165;50.44;49.56;14457;1194.65;217;2045;43658;0.04;0.0;0.02;7.3;0.0;7.29;0;0;388.14;113.64;4;134;1366;87;21;706;14974;7782;11264;9999;2;3315;24578;45.83;40.68;13.49;3106;4358;5365;5747;3845;2651;2487;3452;4964;6627;6915;4655;2987;1989;1911;1579;953;618;325;87;14;64635;3.21;38.50;44.34;23.39;11.57;5.53;1.62;19.85;34.69;42.64;55.66;25961;0;388.14;113.64;392;1373;981;57;2.21;1430;Terciario
Municipios;0231;Boalo (El);280231;11;Sierra Central;39.40;0;0;0;86;21;107;463;377;461;838;482;48.99;51.01;945;190.95;31;387;2892;0.27;0.02;0.27;17.95;0.0;17.95;0;0;0;0;3;48;332;2.004;24;186;1338;758;1606;1284;0;347;3237;49.61;39.67;10.72;319;579;633;555;388;317;349;455;768;964;902;647;470;322;273;225;129;77;47;8;2;8429;2.49;40.63;48.24;26.10;12.85;5.79;1.59;18.16;29.35;37.25;51.76;1909;0;0;0;106;337;231;16;4.19;353;Terciario
Municipios;0246;Braojos;280246;06;Sierra Norte;24.93;0;3;3;6;0;6;108;102;48;150;51;67.92;32.08;159;8.26;6;10;606;0.13;0.01;0.13;5.99;0.0;5.99;0;0;0;0;0;0;5;206;6;6;68;40;37;54;0;14;105;35.24;51.43;13.33;7;6;4;4;22;14;8;12;21;11;22;23;18;8;7;12;5;5;3;0;0;212;-2.75;46.69;53.77;38.21;18.87;11.79;3.77;8.02;20.28;30.66;46.23;291;0;0;0;0;5;5;1;2.83;6;Terciario
