superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total;afiliados_30a49;afiliados_mayores_50;afiliados_menores_18;afiliados_menores_30;afiliados_total;porcentaje_30a49;porcentaje_mayores_50;porcentaje_menores_30;censo_0a4;censo_5a9;censo_10a14;censo_15a19;censo_20a24;censo_25a29;censo_30a34;censo_35a39;censo_40a44;censo_45a49;censo_50a54;censo_55a59;censo_60a64;censo_65a69;censo_70a74;censo_75a79;censo_80a84;censo_85a89;censo_90a94;censo_95a99;censo_100;censo_total;crecimiento_relativo_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;ocupados_total;paro_25_44;paro_mayores_25;paro_mayores_45;paro_menores_25;paro_100_habitantes;paro_registrado_total;porcentaje_mayores_25;porcentaje_menores_25;variacion_paro_registrado;sector
57.69;0;0;0;10;2;12;197;187;466;653;468;29.62;70.38;665;14.97;0;24;272;4;0;3;271.94;0.0;257.94;0.0;0.0;0.0;0.0;0;0;7;219;0;10;52;31;25;27;0;7;59;42.37;45.76;11.86;2;6;10;18;10;11;8;9;9;14;21;20;19;20;14;9;6;2;6;5;0;219;-3.52;49.78;62.1;46.12;28.31;12.79;5.94;8.22;21.0;29.68;37.9;148;3;7;4;0;3.23;7;100.0;0.0;16.67;Terciario
47.38;10;46;56;955;233;1188;7292;6327;6886;13213;7165;50.44;49.56;14457;1361.02;63;2496;49745;4;0;2;730.35;0.0;729.11;0.0;0.0;388.14;113.64;5;133;1243;64635;31;777;16825;8745;11264;9999;2;3315;24578;45.83;40.68;13.49;3106;4358;5365;5747;3845;2651;2487;3452;4964;6627;6915;4655;2987;1989;1911;1579;953;618;325;87;14;64635;3.21;38.5;44.34;23.39;11.57;5.53;1.62;19.85;34.69;42.64;55.66;25961;392;1373;981;57;2.21;1430;96.01;3.99;-4.6;Terciario
39.4;0;0;0;86;21;107;463;377;461;838;482;48.99;51.01;945;210.04;27;452;3438;27;2;27;1795.42;0.05;1795.23;0.0;0.0;0.0;0.0;1;32;304;8429;22;202;1458;824;1606;1284;0;347;3237;49.61;39.67;10.72;319;579;633;555;388;317;349;455;768;964;902;647;470;322;273;225;129;77;47;8;2;8429;2.49;40.63;48.24;26.1;12.85;5.79;1.59;18.16;29.35;37.25;51.76;1909;106;337;231;16;4.19;353;95.47;4.53;-10.86;Terciario
24.93;0;3;3;6;0;6;108;102;48;150;51;67.92;32.08;159;8.5;4;6;572;13;1;13;599.09;0.03;599.06;0.0;0.0;0.0;0.0;0;0;6;212;4;3;55;31;37;54;0;14;105;35.24;51.43;13.33;7;6;4;4;22;14;8;12;21;11;22;23;18;8;7;12;5;5;3;0;0;212;-2.75;46.69;53.77;38.21;18.87;11.79;3.77;8.02;20.28;30.66;46.23;291;0;5;5;1;2.83;6;83.33;16.67;-25.0;Terciario
44.73;1;10;11;10;0;10;84;73;180;253;190;30.66;69.34;274;12.27;26;28;431;85;7;3;2532.27;0.14;92.8;0.0;0.0;0.0;0.0;1;4;34;549;15;14;85;55;75;69;1;31;175;42.86;39.43;17.71;14;17;19;27;34;35;23;22;40;41;42;38;40;38;31;32;27;18;9;2;0;549;1.1;48.8;57.92;42.81;28.6;16.03;5.28;9.11;20.22;30.78;42.08;240;7;36;29;6;7.73;42;85.71;14.29;-16.0;Terciario
49.17;1;0;1;92;27;119;682;589;545;1134;572;54.39;45.61;1254;223.37;29;395;5293;15;1;3;3375.06;0.05;100.68;0.0;0.0;0.0;0.0;3;48;370;10992;26;223;2099;1158;2287;1656;0;746;4689;48.77;35.32;15.91;410;559;749;779;678;620;586;643;882;1102;1006;871;618;419;369;301;173;143;65;19;0;10992;1.66;40.74;46.27;27.09;13.55;6.38;2.07;15.63;28.88;39.86;53.73;2816;149;421;272;23;4.03;444;94.82;5.18;-5.93;Terciario
57.69;0;0;0;52;10;62;190;138;523;661;533;26.28;73.72;723;75.24;7;84;2533;18;0;18;1331.05;0.0;1331.05;0.0;0.0;0.0;0.0;5;11;66;1954;7;42;437;242;398;300;0;130;828;48.07;36.23;15.7;74;102;126;114;92;108;105;131;141;179;152;129;128;87;75;61;57;47;30;13;3;1954;0.1;43.53;49.18;32.24;19.09;10.8;4.76;15.46;26.0;36.9;50.82;1311;33;87;54;5;4.68;92;94.57;5.43;9.52;Terciario
56.13;1;0;1;91;11;102;318;226;129;355;140;69.43;30.57;458;48.97;11;86;1130;16;2;16;924.62;0.1;919.31;0.0;0.0;0.0;0.0;4;9;130;2752;11;64;504;283;527;369;0;96;992;53.13;37.2;9.68;90;140;182;142;115;95;133;175;261;317;253;222;177;136;100;81;43;47;33;10;0;2752;1.66;43.56;51.56;30.85;16.35;7.78;3.27;14.97;24.31;32.59;48.44;605;60;147;87;7;5.61;154;95.45;4.55;-2.53;Terciario
13.81;1;0;1;15;7;22;147;131;83;214;90;62.03;37.97;237;67.8;6;54;446;7;0;7;633.34;0.0;597.54;0.0;0.0;0.0;0.0;1;5;29;937;4;15;149;83;165;131;0;41;337;48.96;38.87;12.17;45;47;57;47;50;32;35;63;83;95;86;79;64;54;26;22;32;10;9;1;0;937;7.21;42.94;51.01;31.7;16.44;7.9;2.13;15.9;26.25;33.4;48.99;252;9;35;26;1;3.83;36;97.22;2.78;-7.69;Terciario
22.14;2;0;2;21;5;26;190;167;190;357;195;49.35;50.65;385;130.78;4;95;1578;6;0;6;798.97;0.0;798.97;0.0;0.0;0.0;0.0;1;29;132;2898;3;75;544;307;532;421;1;158;1111;47.88;37.89;14.22;100;141;168;173;159;142;134;184;269;282;254;237;167;137;107;80;74;55;22;11;2;2898;2.58;43.11;49.28;30.78;16.84;8.42;3.11;14.11;25.57;35.09;50.72;833;51;163;112;5;5.83;168;97.02;2.98;1.2;Terciario
47.84;21;14;35;99;103;202;252;132;141;273;258;49.41;50.59;510;67.22;36;217;1364;162;28;27;1015.73;1.02;560.34;0.0;0.0;0.0;0.0;4;28;191;3218;13;110;463;283;524;343;0;171;1038;50.48;33.04;16.47;123;149;181;141;166;152;183;209;229;264;245;250;212;183;194;149;83;51;45;7;2;3218;0.09;45.05;52.36;36.54;22.19;10.47;3.26;14.08;23.62;34.03;47.64;796;89;221;132;24;7.72;245;90.2;9.8;-18.06;Terciario
35.15;0;0;0;255;566;821;668;413;322;735;888;42.93;57.07;1556;221.02;6;1852;4090;30;0;0;2505.4;0.0;0.0;0.0;0.0;0.0;0.0;2;71;337;7782;5;324;1298;771;1523;987;0;390;2900;52.52;34.03;13.45;302;423;588;550;423;344;440;511;712;890;726;529;421;312;236;185;86;72;26;5;1;7782;2.6;39.76;44.83;24.07;11.86;4.82;1.34;16.87;29.38;39.45;55.17;2607;136;395;259;33;5.49;428;92.29;7.71;-6.75;Terciario
61.75;7;21;28;177;111;288;1323;1139;390;1529;522;71.71;28.29;1845;108.57;24;1433;3417;160;9;13;4292.72;0.36;191.38;9.63;6.74;0.0;0.0;5;81;271;6711;11;318;1207;717;1487;845;1;368;2700;55.07;31.3;13.63;325;427;416;361;303;356;414;515;683;643;534;457;373;287;178;152;100;108;65;14;0;6711;0.74;40.41;43.38;25.84;13.47;6.54;2.79;17.4;27.3;38.77;56.62;2143;145;365;220;20;5.68;385;94.81;5.19;-16.49;Terciario
54.18;0;0;0;19;0;19;271;252;120;372;120;69.31;30.69;391;8.56;7;30;278;24;2;24;1458.89;0.02;1458.82;0.0;0.0;0.0;0.0;1;2;20;464;7;18;79;51;42;69;0;22;133;31.58;51.88;16.54;11;12;13;20;26;19;20;22;17;25;46;57;43;33;19;24;17;22;14;2;2;464;1.53;51.71;65.52;50.22;28.66;17.46;8.62;7.76;17.67;26.08;34.48;156;4;21;17;2;5.0;23;91.3;8.7;-4.17;Terciario
47.64;12;3;15;16;14;30;100;72;192;264;209;32.36;67.64;309;47.95;16;150;736;102;6;7;1868.15;0.12;53.33;0.0;0.0;0.0;0.0;3;25;106;2286;8;76;314;191;428;254;0;117;799;53.57;31.79;14.64;93;130;137;113;106;96;122;168;246;211;177;150;136;101;89;71;54;44;26;15;1;2286;2.33;42.91;47.03;30.05;17.54;9.23;3.76;15.75;25.33;34.86;52.97;433;45;127;82;14;6.2;141;90.07;9.93;-7.84;Terciario
5.33;0;0;0;182;39;221;726;544;1029;1573;1068;40.47;59.53;1794;767.6;2;681;1769;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;47;143;4099;2;169;628;379;794;478;0;226;1498;53.0;31.91;15.09;202;240;291;252;230;197;225;313;389;466;355;245;210;173;125;95;45;24;18;4;0;4099;2.81;39.16;42.94;22.91;11.81;4.54;1.12;17.88;29.64;39.94;57.06;1127;60;178;118;19;4.85;197;90.36;9.64;-14.72;Terciario
