Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de los menores de 25 años. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0421;Colmenar del Arroyo;14.71;12.82;20.41;18.07;17.12;16.41;11.18;12.29;11.84;10.00;4.35;7.27;5.08;6.78;3.51;13.64;2.59;6.54;
Municipios;0442;Colmenarejo;9.21;8.77;11.96;13.36;9.52;9.63;9.35;6.30;7.03;7.39;5.56;6.57;4.99;7.51;6.44;7.83;5.41;5.41;
Municipios;0480;Corpa;21.74;20.00;13.04;14.63;24.59;20.31;17.20;14.67;15.28;9.23;6.35;6.78;11.54;8.89;2.22;8.06;7.27;0.00;
Municipios;0493;Coslada;13.06;13.11;12.46;15.36;13.15;12.08;12.20;10.56;8.57;7.56;7.14;6.51;6.92;7.01;6.69;8.38;7.22;6.46;
Municipios;0506;Cubas de la Sagra;7.62;9.17;12.34;13.89;11.59;10.16;10.83;9.39;7.03;7.18;7.04;6.12;7.34;7.42;6.51;10.69;7.95;12.41;
Municipios;0534;Daganzo de Arriba;11.61;8.21;12.46;12.64;11.09;12.44;9.52;9.45;10.08;8.70;9.39;5.50;5.37;6.90;7.86;11.56;6.16;9.21;
Municipios;0549;Escorial (El);10.77;8.90;10.58;13.20;10.78;10.28;9.38;8.70;7.53;9.91;5.73;6.13;6.78;6.84;5.83;7.58;6.56;5.66;
Municipios;0552;Estremera;17.50;13.79;14.29;16.13;11.01;7.34;12.04;11.19;12.30;11.97;12.15;7.69;5.88;10.11;3.19;6.36;5.56;3.19;
Municipios;0565;Fresnedillas de la Oliva;6.90;4.84;15.22;13.33;16.11;13.75;9.45;10.78;10.00;9.60;4.07;5.84;4.32;6.56;6.09;7.59;5.43;5.79;
Municipios;0571;Fresno de Torote;10.77;8.06;15.56;14.47;13.64;10.69;9.60;8.54;9.50;9.31;6.67;7.38;8.67;9.24;7.69;7.41;7.10;9.60;
Municipios;0587;Fuenlabrada;17.61;16.69;17.52;17.81;15.57;14.48;13.59;11.63;10.30;9.40;8.97;8.51;8.80;9.34;9.43;10.15;8.05;9.90;
Municipios;0590;Fuente el Saz de Jarama;8.18;12.50;10.45;12.62;10.08;10.92;10.78;10.82;10.68;8.38;7.57;6.10;6.05;8.67;7.19;10.99;6.72;8.24;
Municipios;0604;Fuentidueña de Tajo;12.75;14.41;15.38;16.37;15.45;16.00;17.41;13.06;12.84;10.04;12.94;11.16;10.58;5.23;7.36;7.32;7.81;5.77;
Municipios;0611;Galapagar;8.91;8.72;9.41;11.26;10.85;11.42;10.53;7.47;7.75;7.54;6.77;6.96;6.44;7.34;6.73;8.07;5.17;6.62;
Municipios;0626;Garganta de los Montes;12.50;16.67;4.35;11.54;15.63;20.00;21.95;17.39;13.89;5.56;0.00;3.70;4.55;4.76;3.45;11.54;5.00;4.55;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;14.29;0.00;4.35;11.11;3.70;3.45;2.94;2.86;6.06;3.45;0.00;6.25;0.00;5.00;0.00;0.00;0.00;4.55;
Municipios;0647;Gascones;0.00;10.00;33.33;33.33;31.25;21.43;23.53;13.33;0.00;0.00;8.33;8.33;0.00;0.00;16.67;18.18;30.77;10.00;
Municipios;0650;Getafe;12.68;12.59;11.94;12.83;12.38;12.11;11.44;9.78;8.80;8.79;7.91;7.73;7.86;8.48;8.17;9.24;7.48;8.22;
Municipios;0663;Griñón;12.64;12.61;10.49;15.29;10.86;11.82;12.86;10.30;9.41;8.74;7.56;7.71;7.56;9.89;8.90;9.79;7.25;8.89;
Municipios;0679;Guadalix de la Sierra;13.14;8.87;9.58;14.89;13.77;10.91;13.55;11.15;9.82;8.63;7.62;9.01;8.50;8.03;9.14;10.00;4.01;5.14;
Municipios;0685;Guadarrama;15.57;13.59;12.96;12.90;10.32;12.03;11.86;9.49;9.40;10.40;7.51;7.87;8.82;8.70;8.45;9.03;8.09;7.84;
Municipios;0698;Hiruela (La);0.00;0.00;0.00;0.00;0.00;0.00;-;-;-;-;-;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
Municipios;0702;Horcajo de la Sierra-Aoslos;0.00;0.00;0.00;0.00;20.00;0.00;11.11;0.00;20.00;0.00;10.00;14.29;28.57;0.00;0.00;0.00;0.00;0.00;
Municipios;0719;Horcajuelo de la Sierra;0.00;0.00;0.00;0.00;25.00;50.00;22.22;0.00;0.00;16.67;0.00;0.00;0.00;0.00;0.00;12.50;0.00;0.00;
Municipios;0724;Hoyo de Manzanares;7.98;8.65;10.96;10.46;8.59;9.29;10.78;7.01;4.94;6.18;4.51;5.18;6.80;5.47;6.09;6.47;5.96;4.29;
Municipios;0730;Humanes de Madrid;18.20;15.76;17.71;17.05;15.36;14.11;12.85;11.32;10.56;10.92;9.40;8.16;7.52;11.46;10.70;10.81;8.12;9.92;
Municipios;0745;Leganés;12.50;11.87;12.35;14.18;13.54;12.56;11.87;10.92;10.10;9.90;9.20;8.45;8.47;9.03;9.40;10.08;7.72;8.20;
Municipios;0758;Loeches;11.30;13.96;8.63;15.71;12.62;12.65;11.34;9.05;8.46;9.20;8.86;7.92;8.19;9.15;8.73;9.15;8.69;10.25;
Municipios;0761;Lozoya;9.09;11.76;21.05;3.33;8.89;16.67;6.00;2.13;2.27;4.44;5.56;0.00;0.00;4.35;6.90;6.45;3.57;6.25;
