Serie;Codigo_municipio;Nombre;unidades_productivas_primario_2020;unidades_productivas_primario_2021;unidades_productivas_primario_2022;unidades_productivas_primario_2023;unidades_productivas_secundario_2020;unidades_productivas_secundario_2021;unidades_productivas_secundario_2022;unidades_productivas_secundario_2023;unidades_productivas_terciario_2020;unidades_productivas_terciario_2021;unidades_productivas_terciario_2022;unidades_productivas_terciario_2023
Municipios;1230;Rivas-Vaciamadrid;23;21;24;25;1576;1585;1669;1694;15833;15957;16594;16724
Municipios;1245;Robledillo de la Jara;0;0;0;0;1;1;2;2;17;21;14;16
Municipios;1258;Robledo de Chavela;32;29;31;30;79;87;88;88;685;717;756;754
Municipios;1261;Robregordo;0;0;0;0;1;2;1;1;7;10;9;11
Municipios;1277;Rozas de Madrid (Las);29;33;38;36;1117;1131;1134;1186;27736;27458;28108;28465
Municipios;1283;Rozas de Puerto Real;3;3;4;4;7;8;10;8;139;132;149;139
Municipios;1296;San Agustín del Guadalix;10;12;15;12;243;236;233;234;2660;2667;2710;2714
Municipios;1300;San Fernando de Henares;13;18;14;12;1197;1202;1231;1224;7082;7088;7165;7061
Municipios;1317;San Lorenzo de El Escorial;25;31;27;25;240;244;248;255;3542;3559;3669;3727
Municipios;1338;San Martín de Valdeiglesias;21;21;19;19;223;226;241;244;1374;1395;1428;1395
Municipios;1322;San Martín de la Vega;61;57;59;64;541;529;544;583;3087;3093;3091;3152
Municipios;1343;San Sebastián de los Reyes;48;56;50;47;1744;1719;1748;1788;18589;18354;18624;18720
Municipios;1356;Santa María de la Alameda;21;19;19;20;61;61;62;63;252;243;262;266
Municipios;1369;Santorcaz;6;6;7;7;22;25;26;25;91;106;112;119
Municipios;1375;Santos de la Humosa (Los);8;7;7;8;47;53;46;45;336;347;328;325
Municipios;1381;Serna del Monte (La);5;5;5;4;2;2;2;2;36;38;38;31
Municipios;1408;Serranillos del Valle;7;7;5;6;191;193;176;183;803;775;802;846
Municipios;1415;Sevilla la Nueva;8;8;10;10;231;227;232;234;1608;1564;1580;1589
Municipios;1436;Somosierra;1;1;1;1;1;1;1;1;34;44;30;30
Municipios;1441;Soto del Real;15;13;12;13;144;151;151;142;1796;1789;1804;1842
Municipios;1454;Talamanca de Jarama;11;11;11;11;88;82;82;84;533;520;540;541
Municipios;1467;Tielmes;14;16;17;13;75;81;83;69;343;374;372;349
Municipios;1473;Titulcia;7;6;5;5;44;38;35;34;192;192;184;180
Municipios;1489;Torrejón de Ardoz;40;37;36;44;2430;2458;2452;2449;17167;16958;17489;17416
Municipios;1505;Torrejón de Velasco;32;32;28;26;149;149;159;156;750;754;811;817
Municipios;1492;Torrejón de la Calzada;8;9;9;9;414;398;403;386;1637;1678;1717;1741
Municipios;1512;Torrelaguna;15;15;16;16;87;95;99;102;773;784;802;813
Municipios;1527;Torrelodones;8;9;9;13;239;263;287;274;6500;6598;6850;6830
Municipios;1533;Torremocha de Jarama;10;9;8;8;27;29;29;31;215;223;202;202
Municipios;1548;Torres de la Alameda;16;14;15;17;396;395;383;376;1420;1428;1448;1435
Municipios;9036;Tres Cantos;19;16;17;11;440;453;465;469;10156;10033;10358;10404
Municipios;1551;Valdaracete;12;10;10;10;15;16;17;14;73;73;72;69
Municipios;1564;Valdeavero;13;12;12;13;73;69;72;73;291;288;291;277
Municipios;1570;Valdelaguna;7;6;6;6;31;28;29;28;99;103;124;119
Municipios;1586;Valdemanco;1;0;0;0;32;32;36;35;132;134;150;137
Municipios;1599;Valdemaqueda;11;7;8;8;42;38;40;41;138;126;130;125
Municipios;1603;Valdemorillo;21;20;25;26;264;285;287;295;2611;2631;2848;2880
Municipios;1610;Valdemoro;23;26;27;25;1919;1851;1895;1899;11670;11724;11977;11983
Municipios;1625;Valdeolmos-Alalpardo;10;10;11;10;57;53;53;57;840;858;863;888
Municipios;1631;Valdepiélagos;8;7;6;5;22;21;23;25;111;122;121;109
Municipios;1646;Valdetorres de Jarama;15;17;20;19;122;108;114;128;685;675;708;734
Municipios;1659;Valdilecha;29;29;28;28;84;88;83;83;417;429;433;414
Municipios;1662;Valverde de Alcalá;4;4;4;3;7;7;7;7;57;57;59;54
Municipios;1678;Velilla de San Antonio;6;5;6;7;467;462;468;460;2001;2015;2075;2122
Municipios;1684;Vellón (El);11;9;8;10;51;49;52;52;248;252;267;243
Municipios;1697;Venturada;4;4;4;4;41;44;44;51;662;693;733;755
Municipios;1718;Villa del Prado;164;175;163;149;130;131;138;135;924;932;929;923
Municipios;1701;Villaconejos;84;62;61;64;87;106;100;92;576;586;601;587
Municipios;1723;Villalbilla;7;9;7;7;370;366;378;360;2120;2128;2237;2231
Municipios;1739;Villamanrique de Tajo;22;19;19;19;14;14;15;13;120;131;126;118
Municipios;1744;Villamanta;38;32;30;27;110;109;107;105;430;405;425;433
Municipios;1757;Villamantilla;6;4;5;4;41;40;48;47;190;206;217;196
Municipios;1782;Villanueva de Perales;10;10;9;10;31;30;28;30;290;290;280;281
Municipios;1760;Villanueva de la Cañada;19;20;20;21;235;242;269;281;5332;5352;5616;5671
Municipios;1776;Villanueva del Pardillo;13;11;10;10;263;263;289;285;3232;3141;3229;3321
Municipios;1795;Villar del Olmo;4;5;5;4;71;72;74;86;415;418;413;432
Municipios;1809;Villarejo de Salvanés;59;60;58;60;252;254;242;240;1123;1126;1130;1091
Municipios;1816;Villaviciosa de Odón;25;20;20;23;555;557;561;554;7251;7171;7441;7587
Municipios;1821;Villavieja del Lozoya;3;3;3;3;9;10;7;7;57;56;47;45
Municipios;1837;Zarzalejo;10;10;8;8;61;62;63;56;265;262;279;302
