Serie;Codigo_municipio;Nombre;afiliados_30a49_2020;afiliados_30a49_2021;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2020;afiliados_mayores_50_2021;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2020;afiliados_menores_18_2021;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2020;afiliados_menores_30_2021;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2020;afiliados_total_2021;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2020;porcentaje_30a49_2021;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2020;porcentaje_mayores_50_2021;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2020;porcentaje_menores_30_2021;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0382;Cercedilla;1377;1375;1355;1377;1098;1127;1184;1256;1;2;1;1;360;349;391;444;2835;2851;2930;3077;48.57;48.23;46.25;44.75;38.73;39.53;40.41;40.82;12.70;12.24;13.34;14.43
Municipios;0395;Cervera de Buitrago;18;16;17;12;31;26;21;15;0;0;0;0;2;4;6;6;51;46;44;33;35.29;34.78;38.64;36.36;60.78;56.52;47.73;45.45;3.92;8.70;13.64;18.18
Municipios;0513;Chapinería;398;406;426;431;246;269;301;313;0;0;0;0;122;110;128;117;766;785;855;861;51.96;51.72;49.82;50.06;32.11;34.27;35.20;36.35;15.93;14.01;14.97;13.59
Municipios;0528;Chinchón;1003;970;1019;998;692;680;733;784;3;1;2;2;339;311;301;326;2034;1961;2053;2108;49.31;49.46;49.63;47.34;34.02;34.68;35.70;37.19;16.67;15.86;14.66;15.46
Municipios;0409;Ciempozuelos;5084;4956;4975;4959;2714;2843;3037;3309;4;3;2;1;1422;1335;1416;1459;9220;9134;9428;9727;55.14;54.26;52.77;50.98;29.44;31.13;32.21;34.02;15.42;14.62;15.02;15.00
Municipios;0416;Cobeña;1527;1492;1482;1503;985;1039;1117;1163;0;0;0;0;417;367;421;465;2929;2898;3020;3131;52.13;51.48;49.07;48.00;33.63;35.85;36.99;37.14;14.24;12.66;13.94;14.85
Municipios;0468;Collado Mediano;1390;1310;1343;1334;1063;1084;1188;1244;2;0;0;0;337;322;361;416;2790;2716;2892;2994;49.82;48.23;46.44;44.56;38.10;39.91;41.08;41.55;12.08;11.86;12.48;13.89
Municipios;0474;Collado Villalba;14635;14259;14510;14555;9047;9310;9858;10457;4;4;3;8;4280;3933;4366;4599;27962;27502;28734;29611;52.34;51.85;50.50;49.15;32.35;33.85;34.31;35.31;15.31;14.30;15.19;15.53
Municipios;0455;Colmenar Viejo;11766;11536;11834;12193;7038;7264;7640;8039;0;1;4;4;3351;3079;3357;3571;22155;21879;22831;23803;53.11;52.73;51.83;51.22;31.77;33.20;33.46;33.77;15.13;14.07;14.70;15.00
Municipios;0437;Colmenar de Oreja;1591;1549;1615;1603;902;951;1011;1069;5;4;2;1;499;479;523;535;2992;2979;3149;3207;53.18;52.00;51.29;49.98;30.15;31.92;32.11;33.33;16.68;16.08;16.61;16.68
Municipios;0421;Colmenar del Arroyo;287;297;302;319;178;199;201;211;0;0;0;0;71;60;77;82;536;556;580;612;53.54;53.42;52.07;52.12;33.21;35.79;34.66;34.48;13.25;10.79;13.28;13.40
Municipios;0442;Colmenarejo;1879;1793;1821;1780;1308;1369;1433;1580;1;2;1;1;554;513;572;658;3741;3675;3826;4018;50.23;48.79;47.60;44.30;34.96;37.25;37.45;39.32;14.81;13.96;14.95;16.38
Municipios;0480;Corpa;168;163;156;171;62;68;68;74;0;0;0;0;22;18;25;26;252;249;249;271;66.67;65.46;62.65;63.10;24.60;27.31;27.31;27.31;8.73;7.23;10.04;9.59
