Serie;Codigo_municipio;Nombre;ocupados_primario_2022;ocupados_primario_2023;ocupados_secundario_2022;ocupados_secundario_2023;ocupados_terciario_2022;ocupados_terciario_2023
Municipios;0822;Manzanares el Real;24;19;226;221;2788;2754
Municipios;0838;Meco;39;41;2905;2844;13414;14285
Municipios;0843;Mejorada del Campo;9;5;4257;4241;11480;11617
Municipios;0856;Miraflores de la Sierra;22;21;261;231;2266;2298
Municipios;0869;Molar (El);24;27;282;284;2863;2975
Municipios;0875;Molinos (Los);11;10;164;159;1734;1819
Municipios;0881;Montejo de la Sierra;7;5;22;18;327;330
Municipios;0894;Moraleja de Enmedio;11;11;1883;1942;3780;3735
Municipios;0908;Moralzarzal;32;33;421;457;5885;6087
Municipios;0915;Morata de Tajuña;73;70;740;755;2519;2675
Municipios;0920;Móstoles;48;51;13949;14018;92827;94068
Municipios;0936;Navacerrada;0;0;98;100;1459;1534
Municipios;0941;Navalafuente;10;9;32;36;348;417
Municipios;0954;Navalagamella;15;14;57;47;714;736
Municipios;0967;Navalcarnero;69;70;2481;2446;18966;20430
Municipios;0973;Navarredonda y San Mamés;3;3;30;26;109;219
Municipios;0992;Navas del Rey;9;8;217;185;1285;1363
Municipios;1006;Nuevo Baztán;7;7;335;358;2140;2153
Municipios;1013;Olmeda de las Fuentes;7;7;18;17;247;378
Municipios;1028;Orusco de Tajuña;3;4;63;42;557;565
Municipios;1049;Paracuellos de Jarama;21;24;3025;2904;12924;13451
Municipios;1065;Parla;48;45;4994;5127;40514;41788
Municipios;1071;Patones;4;4;10;8;425;454
Municipios;1087;Pedrezuela;17;13;179;170;1995;1947
Municipios;1090;Pelayos de la Presa;5;1;194;210;1208;1252
Municipios;1104;Perales de Tajuña;14;13;191;195;1057;1041
Municipios;1111;Pezuela de las Torres;19;21;28;26;349;369
Municipios;1126;Pinilla del Valle;1;1;2;2;61;131
Municipios;1132;Pinto;31;30;9020;9153;40538;41747
Municipios;1147;Piñuécar-Gandullas;5;6;31;28;124;228
Municipios;1150;Pozuelo de Alarcón;128;131;3497;3834;152265;159454
Municipios;1163;Pozuelo del Rey;9;11;57;50;243;323
Municipios;1179;Prádena del Rincón;6;5;37;39;132;173
