Serie;Codigo_municipio;Nombre;evolucion_paro_registrado_2020;evolucion_paro_registrado_2021;evolucion_paro_registrado_2022;evolucion_paro_registrado_2023;paro_y_44_2020;paro_y_44_2021;paro_y_44_2022;paro_y_44_2023;paro_mayores_25_2020;paro_mayores_25_2021;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2020;paro_mayores_45_2021;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2020;paro_menores_25_2021;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2020;paro_100_habitantes_2021;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2020;paro_registrado_total_2021;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_mayores_25_2020;porcentaje_mayores_25_2021;porcentaje_mayores_25_2022;porcentaje_mayores_25_2023;porcentaje_menores_25_2020;porcentaje_menores_25_2021;porcentaje_menores_25_2022;porcentaje_menores_25_2023;variacion_paro_registrado_2020;variacion_paro_registrado_2021;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0164;Atazar (El);3.27;3.04;0.22;;2;2;2;1;8;12;12;13;6;10;10;12;0;1;1;0;8.89;11.93;12.15;;8;13;13;13;100.00;92.31;92.31;100.00;0.00;7.69;7.69;0.00;60.00;62.50;0.00;0.00
Municipios;0170;Batres;-0.30;0.59;-0.34;;24;37;33;23;78;86;84;73;54;49;51;50;5;11;7;4;4.74;5.33;4.99;;83;97;91;77;93.98;88.66;92.31;94.81;6.02;11.34;7.69;5.19;-2.35;16.87;-6.19;-15.38
Municipios;0186;Becerril de la Sierra;-0.08;0.38;-1.18;;107;119;93;105;309;328;271;307;202;209;178;202;12;29;18;15;5.46;5.84;4.66;;321;357;289;322;96.26;91.88;93.77;95.34;3.74;8.12;6.23;4.66;1.26;11.21;-19.05;11.42
Municipios;0199;Belmonte de Tajo;0.64;-0.34;-0.30;;53;59;62;42;108;108;110;96;55;49;48;54;13;12;6;12;7.19;6.85;6.56;;121;120;116;108;89.26;90.00;94.83;88.89;10.74;10.00;5.17;11.11;11.01;-0.83;-3.33;-6.90
Municipios;0210;Berrueco (El);0.03;0.40;-0.65;;14;16;14;12;31;33;33;36;17;17;19;24;3;5;0;0;4.38;4.77;4.12;;34;38;33;36;91.18;86.84;100.00;100.00;8.82;13.16;0.00;0.00;3.03;11.76;-13.16;9.09
Municipios;0203;Berzosa del Lozoya;-0.26;3.33;-3.84;;2;10;5;3;6;13;6;7;4;3;1;4;1;1;0;0;3.15;6.48;2.64;;7;14;6;7;85.71;92.86;100.00;100.00;14.29;7.14;0.00;0.00;0.00;100.00;-57.14;16.67
Municipios;0225;Boadilla del Monte;0.20;0.38;-0.71;;517;603;449;392;1467;1707;1437;1373;950;1104;988;981;77;123;62;57;2.72;3.10;2.39;;1544;1830;1499;1430;95.01;93.28;95.86;96.01;4.99;6.72;4.14;3.99;12.13;18.52;-18.09;-4.60
Municipios;0231;Boalo (El);0.08;0.39;-0.79;;173;167;150;106;378;420;384;337;205;253;234;231;22;29;12;16;5.22;5.61;4.82;;400;449;396;353;94.50;93.54;96.97;95.47;5.50;6.46;3.03;4.53;3.63;12.25;-11.80;-10.86
Municipios;0246;Braojos;-1.96;1.70;-0.46;;0;2;2;0;3;5;6;5;3;3;4;5;2;4;2;1;2.43;4.13;3.67;;5;9;8;6;60.00;55.56;75.00;83.33;40.00;44.44;25.00;16.67;-44.44;80.00;-11.11;-25.00
Municipios;0259;Brea de Tajo;-0.06;1.80;-1.85;;11;12;11;7;36;40;43;36;25;28;32;29;11;18;7;6;9.29;11.09;9.24;;47;58;50;42;76.60;68.97;86.00;85.71;23.40;31.03;14.00;14.29;-4.08;23.40;-13.79;-16.00
