Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0231;Boalo (El);2.72;2.49;204.93;210.04;40.17;40.63;47.20;48.24;25.04;26.10;12.32;12.85;5.52;5.79;1.52;1.59;18.92;18.16;29.80;29.35;37.68;37.25;52.80;51.76
Municipios;0246;Braojos;0.00;-2.75;8.74;8.50;45.95;46.69;52.29;53.77;35.32;38.21;19.72;18.87;10.55;11.79;5.05;3.77;8.26;8.02;21.10;20.28;31.65;30.66;47.71;46.23
Municipios;0259;Brea de Tajo;2.65;1.10;12.13;12.27;48.28;48.80;57.27;57.92;41.62;42.81;28.55;28.60;15.65;16.03;5.16;5.28;9.02;9.11;21.92;20.22;31.68;30.78;42.73;42.08
Municipios;0262;Brunete;1.06;1.66;219.71;223.37;40.53;40.74;45.54;46.27;26.11;27.09;13.46;13.55;6.21;6.38;2.05;2.07;16.02;15.63;28.91;28.88;39.61;39.86;54.46;53.73
Municipios;0278;Buitrago del Lozoya;0.46;0.10;75.16;75.24;42.84;43.53;47.80;49.18;31.40;32.24;19.06;19.09;10.60;10.80;4.61;4.76;16.14;15.46;27.46;26.00;38.47;36.90;52.20;50.82
Municipios;0284;Bustarviejo;0.04;1.66;48.17;48.97;43.38;43.56;51.35;51.56;30.62;30.85;15.88;16.35;7.83;7.78;3.29;3.27;15.37;14.97;24.09;24.31;32.88;32.59;48.65;48.44
Municipios;0297;Cabanillas de la Sierra;3.92;7.21;63.24;67.80;42.75;42.94;49.89;51.01;29.63;31.70;14.65;16.44;8.35;7.90;2.06;2.13;15.79;15.90;25.74;26.25;33.18;33.40;50.11;48.99
Municipios;0301;Cabrera (La);1.77;2.58;127.48;130.78;43.12;43.11;49.13;49.28;30.83;30.78;17.17;16.84;8.99;8.42;3.36;3.11;14.58;14.11;25.42;25.57;35.12;35.09;50.87;50.72
Municipios;0318;Cadalso de los Vidrios;-0.37;0.09;67.16;67.22;44.77;45.05;51.38;52.36;36.24;36.54;21.49;22.19;10.30;10.47;3.48;3.26;13.87;14.08;23.30;23.62;34.59;34.03;48.62;47.64
Municipios;0323;Camarma de Esteruelas;0.65;2.60;215.42;221.02;39.31;39.76;43.64;44.83;23.23;24.07;11.39;11.86;4.59;4.82;1.41;1.34;18.05;16.87;29.84;29.38;39.96;39.45;56.36;55.17
Municipios;0339;Campo Real;3.53;0.74;107.78;108.57;40.09;40.41;42.09;43.38;25.10;25.84;13.22;13.47;6.72;6.54;2.90;2.79;18.01;17.40;27.56;27.30;39.21;38.77;57.91;56.62
Municipios;0344;Canencia;0.00;1.53;8.43;8.56;52.16;51.71;66.52;65.52;51.20;50.22;28.45;28.66;18.16;17.46;8.32;8.62;6.78;7.76;16.85;17.67;24.73;26.08;33.48;34.48
Municipios;0357;Carabaña;3.04;2.33;46.86;47.95;42.61;42.91;46.46;47.03;29.27;30.05;16.70;17.54;8.95;9.23;4.03;3.76;15.89;15.75;25.51;25.33;35.14;34.86;53.54;52.97
Municipios;0360;Casarrubuelos;0.94;2.81;746.63;767.60;38.87;39.16;42.16;42.94;22.25;22.91;11.31;11.81;4.11;4.54;1.00;1.12;18.03;17.88;29.50;29.64;40.41;39.94;57.84;57.06
Municipios;0376;Cenicientos;0.10;0.38;30.47;30.58;47.62;48.06;55.14;56.13;42.40;43.39;26.73;27.06;15.14;15.52;6.01;6.27;12.16;11.88;21.68;21.55;31.78;31.61;44.86;43.87
Municipios;0382;Cercedilla;2.90;1.66;210.49;213.98;43.74;43.94;50.58;50.81;32.91;33.60;17.54;17.96;8.85;8.95;3.25;3.50;13.33;12.95;24.37;24.27;35.41;35.44;49.42;49.19
Municipios;0395;Cervera de Buitrago;5.06;-1.20;14.37;14.20;53.06;52.73;71.08;69.51;50.60;50.61;30.12;29.88;18.67;17.68;6.02;6.71;6.63;6.71;14.46;14.63;19.28;21.95;28.92;30.49
Municipios;0513;Chapinería;0.60;3.59;98.12;101.64;41.84;41.94;47.09;47.88;30.62;31.18;15.75;16.44;8.49;8.85;3.63;3.93;18.14;18.55;27.75;28.37;37.60;37.95;52.91;52.12
Municipios;0528;Chinchón;2.33;-0.05;48.95;48.93;44.43;44.59;50.52;51.16;34.37;34.81;19.73;19.88;9.55;9.54;3.60;3.28;13.52;13.53;23.55;23.30;34.36;33.95;49.48;48.84
Municipios;0409;Ciempozuelos;0.53;1.86;510.31;519.78;41.49;41.94;45.93;47.09;27.92;28.79;14.91;15.43;7.21;7.52;2.72;2.90;15.87;15.23;26.36;26.11;37.92;37.62;54.07;52.91
Municipios;0416;Cobeña;1.35;2.37;361.56;370.11;37.93;38.48;41.64;42.98;22.26;23.42;9.33;9.97;4.13;4.48;1.41;1.74;20.27;19.37;32.83;32.51;42.12;41.66;58.36;57.02
Municipios;0468;Collado Mediano;1.46;0.11;335.66;336.02;42.10;42.33;49.82;50.56;29.74;30.83;15.33;15.37;6.84;6.86;2.16;2.00;15.02;14.81;27.26;26.91;37.30;37.16;50.18;49.44
Municipios;0474;Collado Villalba;0.85;2.19;2571.09;2627.28;41.79;42.04;46.62;47.04;29.42;30.04;15.03;15.42;6.78;6.84;2.27;2.27;14.46;14.09;25.88;25.68;38.27;38.24;53.38;52.96
Municipios;0455;Colmenar Viejo;1.62;3.35;291.38;301.13;40.35;40.53;43.51;43.95;26.93;27.41;13.77;14.01;6.36;6.41;2.35;2.37;16.97;16.76;28.26;28.10;39.83;39.78;56.49;56.05
Municipios;0437;Colmenar de Oreja;1.65;2.21;67.71;69.21;43.67;43.98;49.89;50.75;32.46;33.18;18.47;19.01;9.03;9.15;3.18;3.58;13.75;13.51;24.73;24.42;35.46;35.15;50.11;49.25
Municipios;0421;Colmenar del Arroyo;3.19;0.77;39.32;39.63;44.17;44.33;50.34;51.13;33.01;33.62;19.03;19.40;10.01;10.03;3.97;3.79;14.34;14.18;23.21;23.23;33.83;33.78;49.66;48.87
Municipios;0442;Colmenarejo;1.38;1.16;302.98;306.51;40.33;40.79;45.95;47.08;26.50;27.65;12.73;13.27;5.52;5.69;1.65;1.63;16.08;15.26;30.35;29.75;40.27;39.90;54.05;52.92
Municipios;0480;Corpa;4.04;3.11;29.74;30.66;41.00;41.86;42.62;44.72;27.72;28.77;16.45;16.83;7.38;7.41;2.98;3.64;18.26;17.09;26.42;25.88;37.82;35.93;57.38;55.28
Municipios;0493;Coslada;-1.00;-0.54;6698.09;6662.18;45.00;45.33;51.89;52.71;36.31;36.93;21.66;22.75;7.71;8.35;1.82;1.90;12.50;12.31;21.41;21.58;32.90;32.65;48.11;47.29
