Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2020;crecimiento_relativo_poblacion_2021;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2020;densidad_poblacion_2021;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2020;edad_media_total_2021;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2020;grado_envejecimiento_mayores_45_2021;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2020;grado_envejecimiento_mayores_55_2021;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2020;grado_envejecimiento_mayores_65_2021;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2020;grado_envejecimiento_mayores_75_2021;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2020;grado_envejecimiento_mayores_85_2021;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2020;grado_juventud_menores_15_2021;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2020;grado_juventud_menores_25_2021;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2020;grado_juventud_menores_35_2021;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2020;grado_juventud_menores_45_2021;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;1230;Rivas-Vaciamadrid;3.2;2.15;4.05;;1350.75;1379.73;1435.63;;36.59;36.93;37.28;;38.35;39.2;40.03;;21.32;22.15;22.78;;8.05;8.59;9.18;;2.77;2.8;2.9;;0.96;0.96;1.0;;20.0;19.8;19.49;;31.41;31.25;30.99;;43.33;42.69;42.25;;61.65;60.8;59.97;
Municipios;1245;Robledillo de la Jara;18.75;2.11;17.53;;4.52;4.61;5.42;;53.64;53.9;49.77;;67.37;67.01;62.28;;50.53;50.52;43.86;;33.68;34.02;27.19;;23.16;21.65;14.91;;8.42;7.22;7.89;;5.26;4.12;3.51;;15.79;17.53;20.18;;20.0;21.65;28.07;;32.63;32.99;37.72;
Municipios;1258;Robledo de Chavela;2.2;2.64;2.41;;46.32;47.54;48.68;;44.12;44.26;44.46;;52.66;53.54;53.74;;33.96;34.65;35.27;;19.39;19.31;19.6;;9.67;9.31;9.27;;3.55;3.19;3.2;;13.22;12.79;12.49;;24.06;23.58;23.7;;32.86;32.55;32.64;;47.34;46.46;46.26;
Municipios;1261;Robregordo;12.07;9.23;-1.41;;3.54;3.87;3.81;;53.69;50.37;51.33;;56.92;53.52;55.71;;46.15;42.25;41.43;;38.46;35.21;32.86;;24.62;21.13;21.43;;12.31;11.27;12.86;;3.08;9.86;7.14;;10.77;11.27;10.0;;21.54;26.76;24.29;;43.08;46.48;44.29;
Municipios;1277;Rozas de Madrid (Las);0.31;-1.3;0.91;;1647.18;1625.74;1640.53;;39.13;39.46;39.9;;43.95;44.92;45.96;;25.92;26.69;27.68;;13.94;14.2;14.79;;5.78;5.87;6.28;;2.0;1.83;1.93;;18.73;18.11;17.56;;31.07;30.94;30.7;;40.92;40.68;40.31;;56.05;55.08;54.04;
Municipios;1283;Rozas de Puerto Real;4.72;6.31;-2.2;;18.78;19.97;19.53;;49.72;49.56;50.78;;59.46;59.66;63.08;;43.24;43.05;44.89;;29.55;27.63;28.94;;17.66;16.27;17.85;;6.85;6.27;6.41;;9.37;7.8;6.93;;16.94;16.44;15.94;;26.85;26.44;24.78;;40.54;40.34;36.92;
Municipios;1296;San Agustín del Guadalix;0.65;0.53;0.52;;351.87;353.75;355.58;;37.4;37.84;38.44;;41.52;42.54;44.1;;21.45;22.29;23.75;;10.11;10.36;11.13;;4.51;4.52;4.82;;1.55;1.52;1.61;;20.27;19.56;18.81;;32.87;32.58;32.32;;42.71;42.3;41.59;;58.48;57.46;55.9;
Municipios;1300;San Fernando de Henares;0.34;-0.64;-1.04;;1017.91;1011.4;1000.87;;41.43;41.79;42.35;;46.95;47.7;48.89;;29.71;30.64;32.05;;14.43;15.11;16.2;;6.08;6.0;6.23;;2.03;1.94;2.11;;13.7;13.4;12.97;;25.22;25.01;24.67;;37.51;36.81;36.07;;53.05;52.3;51.11;
Municipios;1317;San Lorenzo de El Escorial;0.89;-0.42;-0.17;;328.58;327.2;326.65;;42.35;42.61;43.19;;49.2;49.82;51.14;;31.73;32.69;33.9;;17.44;17.62;18.36;;8.77;8.69;8.96;;3.24;3.08;3.39;;15.04;14.57;14.09;;26.6;26.34;25.93;;37.05;36.96;36.41;;50.8;50.18;48.86;
Municipios;1338;San Martín de Valdeiglesias;2.6;0.93;0.59;;74.52;75.22;75.67;;43.22;43.01;43.37;;49.01;48.93;49.48;;32.86;32.93;33.6;;20.65;19.83;20.3;;11.51;10.54;10.54;;4.99;4.19;4.23;;15.53;15.48;15.12;;25.94;25.87;25.76;;36.72;36.56;35.79;;50.99;51.07;50.52;
Municipios;1322;San Martín de la Vega;2.42;1.12;0.37;;186.68;188.77;189.47;;37.44;37.74;38.19;;38.71;39.86;41.23;;21.33;22.12;23.09;;10.17;10.37;10.75;;4.65;4.62;4.7;;1.41;1.44;1.48;;19.03;18.85;18.45;;30.61;30.27;29.92;;42.66;42.32;41.85;;61.29;60.14;58.77;
Municipios;1343;San Sebastián de los Reyes;2.18;-0.29;0.13;;1539.39;1534.96;1537.01;;39.64;39.95;40.33;;42.4;43.58;44.87;;26.01;26.53;27.22;;14.53;14.79;15.24;;5.71;5.91;6.21;;1.59;1.56;1.66;;17.29;17.13;16.89;;27.65;27.62;27.51;;39.29;38.84;38.4;;57.6;56.42;55.13;
Municipios;1356;Santa María de la Alameda;5.34;8.71;4.39;;17.45;18.97;19.8;;44.94;44.93;44.66;;55.49;55.78;55.5;;37.62;38.02;37.22;;19.08;19.64;19.15;;7.8;8.64;7.61;;3.03;2.99;2.94;;13.63;13.72;14.41;;21.5;22.01;22.35;;30.89;30.5;30.49;;44.51;44.22;44.5;
Municipios;1369;Santorcaz;1.47;2.89;1.73;;31.83;32.75;33.32;;43.74;43.74;43.8;;50.17;50.49;51.43;;31.37;31.57;32.52;;18.58;18.92;18.81;;10.9;10.27;10.1;;3.11;3.24;3.19;;13.24;12.86;12.33;;23.69;24.11;23.91;;32.7;33.19;33.48;;49.83;49.51;48.57;
Municipios;1375;Santos de la Humosa (Los);4.02;1.3;0.81;;76.84;77.84;78.47;;36.84;37.33;38.1;;35.67;37.93;40.82;;19.93;20.26;21.45;;10.47;10.48;11.09;;5.09;5.06;5.56;;1.15;1.03;1.31;;22.46;21.0;19.99;;30.14;29.9;29.48;;41.43;40.64;40.13;;64.33;62.07;59.18;
Municipios;1381;Serna del Monte (La);7.41;10.34;12.5;;15.76;17.39;19.57;;45.33;42.22;41.81;;55.17;46.88;45.37;;42.53;36.46;34.26;;18.39;14.58;14.81;;4.6;4.17;2.78;;1.15;1.04;0.93;;9.2;12.5;13.89;;18.39;19.79;21.3;;31.03;34.38;35.19;;44.83;53.13;54.63;
Municipios;1408;Serranillos del Valle;3.03;3.22;1.81;;329.06;339.65;345.78;;38.86;38.96;39.22;;42.95;43.35;43.96;;24.12;24.29;25.04;;12.05;11.74;12.11;;5.45;5.4;5.61;;2.07;1.81;1.89;;18.29;17.5;17.45;;29.88;30.12;30.1;;40.67;40.55;40.05;;57.05;56.65;56.04;
Municipios;1415;Sevilla la Nueva;0.8;-0.51;0.17;;379.67;377.73;378.38;;38.5;38.71;39.38;;41.48;42.71;44.83;;21.89;22.44;23.89;;12.2;11.85;12.43;;6.22;5.82;6.16;;2.67;2.27;2.42;;20.15;19.3;17.94;;31.0;30.96;30.43;;40.23;39.81;39.14;;58.52;57.29;55.17;
Municipios;1436;Somosierra;1.16;0.0;0.0;;4.26;4.26;4.26;;51.74;51.45;50.34;;63.22;63.22;63.22;;45.98;47.13;43.68;;27.59;27.59;24.14;;17.24;16.09;13.79;;9.2;9.2;9.2;;3.45;3.45;3.45;;9.2;10.34;11.49;;27.59;29.89;32.18;;36.78;36.78;36.78;
Municipios;1441;Soto del Real;2.07;1.22;1.07;;209.54;212.11;214.37;;41.88;42.26;42.71;;49.54;50.35;51.06;;31.37;32.47;33.37;;16.23;16.57;16.97;;7.77;7.85;8.1;;2.97;2.83;3.08;;14.69;14.02;13.69;;28.34;27.98;27.57;;38.02;37.5;36.87;;50.46;49.65;48.94;
Municipios;1454;Talamanca de Jarama;4.02;2.77;2.11;;104.18;107.06;109.32;;38.61;38.84;39.6;;39.56;40.16;42.3;;23.01;23.48;25.04;;12.54;12.61;13.54;;6.01;6.02;6.56;;2.39;2.3;2.33;;19.07;18.8;18.38;;28.17;28.33;27.67;;40.38;39.87;38.5;;60.44;59.84;57.7;
Municipios;1467;Tielmes;3.25;1.64;0.07;;102.86;104.55;104.62;;41.58;41.52;42.1;;44.44;45.06;46.89;;28.98;29.23;30.11;;16.96;16.79;17.0;;9.47;9.1;9.52;;3.98;3.49;3.67;;15.79;16.15;15.16;;25.11;25.35;25.08;;38.01;37.4;36.69;;55.56;54.94;53.11;
Municipios;1473;Titulcia;2.13;1.42;-1.76;;132.25;134.12;131.76;;41.32;41.61;42.6;;47.13;47.79;49.78;;29.31;29.49;31.14;;16.78;17.21;17.89;;8.65;9.34;9.43;;1.86;1.99;2.62;;16.41;16.03;14.9;;26.32;26.69;24.93;;37.73;37.28;36.0;;52.87;52.21;50.22;
Municipios;1489;Torrejón de Ardoz;1.12;-0.06;1.48;;4101.67;4099.14;4159.71;;39.87;40.22;40.57;;41.89;43.03;44.19;;26.02;26.6;27.1;;14.82;15.17;15.52;;5.82;6.01;6.18;;1.66;1.62;1.69;;16.84;16.51;16.08;;26.5;26.41;26.26;;38.6;38.16;37.74;;58.11;56.97;55.81;
Municipios;1505;Torrejón de Velasco;0.09;4.74;1.98;;84.04;88.02;89.77;;39.25;37.29;39.64;;43.87;44.43;45.17;;24.69;24.71;24.93;;13.18;13.26;13.34;;6.02;5.99;5.64;;1.87;2.09;2.13;;18.9;18.09;17.2;;29.62;29.28;29.2;;39.58;39.75;39.34;;56.13;55.57;54.83;
Municipios;1492;Torrejón de la Calzada;3.63;3.86;4.17;;1024.97;1064.55;1108.92;;37.12;39.41;37.33;;37.83;38.46;38.72;;21.72;21.9;21.95;;10.68;11.0;11.08;;3.71;3.78;3.89;;1.24;1.1;1.1;;19.78;19.6;19.62;;30.93;30.73;30.86;;42.71;42.45;42.59;;62.17;61.54;61.28;
Municipios;1512;Torrelaguna;1.97;0.89;0.88;;112.65;113.65;114.64;;41.38;41.4;42.05;;46.35;47.25;48.54;;28.88;29.02;30.26;;16.36;16.05;16.94;;8.69;8.19;8.48;;3.5;3.08;3.48;;17.33;16.72;15.99;;27.05;27.02;26.54;;36.79;36.84;36.36;;53.65;52.75;51.46;
Municipios;1527;Torrelodones;0.78;0.92;2.71;;1102.49;1112.64;1142.76;;39.48;39.71;40.02;;45.9;46.48;47.25;;27.42;28.1;28.71;;13.51;13.71;14.22;;6.01;5.99;6.42;;1.97;1.91;2.2;;17.89;17.39;17.02;;32.11;31.63;31.49;;41.43;41.28;41.24;;54.1;53.52;52.75;
Municipios;1533;Torremocha de Jarama;5.5;0.37;1.67;;56.82;57.03;57.98;;47.76;47.22;48.3;;55.35;55.24;58.07;;40.0;38.83;40.75;;28.47;27.15;28.53;;17.86;17.33;18.05;;9.12;8.25;8.75;;12.37;12.79;13.04;;23.53;23.91;23.79;;31.53;31.51;29.63;;44.65;44.76;41.93;
Municipios;1548;Torres de la Alameda;0.69;-1.33;-0.19;;180.65;178.25;177.91;;40.24;40.46;40.79;;43.13;44.49;45.88;;26.52;27.05;27.68;;14.68;14.43;15.06;;7.53;7.06;7.1;;3.66;3.11;3.05;;17.15;16.38;15.97;;28.79;28.57;28.49;;39.23;38.54;38.32;;56.87;55.51;54.12;
Municipios;9036;Tres Cantos;1.27;0.88;2.95;;1273.08;1284.27;1322.1;;39.68;39.94;40.2;;43.99;44.61;45.0;;28.01;28.74;29.31;;13.29;13.75;14.47;;5.1;5.11;5.54;;1.78;1.66;1.84;;16.29;16.2;16.32;;28.67;28.37;28.25;;40.77;40.05;39.84;;56.01;55.39;55.0;
Municipios;1551;Valdaracete;-0.66;1.16;2.45;;9.48;9.58;9.82;;45.82;46.27;46.37;;52.56;52.61;53.59;;38.51;38.89;39.87;;23.31;23.2;24.24;;12.4;12.58;12.92;;4.96;5.56;6.54;;12.4;10.95;11.96;;20.33;19.93;20.1;;32.89;32.84;32.7;;47.44;47.39;46.41;
Municipios;1564;Valdeavero;2.38;4.97;1.86;;84.94;89.16;90.82;;39.52;39.25;40.11;;40.35;40.54;43.8;;24.51;24.91;25.93;;13.26;13.47;14.4;;5.72;5.27;5.88;;1.76;1.5;1.94;;17.66;17.6;17.28;;26.59;27.66;26.98;;38.4;39.04;37.51;;59.65;59.46;56.2;
Municipios;1570;Valdelaguna;4.48;4.8;-0.97;;23.26;24.38;24.14;;42.61;42.53;42.67;;47.5;47.56;47.64;;29.62;29.73;30.02;;19.41;18.71;17.91;;9.91;9.16;9.65;;3.06;2.73;2.66;;15.32;14.62;14.17;;24.82;25.15;24.7;;35.24;34.99;34.65;;52.5;52.44;52.36;
Municipios;1586;Valdemanco;5.36;5.09;2.08;;54.1;56.85;58.03;;43.49;43.83;44.16;;49.33;50.89;52.08;;31.46;32.31;32.91;;20.87;20.55;21.68;;10.8;10.47;10.84;;3.74;3.26;3.19;;15.99;15.22;15.68;;24.82;23.62;23.43;;32.29;31.32;32.14;;50.67;49.11;47.92;
Municipios;1599;Valdemaqueda;-0.77;1.81;1.14;;14.98;15.25;15.43;;44.24;44.89;45.84;;52.26;53.74;56.02;;37.03;37.52;39.72;;21.29;22.18;22.56;;10.97;11.41;11.4;;2.58;2.92;3.38;;15.87;15.46;13.66;;23.35;22.43;21.68;;34.06;32.83;31.33;;47.74;46.26;43.98;
Municipios;1603;Valdemorillo;2.03;3.7;1.57;;136.02;141.05;143.27;;40.39;40.67;41.02;;47.28;47.97;49.0;;26.89;27.58;28.37;;14.12;14.14;14.4;;6.19;6.17;6.53;;1.81;1.86;2.01;;17.08;16.59;16.31;;28.41;28.25;28.11;;37.8;37.64;37.08;;52.72;52.03;51.0;
Municipios;1610;Valdemoro;1.69;0.41;1.95;;1202.83;1207.77;1231.32;;37.14;37.53;38.02;;38.91;40.64;42.25;;19.29;20.16;21.14;;9.79;10.02;10.4;;4.42;4.42;4.66;;1.35;1.32;1.43;;20.21;19.52;18.72;;31.49;31.43;31.23;;41.53;41.21;40.99;;61.09;59.36;57.75;
Municipios;1625;Valdeolmos-Alalpardo;2.32;1.82;2.02;;163.59;166.56;169.93;;37.17;37.5;38.06;;38.37;39.78;41.06;;21.24;21.3;22.11;;11.11;11.28;11.58;;4.68;4.66;4.91;;1.56;1.53;1.62;;21.05;20.63;19.56;;32.54;32.17;31.44;;42.18;41.91;41.36;;61.63;60.22;58.94;
Municipios;1631;Valdepiélagos;5.14;-0.33;1.47;;34.69;34.58;35.08;;41.51;41.84;42.67;;45.77;48.2;49.92;;28.01;29.25;30.76;;14.98;15.2;16.1;;7.82;8.17;8.86;;3.26;2.78;2.9;;15.64;14.38;13.85;;24.76;24.18;22.71;;35.83;35.78;34.3;;54.23;51.8;50.08;
Municipios;1646;Valdetorres de Jarama;1.87;2.51;2.85;;130.48;133.75;137.57;;41.64;41.63;41.7;;46.98;47.32;47.78;;29.12;29.34;29.25;;16.57;16.27;16.05;;8.27;8.18;7.72;;2.82;2.87;2.9;;15.72;14.97;14.89;;26.39;26.32;26.27;;36.98;37.76;36.85;;53.02;52.68;52.22;
Municipios;1659;Valdilecha;1.67;3.25;0.81;;70.03;72.31;72.9;;39.93;40.16;40.43;;42.66;43.52;43.69;;26.43;26.92;27.71;;14.35;14.39;14.66;;6.84;6.79;6.89;;2.52;2.63;2.55;;16.43;16.63;16.59;;27.0;26.96;26.68;;39.77;39.75;38.98;;57.34;56.48;56.31;
Municipios;1662;Valverde de Alcalá;7.1;4.02;2.7;;36.22;37.67;38.69;;43.9;43.17;43.48;;51.0;49.61;50.56;;32.33;31.08;31.39;;16.67;16.8;16.73;;7.63;7.14;7.33;;2.61;2.51;2.44;;10.84;12.16;12.03;;20.88;22.59;21.99;;31.93;33.01;32.33;;49.0;50.39;49.44;
Municipios;1678;Velilla de San Antonio;1.18;1.32;1.81;;860.92;872.25;888.04;;37.7;38.14;38.54;;40.64;41.64;42.59;;21.41;22.38;23.31;;8.82;9.38;9.85;;3.38;3.62;3.69;;1.16;1.26;1.25;;17.61;16.79;16.23;;30.23;29.74;29.3;;41.42;41.06;40.77;;59.36;58.36;57.41;
Municipios;1684;Vellón (El);2.35;3.94;1.97;;59.8;62.16;63.38;;41.19;41.27;41.36;;43.71;44.22;45.62;;26.7;25.92;26.55;;16.72;16.37;16.15;;7.88;7.87;8.33;;2.89;2.83;2.87;;16.12;15.31;15.96;;24.5;24.24;24.95;;35.98;35.81;35.64;;56.29;55.78;54.38;
Municipios;1697;Venturada;3.61;6.51;2.43;;219.06;233.33;239.0;;40.8;41.12;41.43;;49.26;50.31;51.21;;27.35;28.36;29.2;;13.3;13.36;13.62;;5.8;6.07;6.05;;1.65;1.68;1.76;;15.31;15.46;14.93;;27.84;28.15;28.1;;36.23;36.2;36.24;;50.74;49.69;48.79;
Municipios;1718;Villa del Prado;2.16;2.64;3.73;;86.16;88.44;91.73;;41.41;41.38;41.78;;45.74;46.06;46.66;;30.04;30.04;30.74;;17.93;17.23;17.81;;9.46;9.04;9.35;;3.86;3.39;3.61;;16.57;16.15;15.93;;27.67;27.37;27.04;;39.66;39.37;38.79;;54.26;53.94;53.34;
Municipios;1701;Villaconejos;1.0;1.23;-0.23;;102.79;104.06;103.81;;41.74;42.17;42.65;;45.7;46.88;48.06;;30.48;31.29;32.15;;18.35;18.36;19.01;;9.5;9.53;9.52;;3.24;3.23;2.95;;15.23;15.01;14.47;;26.68;26.1;25.17;;38.75;38.31;37.7;;54.3;53.12;51.94;
Municipios;1723;Villalbilla;3.7;4.57;5.43;;414.52;433.44;456.97;;36.67;36.81;36.89;;36.72;37.22;37.71;;20.45;20.56;20.78;;9.94;9.87;10.0;;3.77;3.59;3.54;;1.21;1.06;1.11;;20.69;20.57;20.61;;31.02;30.81;31.04;;42.18;41.55;41.55;;63.28;62.78;62.29;
Municipios;1739;Villamanrique de Tajo;0.57;7.78;-0.66;;23.88;25.73;25.57;;45.17;44.79;45.59;;51.34;50.39;52.71;;35.36;34.65;36.2;;21.78;21.26;22.32;;11.32;11.81;12.02;;4.38;3.94;3.96;;12.02;12.34;11.89;;21.92;22.05;21.53;;31.68;32.68;31.31;;48.66;49.61;47.29;
Municipios;1744;Villamanta;1.96;1.46;2.69;;41.18;41.78;42.9;;43.59;43.31;43.33;;48.71;48.43;48.12;;33.55;32.54;32.61;;20.23;19.67;19.86;;12.21;11.43;11.35;;6.22;5.79;5.75;;15.24;14.53;15.29;;25.11;24.9;25.17;;36.58;37.46;37.21;;51.29;51.57;51.88;
Municipios;1757;Villamantilla;2.85;2.16;3.5;;61.9;63.24;65.46;;38.82;38.79;38.77;;41.97;42.87;44.03;;23.48;23.51;23.23;;12.28;12.02;11.3;;6.75;6.08;5.62;;2.5;2.38;2.11;;20.45;20.48;19.72;;29.96;30.58;30.7;;38.73;38.9;39.63;;58.03;57.13;55.97;
Municipios;1782;Villanueva de Perales;1.86;0.44;1.5;;50.62;50.84;51.61;;39.85;40.2;40.72;;46.04;46.84;48.06;;24.56;25.64;27.05;;12.5;13.45;14.11;;5.21;5.82;5.98;;1.19;1.25;1.66;;16.77;16.14;16.08;;28.45;28.58;28.1;;37.31;37.21;36.23;;53.96;53.16;51.94;
Municipios;1760;Villanueva de la Cañada;3.12;2.1;1.17;;635.67;649.04;656.65;;37.63;37.9;38.26;;40.77;41.2;42.4;;23.46;24.29;25.15;;11.18;11.38;11.89;;5.0;5.06;5.23;;1.54;1.55;1.69;;18.25;17.87;17.66;;33.34;33.04;32.8;;44.99;44.92;44.32;;59.23;58.8;57.6;
Municipios;1776;Villanueva del Pardillo;1.26;-0.49;0.42;;683.54;680.16;682.99;;35.93;36.44;37.09;;39.41;41.29;43.07;;17.83;18.87;20.29;;8.38;8.64;9.1;;3.62;3.76;4.0;;1.14;1.11;1.17;;22.78;21.41;19.97;;35.31;35.08;34.51;;44.18;43.89;43.46;;60.59;58.71;56.93;
Municipios;1795;Villar del Olmo;3.38;6.35;0.36;;74.78;79.53;79.82;;41.47;41.19;41.58;;49.3;48.62;48.85;;30.3;30.44;31.41;;13.61;13.34;13.88;;5.34;4.98;5.27;;1.68;1.63;1.8;;14.48;15.2;14.06;;26.21;26.23;25.69;;36.8;36.86;36.86;;50.7;51.38;51.15;
Municipios;1809;Villarejo de Salvanés;1.34;1.6;1.02;;62.41;63.41;64.06;;41.08;41.2;41.49;;45.07;45.52;46.36;;29.52;29.97;30.36;;16.35;16.42;16.9;;8.14;7.98;8.26;;3.19;3.09;3.2;;16.47;16.02;15.52;;27.19;27.3;26.96;;39.12;39.02;38.68;;54.93;54.48;53.64;
Municipios;1816;Villaviciosa de Odón;1.12;-0.42;0.44;;412.55;410.82;412.6;;42.34;42.68;43.0;;48.57;49.4;50.32;;32.95;33.55;34.06;;19.5;19.79;20.31;;7.97;8.29;8.87;;2.52;2.53;2.62;;14.4;13.92;13.59;;27.55;27.33;27.41;;38.31;37.84;37.69;;51.43;50.6;49.68;
Municipios;1821;Villavieja del Lozoya;3.56;5.34;2.9;;11.24;11.84;12.18;;46.21;47.0;45.9;;59.92;61.23;57.75;;37.02;38.41;36.62;;19.85;20.29;19.72;;10.69;10.14;10.92;;3.82;2.9;2.82;;9.92;9.06;9.86;;23.28;21.38;23.59;;30.53;28.26;32.04;;40.08;38.77;42.25;
Municipios;1837;Zarzalejo;4.58;3.0;-0.73;;85.88;88.46;87.82;;42.57;42.22;42.79;;50.06;49.89;51.61;;32.24;32.19;33.16;;17.7;17.02;17.09;;10.15;9.52;9.08;;4.04;3.92;3.89;;17.01;17.47;16.36;;27.22;27.44;26.57;;35.35;36.0;35.03;;49.94;50.11;48.39;
