Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2020;crecimiento_relativo_poblacion_2021;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2020;densidad_poblacion_2021;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2020;edad_media_total_2021;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2020;grado_envejecimiento_mayores_45_2021;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2020;grado_envejecimiento_mayores_55_2021;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2020;grado_envejecimiento_mayores_65_2021;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2020;grado_envejecimiento_mayores_75_2021;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2020;grado_envejecimiento_mayores_85_2021;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2020;grado_juventud_menores_15_2021;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2020;grado_juventud_menores_25_2021;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2020;grado_juventud_menores_35_2021;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2020;grado_juventud_menores_45_2021;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Municipios;0297;Cabanillas de la Sierra;3.84;6.62;4.42;;56.8;60.56;63.24;;42.61;42.31;42.21;;49.55;49.1;49.89;;30.32;29.27;29.52;;16.43;15.29;14.65;;9.43;9.56;8.35;;2.8;2.63;2.06;;15.41;15.29;15.79;;25.99;25.93;25.74;;33.12;33.93;33.18;;50.45;50.9;50.11;
Municipios;0301;Cabrera (La);2.59;1.68;0.83;;123.47;125.54;126.58;;42.09;42.73;42.77;;47.15;48.78;49.34;;29.57;30.77;31.05;;16.7;17.61;17.36;;9.1;9.35;9.16;;3.25;3.13;3.49;;14.73;14.31;14.37;;26.32;25.7;25.35;;36.73;35.26;35.12;;52.85;51.22;50.66;
Municipios;0318;Cadalso de los Vidrios;0.26;5.12;-0.31;;63.65;66.91;66.7;;43.65;44.2;44.32;;49.33;51.08;51.55;;34.07;35.65;36.33;;21.5;21.64;21.55;;10.47;10.4;10.3;;4.43;4.09;3.51;;14.24;14.14;13.84;;24.42;23.38;23.27;;35.74;34.94;34.51;;50.67;48.92;48.45;
Municipios;0323;Camarma de Esteruelas;1.38;1.59;0.53;;211.22;214.57;215.71;;37.0;38.4;38.83;;40.38;42.24;43.65;;21.89;22.55;23.24;;11.11;11.32;11.38;;4.72;4.65;4.6;;1.45;1.39;1.42;;19.38;18.9;17.99;;30.25;30.14;29.78;;40.77;40.29;39.95;;59.62;57.76;56.35;
Municipios;0339;Campo Real;3.38;-0.06;3.66;;103.87;103.8;107.6;;39.09;39.22;39.63;;40.14;41.04;42.13;;24.66;24.72;25.18;;12.77;12.73;13.29;;6.62;6.39;6.74;;3.1;2.68;2.9;;18.15;18.11;17.89;;27.99;27.68;27.53;;40.09;39.48;39.18;;59.86;58.96;57.87;
Municipios;0344;Canencia;0.0;3.13;-1.3;;8.25;8.51;8.4;;51.16;51.23;51.81;;65.77;66.81;66.59;;46.76;48.16;51.21;;27.52;26.9;28.79;;18.57;18.44;18.46;;8.5;8.24;8.57;;7.61;7.81;6.59;;17.9;18.87;16.7;;24.38;24.51;24.62;;34.23;33.19;33.41;
Municipios;0357;Carabaña;3.53;2.93;3.17;;43.65;44.93;46.36;;41.96;41.95;42.19;;45.12;45.56;46.52;;29.12;29.08;29.68;;17.64;17.41;17.06;;10.19;9.52;9.28;;4.47;4.39;4.3;;16.05;16.2;16.11;;25.9;25.86;25.79;;35.99;35.9;35.29;;54.88;54.44;53.48;
Municipios;0360;Casarrubuelos;1.77;2.44;0.56;;720.04;737.64;741.76;;37.58;38.01;38.48;;39.17;40.77;42.39;;21.61;22.16;22.49;;10.43;11.07;11.49;;3.59;4.04;4.27;;0.96;1.09;1.16;;19.48;19.07;18.05;;30.01;29.83;29.46;;41.2;40.72;40.34;;60.83;59.23;57.61;
Municipios;0376;Cenicientos;0.25;2.21;0.29;;29.85;30.51;30.6;;46.68;46.56;47.06;;53.78;53.67;55.05;;41.02;41.0;42.27;;26.1;25.97;26.66;;15.55;14.74;15.13;;6.58;6.05;6.03;;12.81;12.58;12.21;;22.18;22.37;21.78;;33.56;33.03;31.93;;46.22;46.33;44.95;
Municipios;0382;Cercedilla;2.55;2.14;2.36;;201.48;205.79;210.65;;42.79;43.13;43.23;;49.38;50.18;50.54;;31.81;32.71;32.87;;17.1;17.26;17.54;;8.91;9.0;8.87;;3.43;3.32;3.28;;13.78;13.37;13.3;;24.97;24.34;24.37;;36.03;35.44;35.46;;50.62;49.82;49.46;
Municipios;0395;Cervera de Buitrago;8.0;-2.47;6.96;;14.03;13.68;14.63;;51.26;52.61;52.34;;67.28;70.89;71.01;;43.83;48.73;49.7;;29.63;29.11;29.59;;19.75;19.62;18.34;;4.32;5.06;5.92;;9.88;6.33;6.51;;16.67;13.92;14.2;;20.99;17.72;18.93;;32.72;29.11;28.99;
Municipios;0513;Chapinería;3.69;3.31;0.72;;94.44;97.57;98.28;;41.24;41.32;41.36;;46.48;46.99;47.13;;29.95;30.51;30.65;;16.74;16.32;15.8;;9.65;9.06;8.52;;3.98;3.77;3.7;;18.97;18.44;18.15;;28.58;28.23;27.75;;37.95;37.65;37.66;;53.52;53.01;52.87;
Municipios;0528;Chinchón;1.54;1.72;2.76;;46.71;47.51;48.82;;43.25;43.58;43.97;;48.92;49.6;50.55;;33.12;33.89;34.45;;19.29;19.61;19.83;;9.75;9.66;9.65;;3.77;3.61;3.68;;14.26;13.77;13.49;;24.09;23.96;23.56;;35.17;34.98;34.39;;51.08;50.4;49.45;
Municipios;0409;Ciempozuelos;2.08;-0.08;1.2;;508.28;507.86;513.93;;39.0;40.3;40.96;;42.9;44.04;45.79;;25.87;26.6;27.81;;13.86;13.95;14.83;;6.84;6.73;7.17;;2.57;2.52;2.71;;16.86;16.45;15.81;;27.01;26.94;26.32;;38.97;38.64;37.98;;57.1;55.96;54.21;
Municipios;0416;Cobeña;0.78;-0.56;1.44;;359.73;357.71;362.85;;36.74;37.13;37.45;;39.45;40.76;41.64;;20.45;21.4;22.26;;8.67;8.95;9.32;;4.11;4.0;4.11;;1.56;1.44;1.4;;21.09;20.53;20.12;;33.06;32.64;32.71;;42.65;42.22;42.11;;60.55;59.24;58.36;
Municipios;0468;Collado Mediano;2.11;3.42;1.47;;319.9;330.84;335.7;;41.03;41.29;41.61;;48.05;48.94;49.83;;28.39;28.89;29.72;;14.83;14.87;15.32;;6.66;6.78;6.83;;1.97;2.04;2.15;;16.24;15.6;14.94;;27.99;27.49;27.17;;37.47;37.41;37.27;;51.95;51.06;50.17;
