Serie;Codigo_municipio;Nombre;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos
Municipios;1049;Paracuellos de Jarama;15;1;4;1270.31;0.03;20.12
Municipios;1065;Parla;17;0;2;1470.86;0.00;2.41
Municipios;1071;Patones;11;2;5;482.38;0.06;431.51
Municipios;1087;Pedrezuela;15;0;14;455.90;0.00;455.54
Municipios;1090;Pelayos de la Presa;4;0;3;101.65;0.00;83.09
Municipios;1104;Perales de Tajuña;89;8;5;649.97;0.23;128.93
Municipios;1111;Pezuela de las Torres;36;1;2;3138.53;0.03;127.04
Municipios;1126;Pinilla del Valle;6;0;6;401.07;0.00;401.07
Municipios;1132;Pinto;26;2;1;4542.06;0.08;368.99
Municipios;1147;Piñuécar0Gandullas;15;2;15;822.39;0.09;817.42
Municipios;1150;Pozuelo de Alarcón;11;1;0;12.04;0.03;0.00
Municipios;1163;Pozuelo del Rey;24;0;3;2586.00;0.00;19.29
Municipios;1179;Prádena del Rincón;8;1;8;441.90;0.01;441.89
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0
Municipios;9020;Puentes Viejas;22;4;22;979.90;0.09;979.24
Municipios;1198;Quijorna;9;2;2;1080.95;0.06;354.90
Municipios;1202;Rascafría;35;1;34;2344.51;0.04;2336.06
Municipios;1219;Redueña;12;1;6;643.60;0.02;487.29
Municipios;1224;Ribatejada;16;0;2;1767.94;0.00;188.12
Municipios;1230;Rivas0Vaciamadrid;18;1;6;1189.97;0.02;58.44
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0
Municipios;1258;Robledo de Chavela;34;2;34;2974.34;0.02;2973.60
Municipios;1261;Robregordo;5;0;5;242.33;0.00;242.33
Municipios;1277;Rozas de Madrid (Las);5;0;4;951.92;0.00;602.98
Municipios;1283;Rozas de Puerto Real;32;0;20;628.65;0.00;556.02
Municipios;1296;San Agustín del Guadalix;21;3;17;2334.09;0.08;1416.34
Municipios;1300;San Fernando de Henares;12;1;3;1146.08;0.03;141.77
Municipios;1317;San Lorenzo de El Escorial;20;1;19;1971.12;0.05;1968.69
Municipios;1338;San Martín de Valdeiglesias;284;45;50;1497.99;1.67;717.00
Municipios;1322;San Martín de la Vega;116;7;9;4361.71;0.13;552.86
