Serie;Codigo_municipio;Nombre;2020;2021;2022
Municipios;1599;Valdemaqueda;87.78;87.69;49.18;
Municipios;1603;Valdemorillo;78.02;83.16;44.12;
Municipios;1610;Valdemoro;86.75;91.03;61.78;
Municipios;1625;Valdeolmos0Alalpardo;90.28;92.87;81.30;
Municipios;1631;Valdepiélagos;72.73;83.82;68.83;
Municipios;1646;Valdetorres de Jarama;83.16;78.79;56.75;
Municipios;1659;Valdilecha;79.60;79.89;67.39;
Municipios;1662;Valverde de Alcalá;100.00;96.08;94.69;
Municipios;1678;Velilla de San Antonio;80.15;80.57;35.45;
Municipios;1684;Vellón (El);92.31;86.17;55.68;
Municipios;1697;Venturada;80.29;89.14;42.99;
Municipios;1718;Villa del Prado;90.46;90.50;52.27;
Municipios;1701;Villaconejos;92.18;86.26;55.61;
Municipios;1723;Villalbilla;82.00;79.62;50.10;
Municipios;1739;Villamanrique de Tajo;98.40;96.14;35.94;
Municipios;1744;Villamanta;93.95;90.09;57.05;
Municipios;1757;Villamantilla;90.77;80.77;47.69;
Municipios;1782;Villanueva de Perales;80.19;85.03;82.67;
Municipios;1760;Villanueva de la Cañada;74.42;70.92;34.78;
Municipios;1776;Villanueva del Pardillo;74.29;74.62;43.32;
Municipios;1795;Villar del Olmo;77.37;81.88;45.33;
Municipios;1809;Villarejo de Salvanés;95.95;94.19;70.96;
Municipios;1816;Villaviciosa de Odón;78.23;80.75;42.69;
Municipios;1821;Villavieja del Lozoya;97.06;82.76;87.50;
Municipios;1837;Zarzalejo;91.16;78.61;61.21;
