Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6
Villamantilla;1.35;10.13;11.61;14.26;20.54;42.12
Villanueva de Perales;5.18;2.17;20.83;26.1;19.85;25.88
Villanueva de la Cañada;0.19;10.67;6.11;15.3;29.45;38.29
Villanueva del Pardillo;0.3;4.27;13.01;16.69;35.28;30.45
Villar del Olmo;0.6;20.94;14.99;25.7;24.76;13
Villarejo de Salvanés;1.67;46.18;9.34;14.69;11.94;16.18
Villaviciosa de Odón;0.33;8.36;7.1;22.95;27.89;33.37
Villavieja del Lozoya;2.9;1.14;14.52;6.7;35.99;38.76
Zarzalejo;1.16;41.73;16.88;5.33;14.6;20.29
;;;;;;
;;;;;;
(*) Base 2015 actualizada;;;;;;
;;;;;;
 Fuente: Estimación del Producto Interior Bruto Municipal. Dirección General de Economía.;;;;;;
