Serie;Codigo_municipio;Nombre;contratos_primario_indefinidos_2022;contratos_primario_indefinidos_2023;contratos_primario_temp_2022;contratos_primario_temp_2023;contratos_primario_total_2022;contratos_primario_total_2023;contratos_secundario_indefinidos_2022;contratos_secundario_indefinidos_2023;contratos_secundario_temp_2022;contratos_secundario_temp_2023;contratos_secundario_total_2022;contratos_secundario_total_2023;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_terciario_indefinidos_2022;contratos_terciario_indefinidos_2023;contratos_terciario_temp_2022;contratos_terciario_temp_2023;contratos_terciario_total_2022;contratos_terciario_total_2023;contratos_temp_2022;contratos_temp_2023;contratos_porcentaje_indefinidos_2022;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2022;contratos_porcentaje_temp_2023;contratos_total_registrados_2022;contratos_total_registrados_2023
Municipios;0513;Chapinería;2;8;1;3;3;11;14;17;2;3;16;20;268;244;252;219;208;141;460;360;211;147;55.95;62.40;44.05;37.60;479;391
Municipios;0528;Chinchón;53;49;39;40;92;89;117;91;107;30;224;121;688;589;518;449;1181;685;1699;1134;1327;755;34.14;43.82;65.86;56.18;2015;1344
Municipios;0409;Ciempozuelos;5;7;27;13;32;20;533;616;330;220;863;836;2183;2138;1645;1515;5549;4343;7194;5858;5906;4576;26.99;31.84;73.01;68.16;8089;6714
Municipios;0416;Cobeña;2;3;1;1;3;4;51;89;140;49;191;138;578;545;525;453;480;369;1005;822;621;419;48.21;56.54;51.79;43.46;1199;964
Municipios;0468;Collado Mediano;2;0;3;2;5;2;147;177;65;19;212;196;580;522;431;345;323;320;754;665;391;341;59.73;60.49;40.27;39.51;971;863
Municipios;0474;Collado Villalba;16;11;47;41;63;52;667;606;246;182;913;788;4875;4268;4192;3651;4333;3371;8525;7022;4626;3594;51.31;54.29;48.69;45.71;9501;7862
Municipios;0455;Colmenar Viejo;28;26;12;6;40;32;1080;1057;619;313;1699;1370;4368;3952;3260;2869;4194;3395;7454;6264;4825;3714;47.51;51.55;52.49;48.45;9193;7666
Municipios;0437;Colmenar de Oreja;43;28;23;16;66;44;215;141;100;92;315;233;492;439;234;270;456;419;690;689;579;527;45.94;45.45;54.06;54.55;1071;966
Municipios;0421;Colmenar del Arroyo;1;1;1;0;2;1;73;79;49;30;122;109;314;364;240;284;582;276;822;560;632;306;33.19;54.33;66.81;45.67;946;670
Municipios;0442;Colmenarejo;1;1;0;0;1;1;149;76;57;26;206;102;510;418;360;341;442;370;802;711;499;396;50.55;51.35;49.45;48.65;1009;814
Municipios;0480;Corpa;0;1;0;0;0;1;3;3;1;0;4;3;52;54;49;50;46;49;95;99;47;49;52.53;52.43;47.47;47.57;99;103
Municipios;0493;Coslada;0;17;16;0;16;17;1810;1865;1491;1320;3301;3185;10713;12237;8903;10355;21460;9944;30363;20299;22967;11264;31.81;52.07;68.19;47.93;33680;23501
Municipios;0506;Cubas de la Sagra;6;4;5;1;11;5;170;153;130;119;300;272;659;1183;483;1026;359;1707;842;2733;494;1827;57.16;39.30;42.84;60.70;1153;3010
Municipios;0534;Daganzo de Arriba;1;0;0;0;1;0;339;273;1855;1696;2194;1969;1182;955;842;682;1038;872;1880;1554;2893;2568;29.01;27.11;70.99;72.89;4075;3523
Municipios;0549;Escorial (El);5;6;6;11;11;17;98;87;46;10;144;97;974;955;871;862;1090;836;1961;1698;1142;857;46.03;52.70;53.97;47.30;2116;1812
Municipios;0552;Estremera;388;295;48;73;436;368;26;24;9;14;35;38;518;442;104;123;98;95;202;218;155;182;76.97;70.83;23.03;29.17;673;624
Municipios;0565;Fresnedillas de la Oliva;2;0;0;1;2;1;23;23;10;1;33;24;56;61;31;38;65;65;96;103;75;67;42.75;47.66;57.25;52.34;131;128
Municipios;0571;Fresno de Torote;1;1;0;0;1;1;10;19;20;5;30;24;46;39;35;19;58;34;93;53;78;39;37.10;50.00;62.90;50.00;124;78
Municipios;0587;Fuenlabrada;19;14;20;41;39;55;4051;3819;4635;3010;8686;6829;16597;16294;12527;12461;19246;11454;31773;23915;23901;14505;40.98;52.90;59.02;47.10;40498;30799
Municipios;0590;Fuente el Saz de Jarama;4;5;1;1;5;6;180;191;97;63;277;254;625;576;441;380;984;248;1425;628;1082;312;36.61;64.86;63.39;35.14;1707;888
Municipios;0604;Fuentidueña de Tajo;35;27;10;3;45;30;20;27;22;19;42;46;152;117;97;63;107;51;204;114;139;73;52.23;61.58;47.77;38.42;291;190
Municipios;0611;Galapagar;9;5;6;5;15;10;360;328;132;125;492;453;1568;1451;1199;1118;1246;2407;2445;3525;1384;2537;53.12;36.38;46.88;63.62;2952;3988
Municipios;0626;Garganta de los Montes;1;0;1;2;2;2;7;5;3;1;10;6;13;17;5;12;19;21;24;33;23;24;36.11;41.46;63.89;58.54;36;41
