Serie;Codigo_municipio;Nombre;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Municipios;0534;Daganzo de Arriba;2142;2082;1673;1819;0;0;662;713;4477;4614;47.84;45.12;37.37;39.42;14.79;15.45
Municipios;0549;Escorial (El);3037;3103;2505;2619;0;1;876;914;6418;6636;47.32;46.76;39.03;39.47;13.65;13.77
Municipios;0552;Estremera;224;229;149;148;0;0;83;88;456;465;49.12;49.25;32.68;31.83;18.20;18.92
Municipios;0565;Fresnedillas de la Oliva;309;314;217;231;0;0;78;91;604;636;51.16;49.37;35.93;36.32;12.91;14.31
Municipios;0571;Fresno de Torote;434;417;230;291;2;0;89;96;753;804;57.64;51.87;30.54;36.19;11.82;11.94
Municipios;0587;Fuenlabrada;47091;46792;28836;29641;10;10;13520;13682;89447;90115;52.65;51.92;32.24;32.89;15.12;15.18
Municipios;0590;Fuente el Saz de Jarama;1459;1470;962;1040;1;1;460;474;2881;2984;50.64;49.26;33.39;34.85;15.97;15.88
Municipios;0604;Fuentidueña de Tajo;345;350;220;233;0;0;121;112;686;695;50.29;50.36;32.07;33.53;17.64;16.12
Municipios;0611;Galapagar;7177;7214;5923;6254;2;2;2326;2472;15426;15940;46.53;45.26;38.40;39.23;15.08;15.51
Municipios;0626;Garganta de los Montes;65;67;57;52;0;0;22;21;144;140;45.14;47.86;39.58;37.14;15.28;15.00
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;45;51;44;50;1;1;9;9;98;110;45.92;46.36;44.90;45.45;9.18;8.18
Municipios;0647;Gascones;39;42;42;44;0;0;14;15;95;101;41.05;41.58;44.21;43.56;14.74;14.85
Municipios;0650;Getafe;44044;44084;23805;25574;5;8;10799;11340;78648;80998;56.00;54.43;30.27;31.57;13.73;14.00
Municipios;0663;Griñón;2057;2061;1401;1483;1;0;643;661;4101;4205;50.16;49.01;34.16;35.27;15.68;15.72
Municipios;0679;Guadalix de la Sierra;1274;1268;929;990;2;3;378;408;2581;2666;49.36;47.56;35.99;37.13;14.65;15.30
Municipios;0685;Guadarrama;3224;3215;2549;2686;0;0;908;1009;6681;6910;48.26;46.53;38.15;38.87;13.59;14.60
Municipios;0698;Hiruela (La);3;3;3;4;0;0;0;0;6;7;50.00;42.86;50.00;57.14;0.00;0.00
Municipios;0702;Horcajo de la Sierra0Aoslos;25;27;19;25;0;0;8;8;52;60;48.08;45.00;36.54;41.67;15.38;13.33
Municipios;0719;Horcajuelo de la Sierra;21;15;11;14;0;0;6;6;38;35;55.26;42.86;28.95;40.00;15.79;17.14
Municipios;0724;Hoyo de Manzanares;1512;1543;1392;1425;0;0;505;546;3409;3514;44.35;43.91;40.83;40.55;14.81;15.54
Municipios;0730;Humanes de Madrid;5015;5065;2231;2430;2;2;1036;1132;8282;8627;60.55;58.71;26.94;28.17;12.51;13.12
Municipios;0745;Leganés;44332;43953;24870;26496;8;7;10750;11449;79952;81898;55.45;53.67;31.11;32.35;13.45;13.98
Municipios;0758;Loeches;2083;2047;1171;1275;1;1;539;556;3793;3878;54.92;52.78;30.87;32.88;14.21;14.34
Municipios;0761;Lozoya;113;109;80;77;0;0;20;15;213;201;53.05;54.23;37.56;38.31;9.39;7.46
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;228;210;153;170;0;0;65;69;446;449;51.12;46.77;34.30;37.86;14.57;15.37
Municipios;0783;Madarcos;10;11;13;15;0;0;4;3;27;29;37.04;37.93;48.15;51.72;14.81;10.34
Municipios;0796;Madrid;751546;758224;498488;521269;85;103;201200;214508;1451234;1494001;51.79;50.75;34.35;34.89;13.86;14.36
Municipios;0800;Majadahonda;15689;15543;11265;11844;1;3;4231;4513;31185;31900;50.31;48.72;36.12;37.13;13.57;14.15
Municipios;0822;Manzanares el Real;1820;1775;1283;1382;2;1;382;425;3485;3582;52.22;49.55;36.81;38.58;10.96;11.86
Municipios;0838;Meco;2834;2817;1902;2000;1;1;915;956;5651;5773;50.15;48.80;33.66;34.64;16.19;16.56
Municipios;0843;Mejorada del Campo;5820;5824;3209;3341;2;1;1627;1579;10656;10744;54.62;54.21;30.11;31.10;15.27;14.70
