Serie;Codigo_municipio;Nombre;censo_0a4_2022;censo_0a4_2023;censo_5a9_2022;censo_5a9_2023;censo_10a14_2022;censo_10a14_2023;censo_15a19_2022;censo_15a19_2023;censo_20a24_2022;censo_20a24_2023;censo_25a29_2022;censo_25a29_2023;censo_30a34_2022;censo_30a34_2023;censo_35a39_2022;censo_35a39_2023;censo_40a44_2022;censo_40a44_2023;censo_45a49_2022;censo_45a49_2023;censo_50a54_2022;censo_50a54_2023;censo_55a59_2022;censo_55a59_2023;censo_60a64_2022;censo_60a64_2023;censo_65a69_2022;censo_65a69_2023;censo_70a74_2022;censo_70a74_2023;censo_75a79_2022;censo_75a79_2023;censo_80a84_2022;censo_80a84_2023;censo_85a89_2022;censo_85a89_2023;censo_90a94_2022;censo_90a94_2023;censo_95a99_2022;censo_95a99_2023;censo_100_2022;censo_100_2023;censo_total_2022;censo_total_2023
Municipios;0186;Becerril de la Sierra;249;237;311;298;346;341;403;420;314;321;282;305;297;291;377;348;533;521;639;649;528;546;488;492;417;437;273;308;263;258;187;218;127;117;80;87;55;59;14;13;1;1;6184;6267
Municipios;0199;Belmonte de Tajo;79;77;84;93;106;105;87;96;83;87;90;88;111;121;147;149;158;170;138;143;145;144;111;114;122;123;92;108;73;75;57;59;35;36;29;30;24;19;5;4;0;1;1776;1842
Municipios;0210;Berrueco (El);35;32;55;51;35;42;33;23;33;34;32;41;25;27;56;56;78;70;75;78;52;62;56;49;60;66;49;51;45;46;33;32;24;25;25;23;13;11;1;2;0;0;815;821
Municipios;0203;Berzosa del Lozoya;2;2;3;6;15;10;17;18;14;10;11;11;9;8;4;9;11;9;15;14;23;21;22;20;19;19;23;20;9;14;10;9;7;6;2;2;6;6;5;5;0;0;227;219
Municipios;0225;Boadilla del Monte;3188;3106;4309;4358;5368;5365;5499;5747;3482;3845;2492;2651;2406;2487;3516;3452;5107;4964;6791;6627;6474;6915;4194;4655;2817;2987;1873;1989;1843;1911;1449;1579;855;953;579;618;290;325;84;87;9;14;62625;64635
Municipios;0231;Boalo (El);320;319;595;579;641;633;520;555;375;388;286;317;362;349;456;455;787;768;985;964;838;902;616;647;430;470;312;322;247;273;219;225;110;129;76;77;37;47;10;8;2;2;8224;8429
Municipios;0246;Braojos;8;7;5;6;5;4;8;4;20;22;15;14;8;8;14;12;21;21;13;11;24;22;24;23;10;18;10;8;10;7;7;12;5;5;7;5;4;3;0;0;0;0;218;212
Municipios;0259;Brea de Tajo;16;14;14;17;19;19;30;27;40;34;30;35;23;23;28;22;32;40;40;41;45;42;36;38;35;40;42;38;28;31;35;32;22;27;17;18;9;9;2;2;0;0;543;549
Municipios;0262;Brunete;428;410;572;559;732;749;740;779;654;678;580;620;577;586;675;643;930;882;1061;1102;1040;1006;808;871;560;618;421;419;363;369;279;301;170;173;135;143;65;65;22;19;0;0;10812;10992
Municipios;0278;Buitrago del Lozoya;83;74;114;102;118;126;114;114;107;92;98;108;117;105;123;131;145;141;167;179;153;152;125;129;116;128;91;87;74;75;56;61;61;57;43;47;30;30;14;13;3;3;1952;1954
