Serie;Codigo_municipio;Nombre;pib_primario;pib_secundario;pib_terciario;sector_principal
Municipios;1230;Rivas-Vaciamadrid;0.29;19.64;80.07;terciario
Municipios;1245;Robledillo de la Jara;1.21;24.83;73.95;terciario
Municipios;1258;Robledo de Chavela;3.13;20.42;76.46;terciario
Municipios;1261;Robregordo;0.82;25.14;74.04;terciario
Municipios;1277;Rozas de Madrid (Las);0.16;12.4;87.43;terciario
Municipios;1283;Rozas de Puerto Real;1.1;4.12;94.79;terciario
Municipios;1296;San Agustín del Guadalix;0.0;0.0;0.0;terciario
Municipios;1300;San Fernando de Henares;0.27;17.79;81.93;terciario
Municipios;1317;San Lorenzo de El Escorial;0.46;6.65;92.88;terciario
Municipios;1338;San Martín de Valdeiglesias;0.0;0.0;0.0;terciario
Municipios;1322;San Martín de la Vega;0.0;0.0;0.0;terciario
Municipios;1343;San Sebastián de los Reyes;0.0;0.0;0.0;terciario
Municipios;1356;Santa María de la Alameda;0.0;0.0;0.0;terciario
Municipios;1369;Santorcaz;4.67;23.38;71.95;terciario
Municipios;1375;Santos de la Humosa (Los);2.21;19.12;78.68;terciario
Municipios;1381;Serna del Monte (La);8.89;5.77;85.34;terciario
Municipios;1408;Serranillos del Valle;1.02;30.95;68.02;terciario
Municipios;1415;Sevilla la Nueva;0.27;17.74;81.99;terciario
Municipios;1436;Somosierra;4.07;24.01;71.92;terciario
Municipios;1441;Soto del Real;3.09;9.29;87.6;terciario
Municipios;1454;Talamanca de Jarama;1.26;34.91;63.82;terciario
Municipios;1467;Tielmes;1.44;21.09;77.48;terciario
Municipios;1473;Titulcia;1.96;26.05;72.0;terciario
Municipios;1489;Torrejón de Ardoz;0.0;0.0;0.0;terciario
Municipios;1505;Torrejón de Velasco;0.0;0.0;0.0;terciario
Municipios;1492;Torrejón de la Calzada;0.0;0.0;0.0;terciario
Municipios;1512;Torrelaguna;0.91;13.15;85.95;terciario
Municipios;1527;Torrelodones;0.06;6.02;93.93;terciario
Municipios;1533;Torremocha de Jarama;1.09;58.11;40.79;secundario
Municipios;1548;Torres de la Alameda;0.4;34.82;64.78;terciario
Municipios;9036;Tres Cantos;0.08;30.15;69.76;terciario
Municipios;1551;Valdaracete;12.79;24.86;62.36;terciario
Municipios;1564;Valdeavero;3.67;36.02;60.31;terciario
Municipios;1570;Valdelaguna;2.93;29.84;67.22;terciario
Municipios;1586;Valdemanco;0.81;55.39;43.8;secundario
Municipios;1599;Valdemaqueda;3.44;39.52;57.04;terciario
Municipios;1603;Valdemorillo;1.46;17.84;80.7;terciario
Municipios;1610;Valdemoro;0.37;17.19;82.44;terciario
Municipios;1625;Valdeolmos-Alalpardo;0.54;27.82;71.64;terciario
Municipios;1631;Valdepiélagos;0.0;0.0;0.0;terciario
Municipios;1646;Valdetorres de Jarama;1.53;22.04;76.43;terciario
Municipios;1659;Valdilecha;5.54;30.53;63.94;terciario
Municipios;1662;Valverde de Alcalá;0.0;0.0;0.0;terciario
Municipios;1678;Velilla de San Antonio;0.14;32.75;67.11;terciario
Municipios;1684;Vellón (El);0.0;0.0;0.0;terciario
Municipios;1697;Venturada;0.3;7.36;92.34;terciario
Municipios;1718;Villa del Prado;7.45;21.83;70.72;terciario
Municipios;1701;Villaconejos;6.23;20.26;73.5;terciario
Municipios;1723;Villalbilla;0.2;32.6;67.19;terciario
Municipios;1739;Villamanrique de Tajo;11.17;19.84;69.0;terciario
Municipios;1744;Villamanta;6.35;26.81;66.84;terciario
Municipios;1757;Villamantilla;1.35;21.74;76.92;terciario
Municipios;1782;Villanueva de Perales;5.18;23.0;71.83;terciario
Municipios;1760;Villanueva de la Cañada;0.0;0.0;0.0;terciario
Municipios;1776;Villanueva del Pardillo;0.3;17.28;82.42;terciario
Municipios;1795;Villar del Olmo;0.6;35.93;63.46;terciario
Municipios;1809;Villarejo de Salvanés;0.0;0.0;0.0;terciario
Municipios;1816;Villaviciosa de Odón;0.0;0.0;0.0;terciario
Municipios;1821;Villavieja del Lozoya;2.9;15.66;81.45;terciario
Municipios;1837;Zarzalejo;1.16;58.61;40.22;secundario
