Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado por 100 habitantes. Unidad: Ratio. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0376;Cenicientos;7.79;6.18;7.04;8.19;9.85;11.40;11.94;14.73;14.42;12.83;12.89;12.05;11.67;10.03;9.72;9.70;8.81;7.63;
Municipios;0382;Cercedilla;2.96;2.72;3.57;5.35;6.22;6.79;7.80;8.35;7.86;7.40;6.58;5.87;5.30;4.81;5.02;5.78;4.98;4.64;
Municipios;0395;Cervera de Buitrago;4.00;1.36;1.41;1.28;7.18;5.88;8.74;12.22;15.52;9.15;7.64;5.13;9.40;4.67;5.56;7.59;6.51;7.93;
Municipios;0513;Chapinería;5.37;4.23;6.76;7.86;10.64;10.73;11.10;13.99;11.50;10.89;9.98;7.51;7.95;6.74;8.08;8.02;5.77;5.65;
Municipios;0528;Chinchón;3.78;3.94;4.57;8.18;9.30;9.39;10.92;11.61;10.21;9.62;9.10;8.28;7.65;7.24;6.80;7.41;6.22;6.02;
Municipios;0409;Ciempozuelos;3.81;3.48;4.37;8.14;9.34;9.14;10.33;10.68;10.22;9.18;8.40;7.60;6.83;6.50;6.78;8.24;6.35;5.73;
Municipios;0416;Cobeña;2.26;2.44;2.29;3.90;4.56;4.89;5.97;6.31;6.85;5.13;4.64;4.16;3.65;3.46;3.18;4.20;3.27;3.20;
Municipios;0468;Collado Mediano;3.82;3.49;3.89;5.78;7.40;7.14;9.12;8.92;8.22;8.12;7.32;6.42;6.28;6.02;6.15;7.12;5.65;5.07;
Municipios;0474;Collado Villalba;4.21;4.04;4.78;7.67;8.52;8.52;9.69;9.92;9.46;8.65;8.11;7.37;6.69;6.25;6.52;7.58;5.93;5.44;
Municipios;0455;Colmenar Viejo;2.92;3.16;3.58;6.33;7.57;7.36;8.19;8.79;8.34;7.52;6.84;6.00;5.48;5.02;4.95;5.74;4.41;3.95;
Municipios;0437;Colmenar de Oreja;3.50;3.81;4.32;9.05;11.18;10.80;12.03;12.77;12.46;11.96;10.91;8.76;8.23;7.28;7.89;8.33;6.82;6.21;
Municipios;0421;Colmenar del Arroyo;2.77;3.08;3.64;6.03;7.68;8.43;10.29;11.32;9.61;8.07;7.05;6.74;7.00;6.84;6.39;5.87;5.99;5.50;
Municipios;0442;Colmenarejo;3.27;3.00;3.46;5.82;6.40;6.65;7.08;7.30;7.49;6.82;6.44;6.08;5.49;4.96;5.38;6.40;5.08;4.66;
Municipios;0480;Corpa;4.58;3.98;4.26;7.33;10.29;10.09;14.46;11.40;10.73;9.72;9.38;8.63;7.46;6.31;6.22;8.36;7.20;5.26;
Municipios;0493;Coslada;3.84;4.31;4.22;7.03;7.98;7.94;8.21;8.95;8.83;8.08;7.25;6.55;6.05;5.45;5.60;6.84;5.36;4.91;
Municipios;0506;Cubas de la Sagra;3.32;2.96;3.75;5.60;6.92;7.27;8.14;9.45;7.93;7.11;6.90;5.35;4.53;4.41;4.69;5.21;3.94;4.02;
Municipios;0534;Daganzo de Arriba;3.64;3.39;3.50;5.22;6.52;6.25;7.03;8.11;7.56;6.84;6.08;5.41;5.00;4.40;4.92;5.59;4.57;4.30;
Municipios;0549;Escorial (El);2.96;2.95;3.24;5.11;6.08;6.12;7.10;7.41;6.80;6.45;5.79;5.24;5.12;4.80;5.14;5.56;4.50;4.50;
Municipios;0552;Estremera;3.08;1.95;1.85;6.13;7.23;7.32;7.27;9.13;8.65;8.67;8.11;7.22;6.88;7.06;7.05;7.97;6.38;6.47;
Municipios;0565;Fresnedillas de la Oliva;4.86;4.78;6.61;7.52;9.89;10.12;12.63;12.94;12.30;11.39;11.12;8.84;8.94;7.76;6.97;8.32;7.23;6.76;
Municipios;0571;Fresno de Torote;4.03;3.49;4.46;7.33;8.53;7.79;9.48;9.74;9.90;10.00;8.81;7.04;6.88;5.36;5.65;6.71;6.34;4.96;
