Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Paro registrado en las oficinas de empleo de personas de 45 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0800;Majadahonda;640;703;779;1057;1244;1306;1486;1643;1714;1657;1577;1408;1347;1246;1323;1575;1390;1300;
Municipios;0822;Manzanares el Real;56;68;76;116;171;170;226;270;311;287;307;275;246;248;265;286;257;268;
Municipios;0838;Meco;100;111;138;266;321;362;466;552;555;527;526;443;402;406;425;491;445;407;
Municipios;0843;Mejorada del Campo;223;261;290;505;665;707;810;928;1010;963;928;834;771;727;744;872;758;693;
Municipios;0856;Miraflores de la Sierra;45;54;72;106;134;171;220;265;245;283;293;265;258;220;221;252;226;225;
Municipios;0869;Molar (El);48;67;78;134;160;183;229;256;294;285;283;279;252;234;253;324;278;266;
Municipios;0875;Molinos (Los);38;42;50;75;80;94;133;149;155;168;165;142;138;139;129;144;119;127;
Municipios;0881;Montejo de la Sierra;2;1;3;4;6;7;4;2;9;5;8;8;6;4;7;4;3;5;
Municipios;0894;Moraleja de Enmedio;43;51;72;95;119;131;169;207;218;206;187;169;147;145;153;169;133;135;
Municipios;0908;Moralzarzal;88;91;111;206;247;278;380;410;422;374;394;342;352;360;376;429;385;358;
Municipios;0915;Morata de Tajuña;78;85;100;178;230;251;332;384;388;364;353;302;289;286;302;347;300;265;
Municipios;0920;Móstoles;3876;3919;4273;5797;6589;7027;8013;8990;9203;8660;8140;7313;6750;6128;6251;7283;6218;5837;
Municipios;0936;Navacerrada;39;37;37;46;41;49;71;91;92;76;83;72;61;67;78;109;76;89;
Municipios;0941;Navalafuente;13;11;10;29;31;35;55;59;54;58;65;62;58;66;61;75;58;59;
Municipios;0954;Navalagamella;18;21;32;44;66;89;90;94;112;116;106;105;86;78;92;89;103;108;
Municipios;0967;Navalcarnero;167;221;273;454;570;654;836;966;979;983;947;861;812;767;808;948;895;776;
Municipios;0973;Navarredonda y San Mamés;1;2;3;3;2;2;3;5;2;4;4;5;1;3;6;3;4;4;
Municipios;0992;Navas del Rey;40;41;48;71;87;101;129;152;157;164;161;130;118;118;120;136;128;107;
Municipios;1006;Nuevo Baztán;61;70;77;130;198;209;247;292;299;310;263;239;222;230;243;276;229;239;
Municipios;1013;Olmeda de las Fuentes;5;5;6;5;6;5;4;7;7;4;7;6;7;8;8;9;9;12;
Municipios;1028;Orusco de Tajuña;15;15;12;31;45;40;52;63;59;54;50;44;46;49;51;64;58;52;
Municipios;1049;Paracuellos de Jarama;72;81;96;155;198;242;313;389;414;445;434;394;405;405;422;575;505;493;
Municipios;1065;Parla;1407;1469;1773;3007;3827;4101;4906;5510;5674;5412;5272;4784;4473;4098;4365;5103;4370;4151;
Municipios;1071;Patones;9;8;6;5;11;10;11;14;11;7;12;10;10;7;9;11;7;16;
Municipios;1087;Pedrezuela;21;27;34;64;89;93;147;168;157;160;173;167;158;146;148;186;164;150;
Municipios;1090;Pelayos de la Presa;30;30;41;75;97;107;121;133;124;121;142;158;153;132;132;161;142;126;
Municipios;1104;Perales de Tajuña;18;24;26;52;72;86;114;124;144;150;143;135;155;142;152;168;165;144;
Municipios;1111;Pezuela de las Torres;7;5;9;14;21;28;28;38;36;32;31;31;22;16;21;31;24;36;
Municipios;1126;Pinilla del Valle;3;5;6;3;3;7;11;9;10;8;7;5;5;5;6;5;7;5;
Municipios;1132;Pinto;407;416;588;927;1158;1233;1403;1711;1795;1863;1802;1657;1622;1498;1631;1859;1616;1544;
Municipios;1147;Piñuécar-Gandullas;2;3;2;2;3;2;2;5;5;5;5;4;6;2;4;4;2;2;
Municipios;1150;Pozuelo de Alarcón;722;764;862;1116;1295;1389;1570;1751;1772;1730;1549;1519;1460;1414;1429;1611;1486;1423;
Municipios;1163;Pozuelo del Rey;6;5;9;18;21;21;24;34;34;26;31;27;29;28;30;44;39;41;
Municipios;1179;Prádena del Rincón;1;0;0;0;1;1;2;2;1;2;2;1;1;2;1;1;2;5;
Municipios;1185;Puebla de la Sierra;2;3;1;2;5;4;3;4;6;4;3;2;0;3;3;3;0;3;
Municipios;9020;Puentes Viejas;3;3;7;10;16;14;18;20;24;22;25;24;22;21;18;24;19;18;
Municipios;1198;Quijorna;20;19;22;43;51;58;82;106;116;108;105;98;100;107;102;126;112;111;
Municipios;1202;Rascafría;11;17;17;18;38;39;47;52;49;79;62;44;41;42;46;61;56;49;
Municipios;1219;Redueña;1;2;5;3;3;3;2;3;4;8;8;8;8;4;6;15;10;6;
Municipios;1224;Ribatejada;9;9;10;11;13;14;16;25;35;45;41;32;43;26;34;45;41;37;
Municipios;1230;Rivas-Vaciamadrid;590;600;722;1110;1456;1668;1917;2342;2547;2426;2413;2232;2104;2015;2175;2563;2246;2282;
Municipios;1245;Robledillo de la Jara;0;0;1;1;0;0;0;2;0;1;3;1;1;2;4;3;6;8;
Municipios;1258;Robledo de Chavela;40;42;49;70;90;93;133;154;153;152;165;135;129;135;150;168;172;156;
Municipios;1261;Robregordo;0;0;1;0;0;0;1;1;1;1;1;0;0;1;0;0;0;2;
Municipios;1277;Rozas de Madrid (Las);791;830;864;1174;1449;1579;1899;2158;2237;2186;2102;1972;1854;1814;1832;2068;1877;1742;
Municipios;1283;Rozas de Puerto Real;7;5;9;10;22;16;23;20;16;15;25;13;13;16;14;22;16;15;
Municipios;1296;San Agustín del Guadalix;95;97;124;172;219;241;312;400;409;387;357;345;312;308;315;403;348;328;
Municipios;1300;San Fernando de Henares;435;521;556;836;1004;1162;1360;1587;1689;1648;1577;1378;1330;1216;1268;1489;1264;1197;
Municipios;1317;San Lorenzo de El Escorial;157;160;179;257;309;374;488;572;564;526;509;493;476;457;515;590;511;453;
Municipios;1338;San Martín de Valdeiglesias;128;127;125;210;229;292;361;424;397;377;389;336;331;304;304;375;330;338;
Municipios;1322;San Martín de la Vega;116;121;177;338;499;522;674;778;800;846;832;717;648;619;670;814;716;680;
Municipios;1343;San Sebastián de los Reyes;839;890;979;1490;1876;2024;2332;2625;2841;2765;2615;2350;2190;2052;2130;2519;2133;2034;
Municipios;1356;Santa María de la Alameda;11;12;24;19;29;32;47;61;57;58;65;62;59;60;59;75;62;63;
Municipios;1369;Santorcaz;8;7;10;22;32;30;43;42;46;36;40;27;22;22;24;29;31;31;
Municipios;1375;Santos de la Humosa (Los);13;16;17;31;45;53;54;75;73;71;69;65;66;68;67;74;77;67;
Municipios;1381;Serna del Monte (La);2;2;4;2;3;4;5;5;5;6;6;6;5;4;8;3;4;4;
Municipios;1408;Serranillos del Valle;31;30;43;71;79;80;113;134;165;154;142;134;121;131;124;143;140;130;
Municipios;1415;Sevilla la Nueva;72;80;98;134;156;191;238;271;283;296;276;239;253;227;267;341;264;234;
Municipios;1436;Somosierra;1;1;1;1;4;2;2;3;1;4;4;0;1;1;1;0;2;4;
Municipios;1441;Soto del Real;66;74;84;140;161;182;216;270;282;283;262;227;224;212;199;236;214;199;
Municipios;1454;Talamanca de Jarama;28;29;44;56;62;74;89;123;115;127;114;87;99;97;99;117;111;109;
Municipios;1467;Tielmes;13;11;28;34;55;63;69;109;110;105;126;103;105;110;105;139;110;106;
Municipios;1473;Titulcia;10;12;15;29;41;39;61;59;53;54;52;47;38;50;41;63;59;56;
Municipios;1489;Torrejón de Ardoz;1554;1745;1960;2985;3689;4047;4637;5279;5642;5540;5361;4800;4456;4179;4177;5032;4468;4085;
Municipios;1505;Torrejón de Velasco;45;42;56;87;89;96;130;153;168;154;158;143;125;115;120;145;125;108;
Municipios;1492;Torrejón de la Calzada;60;60;82;130;177;192;237;258;254;266;244;235;213;209;226;257;234;209;
Municipios;1512;Torrelaguna;38;39;39;96;106;112;149;165;173;167;157;163;135;118;137;144;126;137;
Municipios;1527;Torrelodones;185;183;202;290;373;356;469;527;568;507;464;454;418;415;491;557;483;449;
Municipios;1533;Torremocha de Jarama;6;5;4;12;18;20;30;25;23;23;30;24;26;29;25;27;29;28;
Municipios;1548;Torres de la Alameda;78;89;104;180;216;238;266;319;335;342;317;295;265;232;271;283;263;239;
Municipios;9036;Tres Cantos;406;422;467;607;721;786;903;1046;1052;1046;1050;949;919;888;941;1060;963;852;
Municipios;1551;Valdaracete;12;15;19;32;31;26;37;49;47;49;41;35;42;42;44;41;34;33;
Municipios;1564;Valdeavero;14;14;10;21;31;35;42;40;50;53;45;40;41;39;49;60;57;53;
Municipios;1570;Valdelaguna;9;8;13;11;28;24;34;38;32;31;29;34;32;33;31;34;32;35;
Municipios;1586;Valdemanco;8;9;12;18;19;25;30;26;29;30;32;29;21;24;27;32;26;27;
Municipios;1599;Valdemaqueda;13;9;13;29;42;41;51;52;38;43;42;32;44;39;46;45;36;35;
Municipios;1603;Valdemorillo;94;104;138;199;236;269;322;338;355;355;398;376;376;374;417;502;411;404;
Municipios;1610;Valdemoro;551;585;704;1123;1438;1749;2037;2326;2492;2531;2417;2330;2188;2225;2247;2724;2457;2305;
Municipios;1625;Valdeolmos-Alalpardo;27;25;27;39;53;51;61;88;87;87;87;69;68;56;67;93;90;75;
Municipios;1631;Valdepiélagos;5;7;9;9;16;12;21;30;25;26;24;15;16;18;13;20;17;11;
Municipios;1646;Valdetorres de Jarama;32;40;49;87;123;140;175;200;202;218;192;169;153;151;165;189;159;179;
Municipios;1659;Valdilecha;16;27;18;52;64;83;114;142;161;147;136;111;109;103;97;126;136;103;
Municipios;1662;Valverde de Alcalá;2;0;4;2;11;10;11;17;19;17;19;18;13;12;10;9;11;12;
Municipios;1678;Velilla de San Antonio;96;126;122;197;248;275;340;397;427;426;409;399;391;353;364;452;393;382;
Municipios;1684;Vellón (El);18;14;24;43;49;48;53;65;88;84;89;85;74;77;64;86;62;72;
Municipios;1697;Venturada;14;13;14;20;33;38;47;51;54;61;68;61;50;55;55;64;61;67;
Municipios;1718;Villa del Prado;61;42;71;126;150;183;235;280;280;267;263;240;206;188;197;216;213;202;
Municipios;1701;Villaconejos;26;42;60;84;96;118;151;177;160;170;165;176;148;137;137;147;134;119;
Municipios;1723;Villalbilla;92;97;125;155;200;239;291;348;379;332;316;272;287;258;271;365;298;283;
Municipios;1739;Villamanrique de Tajo;9;7;4;13;18;18;26;31;27;31;39;30;28;27;34;33;35;47;
Municipios;1744;Villamanta;23;32;36;44;54;65;85;106;112;99;104;103;84;88;91;95;74;92;
Municipios;1757;Villamantilla;7;3;6;10;13;21;25;50;43;44;48;40;54;56;46;62;49;49;
Municipios;1782;Villanueva de Perales;8;9;13;15;31;40;48;59;57;53;61;48;57;44;51;62;57;53;
