Serie;Codigo_municipio;Nombre;2020;2021; 2022
Municipios;1296;San Agustín del Guadalix;0.65;0.53;0.52;
Municipios;1300;San Fernando de Henares;0.34;-0.64;-1.04;
Municipios;1317;San Lorenzo de El Escorial;0.89;-0.42;-0.17;
Municipios;1338;San Martín de Valdeiglesias;2.60;0.93;0.59;
Municipios;1322;San Martín de la Vega;2.42;1.12;0.37;
Municipios;1343;San Sebastián de los Reyes;2.18;-0.29;0.13;
Municipios;1356;Santa María de la Alameda;5.34;8.71;4.39;
Municipios;1369;Santorcaz;1.47;2.89;1.73;
Municipios;1375;Santos de la Humosa (Los);4.02;1.30;0.81;
Municipios;1381;Serna del Monte (La);7.41;10.34;12.50;
Municipios;1408;Serranillos del Valle;3.03;3.22;1.81;
Municipios;1415;Sevilla la Nueva;0.80;-0.51;0.17;
Municipios;1436;Somosierra;1.16;0.00;0.00;
Municipios;1441;Soto del Real;2.07;1.22;1.07;
Municipios;1454;Talamanca de Jarama;4.02;2.77;2.11;
Municipios;1467;Tielmes;3.25;1.64;0.07;
Municipios;1473;Titulcia;2.13;1.42;-1.76;
Municipios;1489;Torrejón de Ardoz;1.12;-0.06;1.48;
Municipios;1505;Torrejón de Velasco;0.09;4.74;1.98;
Municipios;1492;Torrejón de la Calzada;3.63;3.86;4.17;
Municipios;1512;Torrelaguna;1.97;0.89;0.88;
Municipios;1527;Torrelodones;0.78;0.92;2.71;
Municipios;1533;Torremocha de Jarama;5.50;0.37;1.67;
Municipios;1548;Torres de la Alameda;0.69;-1.33;-0.19;
Municipios;9036;Tres Cantos;1.27;0.88;2.95;
Municipios;1551;Valdaracete;-0.66;1.16;2.45;
Municipios;1564;Valdeavero;2.38;4.97;1.86;
Municipios;1570;Valdelaguna;4.48;4.80;-0.97;
Municipios;1586;Valdemanco;5.36;5.09;2.08;
Municipios;1599;Valdemaqueda;-0.77;1.81;1.14;
Municipios;1603;Valdemorillo;2.03;3.70;1.57;
Municipios;1610;Valdemoro;1.69;0.41;1.95;
Municipios;1625;Valdeolmos-Alalpardo;2.32;1.82;2.02;
Municipios;1631;Valdepiélagos;5.14;-0.33;1.47;
Municipios;1646;Valdetorres de Jarama;1.87;2.51;2.85;
Municipios;1659;Valdilecha;1.67;3.25;0.81;
Municipios;1662;Valverde de Alcalá;7.10;4.02;2.70;
Municipios;1678;Velilla de San Antonio;1.18;1.32;1.81;
Municipios;1684;Vellón (El);2.35;3.94;1.97;
Municipios;1697;Venturada;3.61;6.51;2.43;
Municipios;1718;Villa del Prado;2.16;2.64;3.73;
Municipios;1701;Villaconejos;1.00;1.23;-0.23;
Municipios;1723;Villalbilla;3.70;4.57;5.43;
Municipios;1739;Villamanrique de Tajo;0.57;7.78;-0.66;
Municipios;1744;Villamanta;1.96;1.46;2.69;
Municipios;1757;Villamantilla;2.85;2.16;3.50;
Municipios;1782;Villanueva de Perales;1.86;0.44;1.50;
Municipios;1760;Villanueva de la Cañada;3.12;2.10;1.17;
Municipios;1776;Villanueva del Pardillo;1.26;-0.49;0.42;
Municipios;1795;Villar del Olmo;3.38;6.35;0.36;
Municipios;1809;Villarejo de Salvanés;1.34;1.60;1.02;
Municipios;1816;Villaviciosa de Odón;1.12;-0.42;0.44;
Municipios;1821;Villavieja del Lozoya;3.56;5.34;2.90;
Municipios;1837;Zarzalejo;4.58;3.00;-0.73;
