Serie;Codigo_municipio;Nombre;2020;2021; 2022
Municipios;1317;San Lorenzo de El Escorial;31.73;32.69;33.90;
Municipios;1338;San Martín de Valdeiglesias;32.86;32.93;33.60;
Municipios;1322;San Martín de la Vega;21.33;22.12;23.09;
Municipios;1343;San Sebastián de los Reyes;26.01;26.53;27.22;
Municipios;1356;Santa María de la Alameda;37.62;38.02;37.22;
Municipios;1369;Santorcaz;31.37;31.57;32.52;
Municipios;1375;Santos de la Humosa (Los);19.93;20.26;21.45;
Municipios;1381;Serna del Monte (La);42.53;36.46;34.26;
Municipios;1408;Serranillos del Valle;24.12;24.29;25.04;
Municipios;1415;Sevilla la Nueva;21.89;22.44;23.89;
Municipios;1436;Somosierra;45.98;47.13;43.68;
Municipios;1441;Soto del Real;31.37;32.47;33.37;
Municipios;1454;Talamanca de Jarama;23.01;23.48;25.04;
Municipios;1467;Tielmes;28.98;29.23;30.11;
Municipios;1473;Titulcia;29.31;29.49;31.14;
Municipios;1489;Torrejón de Ardoz;26.02;26.60;27.10;
Municipios;1505;Torrejón de Velasco;24.69;24.71;24.93;
Municipios;1492;Torrejón de la Calzada;21.72;21.90;21.95;
Municipios;1512;Torrelaguna;28.88;29.02;30.26;
Municipios;1527;Torrelodones;27.42;28.10;28.71;
Municipios;1533;Torremocha de Jarama;40.00;38.83;40.75;
Municipios;1548;Torres de la Alameda;26.52;27.05;27.68;
Municipios;9036;Tres Cantos;28.01;28.74;29.31;
Municipios;1551;Valdaracete;38.51;38.89;39.87;
Municipios;1564;Valdeavero;24.51;24.91;25.93;
Municipios;1570;Valdelaguna;29.62;29.73;30.02;
Municipios;1586;Valdemanco;31.46;32.31;32.91;
Municipios;1599;Valdemaqueda;37.03;37.52;39.72;
Municipios;1603;Valdemorillo;26.89;27.58;28.37;
Municipios;1610;Valdemoro;19.29;20.16;21.14;
Municipios;1625;Valdeolmos-Alalpardo;21.24;21.30;22.11;
Municipios;1631;Valdepiélagos;28.01;29.25;30.76;
Municipios;1646;Valdetorres de Jarama;29.12;29.34;29.25;
Municipios;1659;Valdilecha;26.43;26.92;27.71;
Municipios;1662;Valverde de Alcalá;32.33;31.08;31.39;
Municipios;1678;Velilla de San Antonio;21.41;22.38;23.31;
Municipios;1684;Vellón (El);26.70;25.92;26.55;
Municipios;1697;Venturada;27.35;28.36;29.20;
Municipios;1718;Villa del Prado;30.04;30.04;30.74;
Municipios;1701;Villaconejos;30.48;31.29;32.15;
Municipios;1723;Villalbilla;20.45;20.56;20.78;
Municipios;1739;Villamanrique de Tajo;35.36;34.65;36.20;
Municipios;1744;Villamanta;33.55;32.54;32.61;
Municipios;1757;Villamantilla;23.48;23.51;23.23;
Municipios;1782;Villanueva de Perales;24.56;25.64;27.05;
Municipios;1760;Villanueva de la Cañada;23.46;24.29;25.15;
Municipios;1776;Villanueva del Pardillo;17.83;18.87;20.29;
Municipios;1795;Villar del Olmo;30.30;30.44;31.41;
Municipios;1809;Villarejo de Salvanés;29.52;29.97;30.36;
Municipios;1816;Villaviciosa de Odón;32.95;33.55;34.06;
Municipios;1821;Villavieja del Lozoya;37.02;38.41;36.62;
Municipios;1837;Zarzalejo;32.24;32.19;33.16;
