Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1219;Redueña;3;3;2;3;3;4;3;5;3;
Municipios;1224;Ribatejada;5;5;3;4;5;6;5;8;10;
Municipios;1230;Rivas-Vaciamadrid;1535;1616;1655;1705;1742;1786;1745;1872;1915;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;61;57;61;61;56;62;69;74;76;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;1;
Municipios;1277;Rozas de Madrid (Las);4838;4902;4843;4759;4749;4618;4390;4505;4609;
Municipios;1283;Rozas de Puerto Real;7;5;5;7;2;4;3;4;4;
Municipios;1296;San Agustín del Guadalix;359;367;380;385;379;355;344;349;341;
Municipios;1300;San Fernando de Henares;403;417;419;421;439;425;427;439;441;
Municipios;1317;San Lorenzo de El Escorial;466;468;433;425;449;445;446;467;479;
Municipios;1338;San Martín de Valdeiglesias;93;98;100;101;103;107;110;119;120;
Municipios;1322;San Martín de la Vega;160;158;158;166;168;158;154;161;169;
Municipios;1343;San Sebastián de los Reyes;1997;2029;2005;2001;2008;2000;1951;2006;2053;
Municipios;1356;Santa María de la Alameda;9;8;9;8;9;10;9;11;10;
Municipios;1369;Santorcaz;11;8;6;7;5;4;6;8;5;
Municipios;1375;Santos de la Humosa (Los);17;15;17;15;18;21;21;23;19;
Municipios;1381;Serna del Monte (La);6;5;4;4;3;4;4;4;3;
Municipios;1408;Serranillos del Valle;33;40;38;37;42;47;49;58;61;
Municipios;1415;Sevilla la Nueva;117;110;108;112;112;108;106;114;119;
Municipios;1436;Somosierra;0;1;1;1;0;1;4;1;1;
Municipios;1441;Soto del Real;253;251;253;247;264;274;273;266;274;
Municipios;1454;Talamanca de Jarama;43;46;48;55;54;49;52;56;54;
Municipios;1467;Tielmes;27;24;26;27;23;23;24;24;21;
Municipios;1473;Titulcia;8;7;7;6;7;7;7;12;12;
Municipios;1489;Torrejón de Ardoz;1153;1195;1262;1291;1279;1348;1341;1397;1418;
Municipios;1505;Torrejón de Velasco;34;44;45;38;44;46;51;51;57;
Municipios;1492;Torrejón de la Calzada;84;97;90;96;87;100;94;106;109;
Municipios;1512;Torrelaguna;49;53;45;43;37;39;35;44;48;
Municipios;1527;Torrelodones;1170;1178;1186;1199;1191;1182;1195;1233;1263;
Municipios;1533;Torremocha de Jarama;15;15;17;12;14;18;21;22;23;
Municipios;1548;Torres de la Alameda;60;60;51;62;64;59;69;72;74;
Municipios;9036;Tres Cantos;1709;1764;1756;1755;1714;1690;1652;1703;1699;
Municipios;1551;Valdaracete;3;3;3;3;4;4;4;3;4;
Municipios;1564;Valdeavero;11;15;14;17;18;19;16;13;13;
Municipios;1570;Valdelaguna;7;6;5;6;5;4;3;2;2;
Municipios;1586;Valdemanco;12;10;10;10;9;9;9;11;8;
Municipios;1599;Valdemaqueda;9;9;10;10;11;10;8;9;7;
Municipios;1603;Valdemorillo;266;290;291;275;305;298;286;293;294;
Municipios;1610;Valdemoro;713;761;782;784;824;842;854;882;862;
Municipios;1625;Valdeolmos-Alalpardo;94;98;93;87;86;88;82;85;96;
Municipios;1631;Valdepiélagos;11;13;13;14;11;11;10;12;9;
Municipios;1646;Valdetorres de Jarama;48;52;52;58;62;56;57;57;57;
Municipios;1659;Valdilecha;19;22;21;22;21;20;23;23;24;
Municipios;1662;Valverde de Alcalá;3;2;4;4;1;1;1;1;1;
Municipios;1678;Velilla de San Antonio;137;138;149;146;170;165;165;161;173;
Municipios;1684;Vellón (El);19;13;14;11;9;10;10;15;13;
Municipios;1697;Venturada;42;44;42;44;46;43;52;57;72;
Municipios;1718;Villa del Prado;55;62;63;58;63;68;63;62;67;
Municipios;1701;Villaconejos;31;28;32;28;28;30;28;26;27;
Municipios;1723;Villalbilla;194;190;197;205;220;223;219;216;223;
Municipios;1739;Villamanrique de Tajo;4;4;4;6;3;4;4;4;5;
Municipios;1744;Villamanta;33;34;32;29;24;27;27;33;34;
Municipios;1757;Villamantilla;13;12;8;9;10;10;12;12;11;
Municipios;1782;Villanueva de Perales;17;14;16;18;17;14;13;12;16;
Municipios;1760;Villanueva de la Cañada;787;795;763;749;787;774;749;769;810;
Municipios;1776;Villanueva del Pardillo;474;479;488;472;469;449;413;415;436;
Municipios;1795;Villar del Olmo;25;24;24;29;31;36;38;28;32;
Municipios;1809;Villarejo de Salvanés;94;95;87;80;77;77;75;80;74;
Municipios;1816;Villaviciosa de Odón;1006;1025;1033;992;1033;1020;982;1021;1068;
Municipios;1821;Villavieja del Lozoya;3;4;5;4;4;3;1;0;1;
Municipios;1837;Zarzalejo;14;10;11;17;15;17;17;17;23;
