Serie;Codigo_municipio;Nombre;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1723;Villalbilla;1048;1063;1063;1101;1168;1199;1203;1264;1252;
Municipios;1739;Villamanrique de Tajo;78;77;80;80;70;77;81;79;74;
Municipios;1744;Villamanta;263;272;264;263;259;280;264;272;274;
Municipios;1757;Villamantilla;84;94;92;100;109;114;120;129;118;
Municipios;1782;Villanueva de Perales;148;156;162;168;160;165;164;157;159;
Municipios;1760;Villanueva de la Cañada;2407;2516;2529;2599;2747;2778;2791;2934;2968;
Municipios;1776;Villanueva del Pardillo;1569;1658;1670;1669;1728;1736;1689;1739;1784;
Municipios;1795;Villar del Olmo;161;176;185;197;205;239;241;240;254;
Municipios;1809;Villarejo de Salvanés;691;698;700;701;687;682;686;682;663;
Municipios;1816;Villaviciosa de Odón;3598;3699;3746;3760;3892;3854;3813;3953;4023;
Municipios;1821;Villavieja del Lozoya;29;29;27;29;32;34;34;28;27;
Municipios;1837;Zarzalejo;148;141;147;161;158;163;162;170;179;
