Codigo_Valor;Nombre;Valor;Year;Indicador;lau_id
2.10-2023-280091;Algete;2;2023;2.10;280091
2.10-2023-280105;Alpedrete;11;2023;2.10;280105
2.10-2023-280112;Ambite;8;2023;2.10;280112
2.10-2023-280127;Anchuelo;8;2023;2.10;280127
2.10-2023-280133;Aranjuez;4;2023;2.10;280133
2.10-2023-280148;Arganda del Rey;3;2023;2.10;280148
2.10-2023-280151;Arroyomolinos;9;2023;2.10;280151
2.10-2023-280164;Atazar (El);6;2023;2.10;280164
2.10-2023-280170;Batres;9;2023;2.10;280170
2.10-2023-280186;Becerril de la Sierra;11;2023;2.10;280186
2.10-2023-280199;Belmonte de Tajo;8;2023;2.10;280199
2.10-2023-280210;Berrueco (El);6;2023;2.10;280210
2.10-2023-280203;Berzosa del Lozoya;6;2023;2.10;280203
2.10-2023-280225;Boadilla del Monte;5;2023;2.10;280225
2.10-2023-280231;Boalo (El);11;2023;2.10;280231
2.10-2023-280246;Braojos;6;2023;2.10;280246
2.10-2023-280259;Brea de Tajo;8;2023;2.10;280259
2.10-2023-280262;Brunete;5;2023;2.10;280262
2.10-2023-280278;Buitrago del Lozoya;6;2023;2.10;280278
2.10-2023-280284;Bustarviejo;6;2023;2.10;280284
2.10-2023-280297;Cabanillas de la Sierra;6;2023;2.10;280297
2.10-2023-280301;Cabrera (La);6;2023;2.10;280301
2.10-2023-280318;Cadalso de los Vidrios;10;2023;2.10;280318
2.10-2023-280323;Camarma de Esteruelas;7;2023;2.10;280323
2.10-2023-280339;Campo Real;8;2023;2.10;280339
2.10-2023-280344;Canencia;6;2023;2.10;280344
2.10-2023-280357;Carabaña;8;2023;2.10;280357
2.10-2023-280360;Casarrubuelos;9;2023;2.10;280360
2.10-2023-280376;Cenicientos;10;2023;2.10;280376
2.10-2023-280382;Cercedilla;11;2023;2.10;280382
2.10-2023-280395;Cervera de Buitrago;6;2023;2.10;280395
2.10-2023-280513;Chapinería;10;2023;2.10;280513
2.10-2023-280528;Chinchón;8;2023;2.10;280528
2.10-2023-280409;Ciempozuelos;4;2023;2.10;280409
2.10-2023-280416;Cobeña;2;2023;2.10;280416
2.10-2023-280468;Collado Mediano;11;2023;2.10;280468
2.10-2023-280474;Collado Villalba;5;2023;2.10;280474
2.10-2023-280455;Colmenar Viejo;2;2023;2.10;280455
2.10-2023-280437;Colmenar de Oreja;8;2023;2.10;280437
2.10-2023-280421;Colmenar del Arroyo;10;2023;2.10;280421
2.10-2023-280442;Colmenarejo;11;2023;2.10;280442
2.10-2023-280480;Corpa;8;2023;2.10;280480
2.10-2023-280493;Coslada;3;2023;2.10;280493
2.10-2023-280506;Cubas de la Sagra;9;2023;2.10;280506
2.10-2023-280534;Daganzo de Arriba;7;2023;2.10;280534
2.10-2023-280549;Escorial (El);11;2023;2.10;280549
2.10-2023-280552;Estremera;8;2023;2.10;280552
2.10-2023-280565;Fresnedillas de la Oliva;10;2023;2.10;280565
2.10-2023-280571;Fresno de Torote;7;2023;2.10;280571
2.10-2023-280587;Fuenlabrada;4;2023;2.10;280587
2.10-2023-280590;Fuente el Saz de Jarama;7;2023;2.10;280590
2.10-2023-280604;Fuentidueña de Tajo;8;2023;2.10;280604
2.10-2023-280611;Galapagar;5;2023;2.10;280611
2.10-2023-280626;Garganta de los Montes;6;2023;2.10;280626
2.10-2023-280632;Gargantilla del Lozoya y Pinilla de Buitrago;6;2023;2.10;280632
2.10-2023-280647;Gascones;6;2023;2.10;280647
2.10-2023-280650;Getafe;4;2023;2.10;280650
2.10-2023-280663;Griñón;9;2023;2.10;280663
2.10-2023-280679;Guadalix de la Sierra;6;2023;2.10;280679
