Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;poblacion_censada_0a4;poblacion_censada_10a14;poblacion_censada_15a19;poblacion_censada_20a24;poblacion_censada_25a29;poblacion_censada_30a34;poblacion_censada_35a39;poblacion_censada_40a44;poblacion_censada_45a49;poblacion_censada_50a54;poblacion_censada_55a59;poblacion_censada_5a9;poblacion_censada_60a64;poblacion_censada_65a69;poblacion_censada_70a74;poblacion_censada_75a79;poblacion_censada_80a84;poblacion_censada_85a89;poblacion_censada_90a94;poblacion_censada_95a99;poblacion_censada_mayores_100;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;cluster_zona_estadistica;cluster_densidad_poblacion;cluster_distancia_capital;sector_principal
Municipios;231.0;Boalo (El);55.387;280231;11;Sierra Central;39.4;240.0;4980.0;38040.0;0.0;2568.0;43992.0;324.0;5424.0;41256.0;2.49;210.04;40.63;48.24;26.1;12.85;5.79;1.59;18.16;29.35;37.25;51.76;-10.86;0.0;0.0;0.0;0.0;106;337;231;16;4.19;353;95.47;4.53;319;633;555;388;317;349;455;768;964;902;647;579;470;322;273;225;129;77;47;8;2;8429;27;2;27;1795.42;0.05;1795.23;264.0;2424.0;17496.0;1.0;0.0;1.0;terciario
Municipios;246.0;Braojos;83.276;280246;6;Sierra Norte;24.93;60.0;60.0;840.0;72.0;144.0;8616.0;48.0;72.0;6864.0;-2.75;8.5;46.69;53.77;38.21;18.87;11.79;3.77;8.02;20.28;30.66;46.23;-25.0;0.0;0.0;0.0;0.0;0;5;5;1;2.83;6;83.33;16.67;7;4;4;22;14;8;12;21;11;22;23;6;18;8;7;12;5;5;3;0;0;212;13;1;13;599.09;0.03;599.06;48.0;36.0;660.0;2.0;0.0;2.0;terciario
Municipios;259.0;Brea de Tajo;65.168;280259;8;Sudeste Comunidad;44.73;180.0;120.0;10620.0;264.0;240.0;13848.0;312.0;336.0;5172.0;1.1;12.27;48.8;57.92;42.81;28.6;16.03;5.28;9.11;20.22;30.78;42.08;-16.0;0.0;0.0;0.0;0.0;7;36;29;6;7.73;42;85.71;14.29;14;19;27;34;35;23;22;40;41;42;38;17;40;38;31;32;27;18;9;2;0;549;85;7;3;2532.27;0.14;92.8;180.0;168.0;1020.0;1.0;0.0;1.0;terciario
Municipios;262.0;Brunete;38.308;280262;5;Oeste Metropolitano;49.17;240.0;3780.0;60780.0;24.0;2856.0;58512.0;348.0;4740.0;63516.0;1.66;223.37;40.74;46.27;27.09;13.55;6.38;2.07;15.63;28.88;39.86;53.73;-5.93;0.0;0.0;0.0;0.0;149;421;272;23;4.03;444;94.82;5.18;410;749;779;678;620;586;643;882;1102;1006;871;559;618;419;369;301;173;143;65;19;0;10992;15;1;3;3375.06;0.05;100.68;312.0;2676.0;25188.0;2.0;0.0;0.0;terciario
Municipios;278.0;Buitrago del Lozoya;76.377;280278;6;Sierra Norte;25.92;120.0;1020.0;22200.0;0.0;1488.0;34416.0;84.0;1008.0;30396.0;0.1;75.24;43.53;49.18;32.24;19.09;10.8;4.76;15.46;26.0;36.9;50.82;9.52;0.0;0.0;0.0;0.0;33;87;54;5;4.68;92;94.57;5.43;74;126;114;92;108;105;131;141;179;152;129;102;128;87;75;61;57;47;30;13;3;1954;18;0;18;1331.05;0.0;1331.05;84.0;504.0;5244.0;2.0;0.0;2.0;terciario
Municipios;284.0;Bustarviejo;64.721;280284;6;Sierra Norte;56.13;120.0;780.0;10740.0;24.0;2448.0;20712.0;132.0;1032.0;13560.0;1.66;48.97;43.56;51.56;30.85;16.35;7.78;3.27;14.97;24.31;32.59;48.44;-2.53;0.0;0.0;0.0;0.0;60;147;87;7;5.61;154;95.45;4.55;90;182;142;115;95;133;175;261;317;253;222;140;177;136;100;81;43;47;33;10;0;2752;16;2;16;924.62;0.1;919.31;132.0;768.0;6048.0;2.0;0.0;1.0;terciario
Municipios;297.0;Cabanillas de la Sierra;55.486;280297;6;Sierra Norte;13.81;60.0;300.0;3900.0;24.0;528.0;12024.0;72.0;648.0;5352.0;7.21;67.8;42.94;51.01;31.7;16.44;7.9;2.13;15.9;26.25;33.4;48.99;-7.69;0.0;0.0;0.0;0.0;9;35;26;1;3.83;36;97.22;2.78;45;57;47;50;32;35;63;83;95;86;79;47;64;54;26;22;32;10;9;1;0;937;7;0;7;633.34;0.0;597.54;48.0;180.0;1788.0;2.0;0.0;1.0;terciario
Municipios;301.0;Cabrera (La);60.42;280301;6;Sierra Norte;22.14;60.0;960.0;13860.0;48.0;624.0;19008.0;48.0;1140.0;18936.0;2.58;130.78;43.11;49.28;30.78;16.84;8.42;3.11;14.11;25.57;35.09;50.72;1.2;0.0;0.0;0.0;0.0;51;163;112;5;5.83;168;97.02;2.98;100;168;173;159;142;134;184;269;282;254;237;141;167;137;107;80;74;55;22;11;2;2898;6;0;6;798.97;0.0;798.97;36.0;900.0;6528.0;2.0;0.0;1.0;terciario
Municipios;318.0;Cadalso de los Vidrios;89.965;280318;10;Sierra Sur;47.84;420.0;2640.0;11880.0;840.0;4848.0;19992.0;432.0;2604.0;16368.0;0.09;67.22;45.05;52.36;36.54;22.19;10.47;3.26;14.08;23.62;34.03;47.64;-18.06;0.0;0.0;0.0;0.0;89;221;132;24;7.72;245;90.2;9.8;123;181;141;166;152;183;209;229;264;245;250;149;212;183;194;149;83;51;45;7;2;3218;162;28;27;1015.73;1.02;560.34;156.0;1320.0;5556.0;1.0;0.0;2.0;terciario
Municipios;323.0;Camarma de Esteruelas;37.479;280323;7;Nordeste Comunidad;35.15;60.0;12720.0;43320.0;0.0;19704.0;56184.0;72.0;22224.0;49080.0;2.6;221.02;39.76;44.83;24.07;11.86;4.82;1.34;16.87;29.38;39.45;55.17;-6.75;0.0;0.0;0.0;0.0;136;395;259;33;5.49;428;92.29;7.71;302;588;550;423;344;440;511;712;890;726;529;423;421;312;236;185;86;72;26;5;1;7782;30;0;0;2505.4;0.0;0.0;60.0;3888.0;15576.0;2.0;0.0;0.0;terciario
