Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;pib_municipios_sector_2020;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario
Municipios;0203;Berzosa del Lozoya;82.228;280203;06;Sierra Norte;14.62;0.0;350.0;4350.0;0.0;700.0;64500.0;1300.0;450.0;9250.0;8.29;15.17;50.50;63.96;48.20;26.58;15.77;9.01;8.56;22.07;28.83;36.04;0.00;0;0;0;0;2;6;4;1;3.15;7;85.71;14.29;terciario;222;4;0;3;271.94;0.00;257.94;47.0;188.0;2585.0
Municipios;0225;Boadilla del Monte;24.652;280225;05;Oeste Metropolitano;47.38;9450.0;83900.0;3035000.0;23000.0;156100.0;2298300.0;10850.0;102250.0;2182900.0;3.97;1194.65;37.30;42.68;21.50;11.28;5.04;1.52;21.55;34.89;42.66;57.32;12.13;388.14;113.64;0;0;517;1467;950;77;2.72;1544;95.01;4.99;terciario;56.734;4;0;2;730.35;0.00;729.11;987.0;33182.0;703778.0
Municipios;0231;Boalo (El);55.387;280231;11;Sierra Central;39.40;1100.0;17600.0;132550.0;200.0;13100.0;130300.0;1550.0;19350.0;144600.0;2.06;190.95;39.01;44.71;23.62;12.07;5.31;1.58;19.90;29.78;37.92;55.29;3.63;0;0;0;0;173;378;205;22;5.22;400;94.50;5.50;terciario;7.663;27;2;27;1795.42;0.05;1795.23;1128.0;8742.0;62886.0
Municipios;0246;Braojos;83.276;280246;06;Sierra Norte;24.93;0.0;450.0;3500.0;0.0;100.0;39100.0;300.0;500.0;30300.0;0.49;8.26;44.67;51.46;33.98;18.45;9.71;3.88;8.74;22.82;32.04;48.54;-44.44;0;0;0;0;0;3;3;2;2.43;5;60.00;40.00;terciario;206;13;1;13;599.09;0.03;599.06;282.0;282.0;3196.0
Municipios;0259;Brea de Tajo;65.168;280259;08;Sudeste Comunidad;44.73;800.0;250.0;36950.0;1400.0;1000.0;45200.0;1250.0;800.0;18500.0;-3.44;11.30;47.95;55.53;42.09;28.26;16.01;5.34;8.10;22.33;31.82;44.47;-4.08;0;0;0;0;11;36;25;11;9.29;47;76.60;23.40;terciario;506;85;7;3;2532.27;0.14;92.80;705.0;564.0;3854.0
Municipios;0262;Brunete;38.308;280262;05;Oeste Metropolitano;49.17;1050.0;14350.0;218050.0;200.0;17500.0;252900.0;1400.0;18750.0;241900.0;0.22;218.65;38.96;42.48;23.56;12.22;5.60;1.96;17.61;29.73;40.46;57.52;4.87;0;0;0;0;212;475;263;42;4.80;517;91.88;8.12;terciario;10.760;15;1;3;3375.06;0.05;100.68;1081.0;10387.0;98465.0
Municipios;0278;Buitrago del Lozoya;76.377;280278;06;Sierra Norte;25.92;650.0;2500.0;46200.0;18100.0;3300.0;176200.0;550.0;3000.0;85550.0;3.98;75.43;41.68;45.43;30.37;18.17;10.77;4.80;16.44;28.89;39.51;54.57;1.10;0;0;0;0;37;81;44;11;4.70;92;88.04;11.96;terciario;1.959;18;0;18;1331.05;0.00;1331.05;470.0;1739.0;20633.0
Municipios;0284;Bustarviejo;64.721;280284;06;Sierra Norte;56.13;850.0;3450.0;41100.0;300.0;4000.0;104100.0;850.0;3650.0;45200.0;0.76;44.88;42.26;49.01;29.86;15.50;8.01;3.41;16.46;24.43;33.58;50.99;-1.26;0;0;0;0;61;150;89;7;6.23;157;95.54;4.46;terciario;2.522;16;2;16;924.62;0.10;919.31;752.0;2679.0;21855.0
Municipios;0297;Cabanillas de la Sierra;55.486;280297;06;Sierra Norte;13.81;250.0;1500.0;12300.0;200.0;1400.0;26600.0;300.0;1400.0;15050.0;3.84;56.80;42.61;49.55;30.32;16.43;9.43;2.80;15.41;25.99;33.12;50.45;-22.86;0;0;0;0;8;27;19;0;3.44;27;100.00;0.00;terciario;785;7;0;7;633.34;0.00;597.54;235.0;658.0;6392.0
Municipios;0301;Cabrera (La);60.420;280301;06;Sierra Norte;22.14;0.0;5400.0;51150.0;200.0;2300.0;77300.0;100.0;5600.0;73300.0;2.59;123.47;42.09;47.15;29.57;16.70;9.10;3.25;14.73;26.32;36.73;52.85;27.74;0;0;0;0;81;178;97;20;7.24;198;89.90;10.10;terciario;2.736;6;0;6;798.97;0.00;798.97;94.0;3337.0;24581.0
Municipios;0318;Cadalso de los Vidrios;89.965;280318;10;Sierra Sur;47.84;1750.0;9100.0;50250.0;7800.0;25800.0;116200.0;1300.0;11300.0;62250.0;0.26;63.65;43.65;49.33;34.07;21.50;10.47;4.43;14.24;24.42;35.74;50.67;1.35;0;0;0;0;118;266;148;35;9.88;301;88.37;11.63;terciario;3.047;162;28;27;1015.73;1.02;560.34;658.0;5170.0;18800.0
Municipios;0323;Camarma de Esteruelas;37.479;280323;07;Nordeste Comunidad;35.15;400.0;45200.0;167100.0;100.0;132600.0;341100.0;500.0;75400.0;194100.0;1.38;211.22;37.00;40.38;21.89;11.11;4.72;1.45;19.38;30.25;40.77;59.62;4.80;0;0;0;0;199;460;261;42;6.75;502;91.63;8.37;terciario;7.437;30;0;0;2505.40;0.00;0.00;376.0;14006.0;59596.0
Municipios;0339;Campo Real;34.635;280339;08;Sudeste Comunidad;61.75;750.0;35900.0;122550.0;2400.0;51500.0;178500.0;900.0;65650.0;149700.0;3.38;103.87;39.09;40.14;24.66;12.77;6.62;3.10;18.15;27.99;40.09;59.86;-5.58;9.63;6.74;0;0;182;391;209;32;6.59;423;92.43;7.57;terciario;6.420;160;9;13;4292.72;0.36;191.38;423.0;15416.0;54755.0
Municipios;0344;Canencia;82.184;280344;06;Sierra Norte;54.18;450.0;1450.0;7500.0;0.0;9200.0;53200.0;400.0;1700.0;10200.0;0.00;8.25;51.16;65.77;46.76;27.52;18.57;8.50;7.61;17.90;24.38;34.23;3.70;0;0;0;0;6;27;21;1;6.26;28;96.43;3.57;terciario;447;24;2;24;1458.89;0.02;1458.82;376.0;1128.0;3948.0
Municipios;0357;Carabaña;53.449;0;0;0;0;450.0;4750.0;32700.0;1700.0;5300.0;36000.0;1050.0;4700.0;31600.0;3.53;43.65;41.96;45.12;29.12;17.64;10.19;4.47;16.05;25.90;35.99;54.88;0.68;0;0;0;0;57;138;81;10;7.11;148;93.24;6.76;terciario;2.081;102;6;7;1868.15;0.12;53.33;517.0;3008.0;13348.0
Municipios;0360;Casarrubuelos;33.936;280360;09;Sudoeste Comunidad;5.33;0.0;17550.0;70450.0;300.0;30200.0;381100.0;100.0;27900.0;75500.0;1.77;720.04;37.58;39.17;21.61;10.43;3.59;0.96;19.48;30.01;41.20;60.83;4.93;0;0;0;0;96;220;124;14;6.09;234;94.02;5.98;terciario;3.845;0;0;0;0;0;0;94.0;7238.0;28294.0
Municipios;0376;Cenicientos;95.124;280376;10;Sierra Sur;68.25;1550.0;2550.0;21200.0;1600.0;2100.0;97700.0;1600.0;3500.0;34950.0;0.25;29.85;46.68;53.78;41.02;26.10;15.55;6.58;12.81;22.18;33.56;46.22;-2.94;0;0;0;0;76;169;93;29;9.72;198;85.35;14.65;terciario;2.038;248;27;56;1937.01;0.76;1390.80;1222.0;1598.0;11703.0
