Serie;Codigo_municipio;Nombre;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;contratos_primario_indefinidos;contratos_primario_temp;contratos_primario_total;contratos_secundario_indefinidos;contratos_secundario_temp;contratos_secundario_total;contratos_indefinidos;contratos_terciario_indefinidos;contratos_terciario_temp;contratos_terciario_total;contratos_temp;contratos_porcentaje_indefinidos;contratos_porcentaje_temp;contratos_total_registrados;densidad_poblacion;distancia_capital;ocupados_primario;ocupados_secundario;ocupados_terciario;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_primario;paro_secundario;paro_terciario;poblacion_censada;sector;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario;unidades_productivas_total
Municipios;0284;Bustarviejo;280284;06;Sierra Norte;56.13;0;3;3;17;23;40;203;186;288;474;314;39.26;60.74;517;44.88;64.721;17;73;904;0.16;0.02;0.16;9.25;0.0;9.19;0;0;0;0;3;21;127;2.522;Terciario;16;57;465;263
Municipios;0297;Cabanillas de la Sierra;280297;06;Sierra Norte;13.81;0;2;2;0;14;14;12;12;88;100;104;10.34;89.66;116;56.80;55.486;6;28;301;0.07;0.0;0.07;6.33;0.0;5.98;0;0;0;0;0;2;24;73;Terciario;5;14;136;77
Municipios;0301;Cabrera (La);280301;06;Sierra Norte;22.14;0;2;2;7;16;23;86;79;270;349;288;22.99;77.01;374;123.47;60.420;2;112;1466;0.06;0.0;0.06;7.99;0.0;7.99;0;0;0;0;1;34;158;65;Terciario;2;71;523;293
Municipios;0318;Cadalso de los Vidrios;280318;10;Sierra Sur;47.84;1;77;78;69;189;258;114;44;344;388;610;15.75;84.25;724;63.65;89.965;26;226;1245;1.62;0.28;0.27;10.16;0.01;5.6;0;0;0;0;17;49;207;3.047;Terciario;14;110;400;250
Municipios;0323;Camarma de Esteruelas;280323;07;Nordeste Comunidad;35.15;1;0;1;98;1228;1326;204;105;912;1017;2140;8.70;91.30;2344;211.22;37.479;10;1508;3882;0.3;0.0;0.0;25.05;0.0;0.0;0;0;0;0;5;88;378;7.437;Terciario;8;298;1268;742
Municipios;0339;Campo Real;280339;08;Sudeste Comunidad;61.75;1;23;24;83;432;515;182;98;500;598;955;16.01;83.99;1137;103.87;34.635;18;1313;2994;1.6;0.09;0.13;42.93;0.0;1.91;9.63;6.74;0;0;6;87;298;6.420;Terciario;9;328;1165;696
Municipios;0344;Canencia;280344;06;Sierra Norte;54.18;0;0;0;7;85;92;23;16;179;195;264;8.01;91.99;287;8.25;82.184;8;34;204;0.24;0.02;0.24;14.59;0.0;14.59;0;0;0;0;0;1;26;447;Terciario;8;24;84;57
Municipios;0357;Carabaña;280357;08;Sudeste Comunidad;47.64;3;14;17;7;46;53;38;28;92;120;152;20.00;80.00;190;43.65;53.449;21;94;632;1.02;0.06;0.07;18.68;0.0;0.53;0;0;0;0;1;28;110;2.081;Terciario;11;64;284;174
Municipios;0360;Casarrubuelos;280360;09;Sudoeste Comunidad;5.33;0;3;3;40;262;302;117;77;1651;1728;1916;5.76;94.24;2033;720.04;33.936;2;558;1510;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;1;48;171;3.845;Terciario;2;154;602;361
Municipios;0376;Cenicientos;280376;10;Sierra Sur;68.25;0;16;16;4;17;21;36;32;413;445;446;7.47;92.53;482;29.85;95.124;32;70;699;2.48;0.27;0.56;19.37;0.01;13.91;0;0;0;0;7;35;138;2.038;Terciario;26;34;249;152
