Serie;Nombre;superficie_km2;contratos_primario_temp_2023;contratos_primario_indefinidos_2023;contratos_primario_total_2023;contratos_secundario_temp_2023;contratos_secundario_indefinidos_2023;contratos_secundario_total_2023;contratos_terciario_temp_2023;contratos_terciario_indefinidos_2023;contratos_terciario_total_2023;contratos_porcentaje_indefinidos_2023;contratos_porcentaje_temp_2023;contratos_total_registrados_2023;ocupados_primario_2023;ocupados_secundario_2023;ocupados_terciario_2023;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_total_indust;unidades_productivas_primario_2023;unidades_productivas_secundario_2023;unidades_productivas_terciario_2023;superficie_agricola_ratio;superficie_industrial_ratio;contratos_ocupados_primario_ratio;unidades_productivas_primario_ratio;contratos_ocupados_secundario_ratio;unidades_productivas_secundario_ratio;contratos_ocupados_terciario_ratio;unidades_productivas_terciario_ratio;sector_mas_empleo;Cluster
Municipios;Navalagamella;75.76;61;3;64;7;15;22;68;77;145;41.13;58.87;231;14;47;736;2250.44;0.01;0.0;12;37;330;29.70485744456177;0.0;4.571428571428571;0.1875;0.46808510638297873;1.6818181818181819;0.19701086956521738;2.2758620689655173;ocupados_terciario_2023;0
Municipios;Navalcarnero;100.84;11;23;34;207;500;707;1775;1703;3478;52.76;47.24;4219;70;2446;20430;5178.81;0.29;0.0;43;780;4411;51.3567036890123;0.0;0.4857142857142857;1.2647058823529411;0.2890433360588716;1.1032531824611032;0.17023984336759668;1.2682576193214492;ocupados_terciario_2023;0
Municipios;Navas del Rey;50.51;0;1;1;6;25;31;159;112;271;45.54;54.46;303;8;185;1363;1526.99;0.12;0.0;8;82;514;30.231439318946745;0.0;0.125;8.0;0.16756756756756758;2.6451612903225805;0.1988261188554659;1.896678966789668;ocupados_terciario_2023;1
Municipios;Olmeda de las Fuentes;16.52;1;3;4;5;3;8;15;11;26;44.74;55.26;38;7;17;378;737.65;0.0;0.0;6;7;95;44.65193704600484;0.0;0.5714285714285714;1.5;0.47058823529411764;0.875;0.06878306878306878;3.6538461538461537;ocupados_terciario_2023;1
Municipios;Orusco de Tajuña;21.36;0;3;3;7;9;16;54;17;71;32.22;67.78;90;4;42;565;352.59;0.22;0.0;4;25;146;16.507022471910112;0.0;0.75;1.3333333333333333;0.38095238095238093;1.5625;0.1256637168141593;2.056338028169014;ocupados_terciario_2023;0
Municipios;Paracuellos de Jarama;43.78;2;5;7;202;530;732;1027;1321;2348;60.12;39.88;3087;24;2904;13451;1270.31;0.03;11981.91;11;720;4961;29.01576062128826;273.68455915943355;0.2916666666666667;1.5714285714285714;0.25206611570247933;0.9836065573770492;0.17455951230391792;2.1128620102214652;ocupados_terciario_2023;0
Municipios;Parla;25.02;8;16;24;561;1551;2112;4852;4265;9117;51.83;48.17;11253;45;5127;41788;1470.86;0.0;18004.8;34;1966;13050;58.787370103916864;719.6163069544365;0.5333333333333333;1.4166666666666667;0.41193680514921005;0.9308712121212122;0.21817268115248398;1.4313919052319841;ocupados_terciario_2023;0
Municipios;Pelayos de la Presa;7.57;0;13;13;24;54;78;152;104;256;49.28;50.72;347;1;210;1252;101.65;0.0;0.0;1;98;509;13.428005284015851;0.0;13.0;0.07692307692307693;0.37142857142857144;1.2564102564102564;0.20447284345047922;1.98828125;ocupados_terciario_2023;2
Municipios;Perales de Tajuña;49.07;3;2;5;9;33;42;103;160;263;62.9;37.1;310;13;195;1041;649.97;0.23;0.0;11;93;424;13.245771347055229;0.0;0.38461538461538464;2.2;0.2153846153846154;2.2142857142857144;0.2526416906820365;1.6121673003802282;ocupados_terciario_2023;0
Municipios;Pezuela de las Torres;41.68;10;2;12;1;1;2;92;31;123;24.82;75.18;137;21;26;369;3138.53;0.03;0.0;16;14;146;75.30062380038389;0.0;0.5714285714285714;1.3333333333333333;0.07692307692307693;7.0;0.3333333333333333;1.1869918699186992;ocupados_terciario_2023;1
Municipios;Pinto;61.98;28;4;32;1500;1671;3171;7154;4816;11970;42.78;57.22;15173;30;9153;41747;4542.06;0.08;1402.0;24;1258;8557;73.28267182962247;22.62020006453695;1.0666666666666667;0.75;0.34644378892166505;0.3967202775149795;0.28672718997772295;0.7148705096073518;ocupados_terciario_2023;0
Municipios;Pozuelo de Alarcón;43.1;24;10;34;308;1195;1503;17819;14035;31854;45.64;54.36;33391;131;3834;159454;12.04;0.03;0.0;67;971;31017;0.2793503480278422;0.0;0.2595419847328244;1.9705882352941178;0.392018779342723;0.64604125083167;0.19976921243744278;0.973723865134677;ocupados_terciario_2023;0
