Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Ocupados. Ocupados de la industria manufacturera. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;1219;Redueña;6;10;10;15;19;27;26;1;1;
Municipios;1224;Ribatejada;2;2;1;2;3;3;3;5;6;
Municipios;1230;Rivas-Vaciamadrid;1174;1502;1738;1685;1725;1694;1602;1620;1629;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;10;12;16;18;17;17;15;15;17;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);1649;1736;1807;1927;1941;2021;2095;1999;2118;
Municipios;1283;Rozas de Puerto Real;1;1;1;1;1;1;1;1;1;
Municipios;1296;San Agustín del Guadalix;1012;1039;1099;1220;1345;1008;1255;1430;1653;
Municipios;1300;San Fernando de Henares;2230;2054;2030;2135;2466;2321;2358;2502;2465;
Municipios;1317;San Lorenzo de El Escorial;39;47;51;64;78;70;68;78;81;
Municipios;1338;San Martín de Valdeiglesias;59;52;58;55;61;57;53;54;51;
Municipios;1322;San Martín de la Vega;639;720;760;791;840;916;882;980;939;
Municipios;1343;San Sebastián de los Reyes;1996;1899;2012;2235;2260;2261;2131;2143;2143;
Municipios;1356;Santa María de la Alameda;9;9;7;6;8;15;17;19;17;
Municipios;1369;Santorcaz;3;3;3;4;4;4;4;4;4;
Municipios;1375;Santos de la Humosa (Los);8;7;8;8;9;8;7;7;8;
Municipios;1381;Serna del Monte (La);0;0;0;0;1;1;1;1;1;
Municipios;1408;Serranillos del Valle;136;133;131;145;128;135;148;136;137;
Municipios;1415;Sevilla la Nueva;65;82;83;102;93;101;85;91;95;
Municipios;1436;Somosierra;0;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;72;64;60;66;87;80;83;83;69;
Municipios;1454;Talamanca de Jarama;43;144;159;95;176;178;160;179;173;
Municipios;1467;Tielmes;81;82;92;86;80;82;89;82;88;
Municipios;1473;Titulcia;9;10;9;10;10;12;13;13;13;
Municipios;1489;Torrejón de Ardoz;8737;8182;8141;9195;7685;7894;8242;8936;10048;
