Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Variación relativa del paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0587;Fuenlabrada;20.27;70.55;13.32;-2.26;7.59;12.03;-4.51;-10.51;-11.36;-12.74;-10.34;-7.64;-0.65;19.05;-22.93;-7.80;
Municipios;0590;Fuente el Saz de Jarama;25.63;104.98;20.39;3.43;17.54;-0.33;-4.99;-10.16;-12.48;-8.69;-3.17;-1.26;6.38;13.43;-18.18;-9.04;
Municipios;0604;Fuentidueña de Tajo;17.12;73.85;8.85;11.79;14.91;-0.63;-5.73;-12.50;-1.54;-15.69;-12.09;-8.99;-5.23;25.77;-6.34;-18.75;
Municipios;0611;Galapagar;21.90;57.39;19.81;0.78;10.72;3.92;-2.31;-11.61;-6.92;-12.96;-5.29;-8.59;6.40;21.03;-23.26;-3.92;
Municipios;0626;Garganta de los Montes;27.78;13.04;23.08;25.00;2.50;12.20;-21.74;0.00;-13.89;-12.90;-18.52;-4.55;38.10;-10.34;-23.08;10.00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;43.75;-21.74;50.00;7.41;17.24;2.94;-5.71;-12.12;-27.59;-23.81;-12.50;42.86;-5.00;26.32;12.50;-18.52;
Municipios;0647;Gascones;-70.00;100.00;166.67;-12.50;21.43;-11.76;-33.33;0.00;20.00;0.00;-8.33;-9.09;-40.00;83.33;18.18;-23.08;
Municipios;0650;Getafe;12.86;62.43;14.53;0.54;8.75;10.01;-4.28;-7.45;-9.21;-11.82;-7.99;-7.67;2.41;22.65;-23.42;-6.48;
Municipios;0663;Griñón;16.09;81.27;17.98;3.68;18.24;11.00;-12.48;-4.12;-10.74;-15.29;-6.09;-6.05;8.51;12.50;-14.31;-10.99;
Municipios;0679;Guadalix de la Sierra;18.23;56.67;25.53;2.97;12.35;16.67;-2.51;-8.53;-2.99;-15.43;-4.08;-13.65;-0.78;20.10;-18.70;-6.42;
Municipios;0685;Guadarrama;19.90;63.16;17.87;6.74;8.09;11.50;-5.16;-8.71;-10.68;-11.22;-5.36;-5.92;9.37;12.48;-15.23;-6.68;
Municipios;0698;Hiruela (La);200.00;-66.67;0.00;0.00;-100.00;0.00;0.00;0.00;0.00;0.00;200.00;-33.33;0.00;0.00;0.00;0.00;
Municipios;0702;Horcajo de la Sierra-Aoslos;0.00;-50.00;400.00;-53.33;28.57;11.11;0.00;-10.00;11.11;-30.00;0.00;0.00;-14.29;66.67;-10.00;-11.11;
Municipios;0719;Horcajuelo de la Sierra;-50.00;300.00;0.00;0.00;125.00;-55.56;-25.00;100.00;-66.67;0.00;-50.00;100.00;50.00;166.67;-62.50;0.00;
Municipios;0724;Hoyo de Manzanares;18.38;48.40;18.15;9.38;10.48;1.51;3.18;-13.37;-5.23;-17.79;3.05;-7.99;10.93;20.87;-23.50;-5.02;
Municipios;0730;Humanes de Madrid;33.13;71.67;13.14;0.00;8.25;13.12;-9.13;-9.96;-12.36;-14.26;-7.65;-4.21;-2.38;18.08;-20.69;-7.88;
Municipios;0745;Leganés;15.04;60.57;15.70;-0.49;9.46;9.12;-6.36;-8.02;-9.86;-12.24;-9.96;-8.32;0.99;17.96;-21.23;-8.90;
Municipios;0758;Loeches;25.23;76.26;31.02;4.67;18.15;7.18;-6.93;-12.12;-2.73;-14.18;-7.57;-10.43;4.78;19.25;-13.81;-7.72;
Municipios;0761;Lozoya;11.76;57.89;50.00;-20.00;38.89;-6.00;-6.38;2.27;-20.00;-22.22;-10.71;-8.00;26.09;6.90;-9.68;14.29;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;81.25;70.69;-7.07;-5.43;37.93;-5.83;-4.42;2.78;-16.22;-3.23;-15.56;-7.89;5.71;55.41;-41.74;14.93;
Municipios;0783;Madarcos;-100.00;0.00;-;-33.33;150.00;20.00;-33.33;-50.00;0.00;-50.00;300.00;-50.00;0.00;-100.00;0.00;0.00;
Municipios;0796;Madrid;11.09;53.08;18.79;-0.23;9.25;6.80;-4.11;-6.70;-8.45;-9.29;-6.28;-6.54;2.98;24.19;-25.66;-6.37;
Municipios;0800;Majadahonda;12.70;47.70;20.98;-0.84;11.64;3.35;-4.15;-8.48;-11.77;-12.69;-6.30;-12.42;6.69;27.34;-25.18;-8.34;
Municipios;0822;Manzanares el Real;21.14;47.32;37.13;2.16;10.57;8.82;-0.27;-9.35;-5.68;-9.35;-12.06;-3.98;4.35;10.12;-21.80;-0.23;
Municipios;0838;Meco;26.17;100.19;13.78;3.01;11.44;6.23;-7.60;-11.54;-12.07;-16.33;-5.76;-3.41;12.91;9.82;-21.81;-6.66;
Municipios;0843;Mejorada del Campo;17.75;88.62;14.80;-0.72;7.60;7.19;-2.04;-11.53;-10.00;-9.71;-8.30;-6.68;2.67;19.21;-22.34;-9.18;
Municipios;0856;Miraflores de la Sierra;8.16;86.79;15.15;12.72;15.76;10.42;-9.13;-3.02;-8.81;-7.01;-7.94;-16.37;7.41;10.59;-15.14;-6.56;
Municipios;0869;Molar (El);51.01;77.26;20.75;1.72;14.90;5.21;-1.14;-5.91;-9.56;-9.82;-8.71;-10.09;3.27;22.13;-20.39;-1.42;
Municipios;0875;Molinos (Los);31.78;63.12;18.26;0.00;28.68;-0.29;6.02;-5.14;-8.26;-15.84;-3.32;-4.96;-5.22;19.92;-20.85;-9.38;
Municipios;0881;Montejo de la Sierra;40.00;-28.57;320.00;-33.33;14.29;-12.50;35.71;-10.53;0.00;-11.76;-26.67;-27.27;137.50;-42.11;0.00;0.00;
Municipios;0894;Moraleja de Enmedio;50.68;67.73;8.13;6.27;13.92;10.77;-6.17;-17.53;-12.80;-6.93;-10.42;-1.66;-2.36;18.69;-23.03;-7.58;
Municipios;0908;Moralzarzal;27.64;53.57;20.78;-3.25;18.91;1.99;-8.10;-14.17;-4.29;-12.36;-3.26;-7.53;11.96;15.63;-22.36;-7.59;
Municipios;0915;Morata de Tajuña;21.15;95.24;27.64;-0.76;22.08;7.89;-9.65;-9.60;-10.50;-11.60;-7.24;-7.15;2.80;14.14;-18.96;-11.60;
Municipios;0920;Móstoles;12.00;53.04;12.30;1.07;9.67;10.05;-5.59;-10.31;-10.31;-11.93;-9.28;-9.84;1.63;18.56;-21.85;-9.28;
Municipios;0936;Navacerrada;10.38;17.09;11.68;0.65;16.88;12.22;0.50;-16.26;-10.00;-13.07;-24.06;16.83;15.25;31.62;-26.82;1.53;
Municipios;0941;Navalafuente;56.41;101.64;13.01;-8.63;26.77;-1.86;-12.03;-10.79;16.13;-19.44;4.31;-13.22;5.71;24.32;-27.54;6.00;
Municipios;0954;Navalagamella;26.09;94.25;33.14;4.89;5.93;-2.40;9.84;-7.84;-12.15;-11.52;-6.77;-7.82;9.09;5.00;-7.94;2.87;
Municipios;0967;Navalcarnero;22.55;76.00;22.27;6.60;15.17;12.26;-5.60;-6.14;-9.28;-11.87;-9.19;-8.65;2.58;20.81;-15.00;-15.52;
Municipios;0973;Navarredonda y San Mamés;-20.00;100.00;-25.00;33.33;-12.50;42.86;-30.00;42.86;-40.00;33.33;-75.00;250.00;0.00;-28.57;20.00;0.00;
Municipios;0992;Navas del Rey;21.24;72.99;28.27;-3.62;24.23;7.69;-7.91;1.39;-12.02;-12.42;-10.99;-11.55;1.80;15.49;-19.54;-11.90;
