Colectivo empresarial .Colectivo empresarial.Base 2015.Municipios.Unidades productivas. Unidades productivas de la industria de la alimentación e industria textil. Unidad: Número. Fuente: Colectivo Empresarial. Dirección General de Economía.;
Serie;;;2015;2016;2017;2018;2019;2020;2021;2022;2023(A)
Municipios;0992;Navas del Rey;4;4;4;5;6;4;3;3;3;
Municipios;1006;Nuevo Baztán;4;4;4;4;4;4;4;3;2;
Municipios;1013;Olmeda de las Fuentes;1;1;1;1;1;1;0;0;0;
Municipios;1028;Orusco de Tajuña;0;0;1;0;2;1;0;0;0;
Municipios;1049;Paracuellos de Jarama;97;109;115;109;110;18;18;23;24;
Municipios;1065;Parla;42;38;38;50;44;45;49;51;57;
Municipios;1071;Patones;0;0;0;0;0;0;0;0;0;
Municipios;1087;Pedrezuela;11;8;6;8;9;6;7;7;8;
Municipios;1090;Pelayos de la Presa;4;4;5;8;7;8;10;9;9;
Municipios;1104;Perales de Tajuña;8;7;6;5;7;7;6;5;7;
Municipios;1111;Pezuela de las Torres;0;0;1;1;1;1;0;0;0;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;
Municipios;1132;Pinto;39;38;37;38;38;38;38;44;44;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;38;44;51;50;54;49;51;54;55;
Municipios;1163;Pozuelo del Rey;1;1;1;0;0;0;0;0;0;
Municipios;1179;Prádena del Rincón;0;0;0;0;0;0;0;0;0;
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;0;0;0;0;0;0;0;0;0;
Municipios;1198;Quijorna;2;2;4;4;2;2;2;1;1;
Municipios;1202;Rascafría;6;6;6;6;6;4;5;3;4;
Municipios;1219;Redueña;0;0;0;0;0;0;0;0;0;
Municipios;1224;Ribatejada;1;1;0;0;1;1;1;1;1;
Municipios;1230;Rivas-Vaciamadrid;38;36;43;44;51;51;52;51;57;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;1;2;4;4;4;4;4;4;4;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);50;51;55;63;68;63;65;61;74;
Municipios;1283;Rozas de Puerto Real;0;0;0;0;0;0;0;0;0;
Municipios;1296;San Agustín del Guadalix;14;13;56;95;106;26;19;17;15;
Municipios;1300;San Fernando de Henares;161;167;173;182;186;30;30;33;30;
Municipios;1317;San Lorenzo de El Escorial;13;14;13;18;16;14;13;15;14;
Municipios;1338;San Martín de Valdeiglesias;13;12;12;12;11;12;16;16;15;
Municipios;1322;San Martín de la Vega;18;19;17;16;13;16;13;14;15;
