Serie;Codigo_municipio;Nombre;unidades_productivas_primario_2022;unidades_productivas_primario_2023;unidades_productivas_secundario_2022;unidades_productivas_secundario_2023;unidades_productivas_terciario_2022;unidades_productivas_terciario_2023
Municipios;1415;Sevilla la Nueva;10;10;232;234;1580;1589
Municipios;1436;Somosierra;1;1;1;1;30;30
Municipios;1441;Soto del Real;12;13;151;142;1804;1842
Municipios;1454;Talamanca de Jarama;11;11;82;84;540;541
Municipios;1467;Tielmes;17;13;83;69;372;349
Municipios;1473;Titulcia;5;5;35;34;184;180
Municipios;1489;Torrejón de Ardoz;36;44;2452;2449;17489;17416
Municipios;1505;Torrejón de Velasco;28;26;159;156;811;817
Municipios;1492;Torrejón de la Calzada;9;9;403;386;1717;1741
Municipios;1512;Torrelaguna;16;16;99;102;802;813
Municipios;1527;Torrelodones;9;13;287;274;6850;6830
Municipios;1533;Torremocha de Jarama;8;8;29;31;202;202
Municipios;1548;Torres de la Alameda;15;17;383;376;1448;1435
Municipios;9036;Tres Cantos;17;11;465;469;10358;10404
Municipios;1551;Valdaracete;10;10;17;14;72;69
Municipios;1564;Valdeavero;12;13;72;73;291;277
Municipios;1570;Valdelaguna;6;6;29;28;124;119
Municipios;1586;Valdemanco;0;0;36;35;150;137
Municipios;1599;Valdemaqueda;8;8;40;41;130;125
Municipios;1603;Valdemorillo;25;26;287;295;2848;2880
Municipios;1610;Valdemoro;27;25;1895;1899;11977;11983
Municipios;1625;Valdeolmos-Alalpardo;11;10;53;57;863;888
Municipios;1631;Valdepiélagos;6;5;23;25;121;109
Municipios;1646;Valdetorres de Jarama;20;19;114;128;708;734
Municipios;1659;Valdilecha;28;28;83;83;433;414
Municipios;1662;Valverde de Alcalá;4;3;7;7;59;54
Municipios;1678;Velilla de San Antonio;6;7;468;460;2075;2122
Municipios;1684;Vellón (El);8;10;52;52;267;243
Municipios;1697;Venturada;4;4;44;51;733;755
Municipios;1718;Villa del Prado;163;149;138;135;929;923
Municipios;1701;Villaconejos;61;64;100;92;601;587
Municipios;1723;Villalbilla;7;7;378;360;2237;2231
Municipios;1739;Villamanrique de Tajo;19;19;15;13;126;118
Municipios;1744;Villamanta;30;27;107;105;425;433
Municipios;1757;Villamantilla;5;4;48;47;217;196
Municipios;1782;Villanueva de Perales;9;10;28;30;280;281
Municipios;1760;Villanueva de la Cañada;20;21;269;281;5616;5671
Municipios;1776;Villanueva del Pardillo;10;10;289;285;3229;3321
Municipios;1795;Villar del Olmo;5;4;74;86;413;432
Municipios;1809;Villarejo de Salvanés;58;60;242;240;1130;1091
Municipios;1816;Villaviciosa de Odón;20;23;561;554;7441;7587
Municipios;1821;Villavieja del Lozoya;3;3;7;7;47;45
Municipios;1837;Zarzalejo;8;8;63;56;279;302
