Serie;Codigo_municipio;Nombre;paro_25_44_2022;paro_25_44_2023;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_paro_mayores_25_2022;porcentaje_paro_mayores_25_2023;porcentaje_paro_menores_25_2022;porcentaje_paro_menores_25_2023;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Municipios;0513;Chapinería;46;55;137;137;91;82;8;10;5.77;5.65;145;147;94.48;93.20;5.52;6.80;-27.50;1.38
Municipios;0528;Chinchón;137;122;328;318;191;196;24;23;6.22;6.02;352;341;93.18;93.26;6.82;6.74;-13.73;-3.13
Municipios;0409;Ciempozuelos;678;591;1458;1315;780;724;155;167;6.35;5.73;1613;1482;90.39;88.73;9.61;11.27;-22.00;-8.12
Municipios;0416;Cobeña;80;77;238;234;158;157;9;12;3.27;3.20;247;246;96.36;95.12;3.64;4.88;-21.09;-0.40
Municipios;0468;Collado Mediano;137;109;400;354;263;245;21;26;5.65;5.07;421;380;95.01;93.16;4.99;6.84;-19.50;-9.74
Municipios;0474;Collado Villalba;1406;1308;3553;3299;2147;1991;261;271;5.93;5.44;3814;3570;93.16;92.41;6.84;7.59;-21.12;-6.40
Municipios;0455;Colmenar Viejo;920;829;2207;2045;1287;1216;147;137;4.41;3.95;2354;2182;93.76;93.72;6.24;6.28;-21.79;-7.31
Municipios;0437;Colmenar de Oreja;215;195;540;495;325;300;37;42;6.82;6.21;577;537;93.59;92.18;6.41;7.82;-16.62;-6.93
Municipios;0421;Colmenar del Arroyo;38;34;113;100;75;66;3;7;5.99;5.50;116;107;97.41;93.46;2.59;6.54;5.45;-7.76
Municipios;0442;Colmenarejo;172;152;455;420;283;268;26;24;5.08;4.66;481;444;94.59;94.59;5.41;5.41;-19.83;-7.69
Municipios;0480;Corpa;24;18;51;42;27;24;4;0;7.20;5.26;55;42;92.73;100.00;7.27;0.00;-11.29;-23.64
Municipios;0493;Coslada;1579;1395;4011;3680;2432;2285;312;254;5.36;4.91;4323;3934;92.78;93.54;7.22;6.46;-22.28;-9.00
Municipios;0506;Cubas de la Sagra;102;96;243;240;141;144;21;34;3.94;4.02;264;274;92.05;87.59;7.95;12.41;-23.70;3.79
Municipios;0534;Daganzo de Arriba;112;105;457;414;345;309;30;42;4.57;4.30;487;456;93.84;90.79;6.16;9.21;-17.18;-6.37
Municipios;0549;Escorial (El);247;243;698;717;451;474;49;43;4.50;4.50;747;760;93.44;94.34;6.56;5.66;-19.07;1.74
Municipios;0552;Estremera;35;41;85;91;50;50;5;3;6.38;6.47;90;94;94.44;96.81;5.56;3.19;-18.18;4.44
Municipios;0565;Fresnedillas de la Oliva;44;45;122;114;78;69;7;7;7.23;6.76;129;121;94.57;94.21;5.43;5.79;-11.03;-6.20
Municipios;0571;Fresno de Torote;59;48;144;113;85;65;11;12;6.34;4.96;155;125;92.90;90.40;7.10;9.60;-4.32;-19.35
Municipios;0587;Fuenlabrada;4666;3997;11161;10083;6495;6086;977;1108;6.39;5.93;12138;11191;91.95;90.10;8.05;9.90;-22.93;-7.80
Municipios;0590;Fuente el Saz de Jarama;142;123;361;323;219;200;26;29;5.50;4.90;387;352;93.28;91.76;6.72;8.24;-18.18;-9.04
