Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Construcción. Total contratos registrados en las oficinas de empleo en construcción. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1049;Paracuellos de Jarama;537;433;406;453;378;495;379;461;607;590;539;386;440;423;308;
Municipios;1065;Parla;1921;1637;1739;1116;1536;1409;1504;1890;1650;1676;1709;1849;1778;1592;1429;
Municipios;1071;Patones;3;4;2;0;2;2;2;4;0;11;3;10;15;4;1;
Municipios;1087;Pedrezuela;79;108;138;52;43;25;36;33;37;30;49;39;51;38;44;
Municipios;1090;Pelayos de la Presa;43;48;31;28;30;22;22;20;30;32;43;57;69;45;36;
Municipios;1104;Perales de Tajuña;99;36;25;40;44;42;39;42;35;36;23;26;67;29;30;
Municipios;1111;Pezuela de las Torres;5;5;0;5;4;0;4;4;2;17;6;5;7;1;1;
Municipios;1126;Pinilla del Valle;9;3;5;0;1;0;1;1;6;1;0;0;0;0;2;
Municipios;1132;Pinto;2175;1682;1222;1005;704;924;969;1124;1580;1390;1201;1406;1031;1081;1021;
Municipios;1147;Piñuécar-Gandullas;1;1;2;1;0;0;1;8;6;1;4;3;1;1;0;
Municipios;1150;Pozuelo de Alarcón;1795;1464;1113;1010;903;956;1207;1505;1787;1933;1619;1437;1445;1159;941;
Municipios;1163;Pozuelo del Rey;9;10;18;12;15;6;15;22;27;45;52;30;34;35;25;
Municipios;1179;Prádena del Rincón;9;3;0;1;7;0;1;1;0;1;3;4;1;0;0;
Municipios;1185;Puebla de la Sierra;3;10;1;2;0;0;1;1;0;0;0;1;1;1;0;
Municipios;9020;Puentes Viejas;11;16;3;8;3;1;0;4;4;2;2;5;6;19;3;
Municipios;1198;Quijorna;34;60;28;17;25;19;9;26;23;22;24;63;66;30;28;
Municipios;1202;Rascafría;61;43;34;42;19;17;26;36;30;21;28;29;30;27;11;
Municipios;1219;Redueña;0;3;2;4;2;0;4;2;29;12;2;0;0;0;0;
Municipios;1224;Ribatejada;8;9;7;14;1;6;5;1;1;3;13;3;9;75;18;
Municipios;1230;Rivas-Vaciamadrid;2081;2717;1894;1681;1099;1402;1775;2087;1991;2053;2234;2240;2025;1608;1415;
Municipios;1245;Robledillo de la Jara;1;7;0;0;0;0;0;2;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;58;86;51;59;28;40;58;71;85;116;120;89;156;149;177;
Municipios;1261;Robregordo;1;1;0;1;0;1;2;0;0;1;0;3;1;1;0;
Municipios;1277;Rozas de Madrid (Las);1687;1253;1295;1189;1017;1178;1298;1080;1348;1384;1422;1376;1312;1273;981;
Municipios;1283;Rozas de Puerto Real;19;6;5;5;3;4;7;1;3;1;9;6;2;10;4;
Municipios;1296;San Agustín del Guadalix;193;108;137;75;128;206;252;198;147;185;126;100;94;85;114;
Municipios;1300;San Fernando de Henares;870;1039;911;582;616;560;711;833;843;890;831;792;1025;1057;923;
Municipios;1317;San Lorenzo de El Escorial;312;201;168;103;118;127;157;130;134;151;133;160;187;128;98;
Municipios;1338;San Martín de Valdeiglesias;220;185;145;195;170;163;128;138;178;215;141;131;158;140;116;
Municipios;1322;San Martín de la Vega;410;362;447;242;364;340;430;373;359;362;322;252;221;206;173;
