Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Total contratos registrados en las oficinas de empleo. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0650;Getafe;52337;61307;60503;48910;35728;39338;38193;35064;33743;39474;45452;47174;58185;60440;67058;63990;83739;78535;67618;
Municipios;0663;Griñón;3141;3083;3392;2747;1987;2318;2115;1973;2104;2564;3417;3610;3735;3818;3649;2414;3074;3326;3089;
Municipios;0679;Guadalix de la Sierra;536;799;849;823;1116;1149;691;748;726;860;1466;1188;1090;991;1452;920;1053;1114;770;
Municipios;0685;Guadarrama;2252;3050;2684;2511;2034;2370;2256;1970;2343;2950;2611;2665;2443;3705;2891;2198;2937;3275;2883;
Municipios;0698;Hiruela (La);117;154;86;54;45;41;40;33;32;41;34;32;52;30;55;27;46;51;35;
Municipios;0702;Horcajo de la Sierra-Aoslos;225;215;140;79;137;176;134;53;35;59;61;136;65;71;58;55;50;75;72;
Municipios;0719;Horcajuelo de la Sierra;101;116;113;93;71;124;94;40;32;41;36;47;27;49;27;124;247;272;50;
Municipios;0724;Hoyo de Manzanares;540;643;678;385;399;377;393;645;615;582;762;615;528;654;602;612;673;1188;546;
Municipios;0730;Humanes de Madrid;8096;8624;9176;5764;4803;4671;4365;4079;4275;5862;5950;6410;6307;7324;8640;5566;7001;6787;5416;
Municipios;0745;Leganés;36225;42171;45262;35962;30123;29740;29548;27386;26591;31946;34781;39506;42835;44687;45787;30152;37508;35999;35354;
Municipios;0758;Loeches;1895;2922;3235;2214;2355;3367;3509;2749;2960;3492;3475;3173;3453;3272;3643;2659;3770;2922;2149;
Municipios;0761;Lozoya;1279;1080;772;500;656;605;2158;1640;1867;656;955;1709;1314;994;775;685;656;463;439;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;202;215;226;172;164;145;181;112;149;205;382;293;178;205;319;252;382;405;376;
Municipios;0783;Madarcos;771;793;664;587;440;415;425;469;377;410;544;550;590;680;576;523;419;495;512;
Municipios;0796;Madrid;1473948;1644144;1631425;1410336;1076224;1097308;1103251;1112370;1070457;1210117;1378483;1500396;1634630;1749978;1794514;1068332;1421726;1547251;1357595;
Municipios;0800;Majadahonda;14178;15001;15473;12713;10425;10655;10755;15766;15722;17449;17939;18877;18323;19815;18269;12815;17000;17796;16304;
Municipios;0822;Manzanares el Real;551;719;629;530;491;451;490;564;527;602;566;654;1022;1156;942;581;690;646;648;
Municipios;0838;Meco;2346;2949;4466;4335;3540;4109;4842;6657;6123;5736;5980;5745;6931;7484;7623;7762;11355;10215;11170;
Municipios;0843;Mejorada del Campo;4332;5205;6386;5723;4391;4182;3477;2718;2829;3306;3178;3696;3944;4095;4541;3312;3838;3546;3141;
Municipios;0856;Miraflores de la Sierra;818;1144;767;642;563;672;666;719;699;868;782;829;1159;988;930;631;786;613;709;
Municipios;0869;Molar (El);845;839;893;785;731;619;573;526;437;505;587;624;713;691;650;550;772;760;935;
Municipios;0875;Molinos (Los);449;695;594;442;466;514;441;435;313;268;383;344;318;313;270;307;418;336;341;
Municipios;0881;Montejo de la Sierra;82;95;173;177;157;109;72;83;88;88;98;129;134;142;175;101;125;137;117;
Municipios;0894;Moraleja de Enmedio;1262;1481;1584;1258;1238;2214;2245;2924;1694;2156;2048;2606;2628;3557;2559;3903;1094;1131;913;
Municipios;0908;Moralzarzal;1075;1344;1240;993;971;1145;955;1367;1659;2270;2294;2156;2602;2229;2068;1196;1620;1534;1287;
Municipios;0915;Morata de Tajuña;1073;1334;1144;710;653;678;589;435;456;470;576;626;763;835;870;675;811;764;705;
Municipios;0920;Móstoles;32190;34609;33690;26082;21157;22073;21662;20567;20518;23092;25633;26332;24471;26660;24935;18317;25326;23408;19529;
Municipios;0936;Navacerrada;498;621;512;476;402;342;287;296;220;331;424;409;455;444;475;319;492;543;391;
Municipios;0941;Navalafuente;86;114;105;156;114;100;87;86;78;78;124;158;166;170;132;95;108;131;122;
Municipios;0954;Navalagamella;128;154;215;185;155;223;228;217;174;213;220;120;231;303;356;138;153;174;231;
Municipios;0967;Navalcarnero;3389;4519;4710;3550;2887;2462;3125;2655;4361;3511;3736;4204;4669;5197;5810;3644;4320;4793;4219;
Municipios;0973;Navarredonda y San Mamés;325;248;164;141;69;112;168;130;140;108;76;103;73;54;141;60;31;84;184;
Municipios;0992;Navas del Rey;184;213;226;201;287;231;191;205;141;259;225;262;291;397;357;291;308;273;303;
Municipios;1006;Nuevo Baztán;3208;13202;13667;8344;5348;3077;755;487;663;1194;536;500;653;596;535;544;689;620;598;
Municipios;1013;Olmeda de las Fuentes;43;47;46;42;35;41;38;29;42;23;26;30;13;15;30;52;44;44;38;
Municipios;1028;Orusco de Tajuña;115;164;124;100;92;99;117;77;71;106;108;110;126;95;77;85;76;97;90;
Municipios;1049;Paracuellos de Jarama;3244;4326;3442;3005;2540;3058;2761;3406;3839;5622;5750;7478;8443;7524;7469;4202;4957;4297;3087;
Municipios;1065;Parla;13163;15058;14369;12201;9473;9125;9631;8322;8300;9070;9429;11871;11969;12278;12093;9909;13156;16151;11253;
Municipios;1071;Patones;147;147;138;93;91;131;133;132;148;251;342;325;392;290;179;156;162;116;110;
Municipios;1087;Pedrezuela;1147;1237;924;953;648;499;519;400;386;475;491;606;711;716;746;576;627;543;500;
Municipios;1090;Pelayos de la Presa;251;382;339;398;289;185;210;184;233;234;276;292;303;299;330;339;380;473;347;
Municipios;1104;Perales de Tajuña;436;360;229;292;265;253;133;141;150;186;204;212;219;238;259;204;366;393;310;
Municipios;1111;Pezuela de las Torres;83;75;82;62;42;81;47;58;62;39;60;73;65;77;133;77;156;109;137;
Municipios;1126;Pinilla del Valle;25;38;75;29;67;25;24;17;17;14;15;21;21;29;43;21;41;39;38;
Municipios;1132;Pinto;23889;26264;26196;20033;12267;12854;15184;13847;11713;13537;15408;15852;19156;21152;23105;18109;23470;19262;15173;
Municipios;1147;Piñuécar-Gandullas;156;143;257;273;109;53;18;18;17;12;12;26;29;16;18;13;27;21;13;
Municipios;1150;Pozuelo de Alarcón;22574;29075;30996;31552;24382;25895;29439;31026;31185;34439;49856;56516;59103;64090;65292;33957;41921;38640;33391;
Municipios;1163;Pozuelo del Rey;157;209;187;205;96;66;61;104;90;87;112;127;84;101;114;79;116;126;83;
Municipios;1179;Prádena del Rincón;29;36;26;24;33;22;14;7;22;19;22;23;16;24;23;25;29;27;25;
Municipios;1185;Puebla de la Sierra;70;118;96;45;26;25;20;24;6;15;15;11;21;8;7;22;22;9;17;
Municipios;9020;Puentes Viejas;45;54;53;79;186;62;31;182;13;171;400;57;91;69;133;57;138;95;27;
Municipios;1198;Quijorna;283;282;231;375;224;447;204;263;208;286;351;541;397;335;415;379;388;383;217;
Municipios;1202;Rascafría;993;817;924;835;618;466;660;620;632;344;194;274;250;278;314;267;267;301;309;
Municipios;1219;Redueña;75;70;84;28;90;95;54;22;28;54;42;28;61;42;45;43;60;42;42;
Municipios;1224;Ribatejada;52;67;73;67;54;57;53;65;59;62;90;57;189;121;255;96;107;123;136;
Municipios;1230;Rivas-Vaciamadrid;10886;14760;17277;13135;9445;11358;14536;14261;16482;14318;15202;17599;20117;19405;20301;14506;19754;19608;16196;
Municipios;1245;Robledillo de la Jara;35;150;47;15;32;25;52;11;12;15;15;17;14;18;12;17;13;24;23;
Municipios;1258;Robledo de Chavela;260;369;355;307;256;343;347;313;207;319;398;449;568;623;588;353;578;604;610;
Municipios;1261;Robregordo;7;16;6;12;9;14;8;4;2;6;7;8;10;14;7;16;8;11;10;
Municipios;1277;Rozas de Madrid (Las);23681;27868;29393;27806;21386;22049;22173;25337;28050;32337;41512;35228;36586;40630;39133;30618;31940;31717;25757;
Municipios;1283;Rozas de Puerto Real;52;44;50;87;41;69;82;65;83;100;91;131;120;109;208;101;149;146;96;
Municipios;1296;San Agustín del Guadalix;2961;3379;3395;3058;2038;2832;2798;3142;4880;2987;2107;2504;3073;3032;3369;2421;3191;3989;2664;
Municipios;1300;San Fernando de Henares;8679;9173;11637;8731;6371;6410;7122;7630;8300;9761;14348;18819;17526;18175;20803;18978;20514;16682;15198;
Municipios;1317;San Lorenzo de El Escorial;2936;3316;2892;2462;2581;2483;2377;2492;3115;3917;5087;3422;3562;5035;4867;2417;2898;4341;2793;
Municipios;1338;San Martín de Valdeiglesias;1213;1388;1532;1365;1124;1010;1194;1098;919;961;1011;1025;1339;1476;1472;1334;1379;1523;1255;
Municipios;1322;San Martín de la Vega;4251;5786;5537;4872;3669;3975;4169;3433;4353;4165;4233;4258;4863;5115;5140;2883;4128;3956;3052;
Municipios;1343;San Sebastián de los Reyes;40338;36990;34492;32109;25978;28819;28052;23001;25808;29330;33763;37448;39089;38828;40512;30077;40658;41805;32343;
Municipios;1356;Santa María de la Alameda;88;102;95;86;102;97;114;68;50;66;50;73;103;73;115;91;116;111;88;
Municipios;1369;Santorcaz;139;112;78;92;43;35;52;39;53;26;38;51;29;39;28;31;102;81;80;
Municipios;1375;Santos de la Humosa (Los);290;192;122;121;91;76;86;99;106;103;134;114;102;111;106;123;159;159;123;
Municipios;1381;Serna del Monte (La);26;34;23;20;26;22;12;10;21;24;18;25;11;17;12;16;17;7;17;
Municipios;1408;Serranillos del Valle;492;583;522;528;402;487;428;366;303;375;392;381;493;839;1242;565;785;614;465;
Municipios;1415;Sevilla la Nueva;926;1110;1054;1162;1028;1134;834;738;901;841;941;930;961;1107;1072;900;934;1241;1291;
Municipios;1436;Somosierra;54;15;32;23;38;58;21;79;10;25;24;19;32;65;46;14;36;37;31;
Municipios;1441;Soto del Real;963;1060;944;710;707;718;702;851;744;732;807;841;860;968;956;830;1010;864;700;
Municipios;1454;Talamanca de Jarama;478;494;423;304;662;1240;734;361;253;334;510;458;457;433;635;268;484;1050;618;
Municipios;1467;Tielmes;281;350;304;237;620;1151;189;132;116;142;177;241;289;300;321;239;403;569;578;
Municipios;1473;Titulcia;146;135;188;103;52;64;80;92;71;94;108;158;121;164;143;156;348;650;413;
Municipios;1489;Torrejón de Ardoz;54003;54892;42942;29211;21272;24774;24309;20731;17142;22093;27887;38744;41854;43628;38182;25330;33602;32277;28095;
Municipios;1505;Torrejón de Velasco;560;748;771;858;696;619;508;327;316;481;469;352;450;494;508;395;407;373;405;
Municipios;1492;Torrejón de la Calzada;2056;2458;2602;1664;1301;1271;1101;833;922;1190;1394;1426;1747;2393;2388;1528;1799;1622;1437;
Municipios;1512;Torrelaguna;392;397;473;343;283;304;277;272;325;328;400;392;787;401;632;399;432;537;537;
Municipios;1527;Torrelodones;3175;4426;4643;4950;4922;6570;6991;6567;5935;6266;6478;7046;8896;9267;8677;4162;4468;4792;4206;
Municipios;1533;Torremocha de Jarama;215;250;286;213;175;168;195;131;133;165;194;173;143;106;143;140;159;130;106;
Municipios;1548;Torres de la Alameda;1848;1542;1714;1445;1124;1311;1192;1086;1292;1306;1646;1488;1606;1658;1712;1254;1507;1317;1106;
Municipios;9036;Tres Cantos;22381;24526;25632;23728;15369;19108;18113;18983;17342;17300;19641;20093;23411;24442;28671;21267;32568;26088;22520;
Municipios;1551;Valdaracete;54;55;76;53;53;58;121;38;72;323;236;76;93;82;84;58;78;77;81;
Municipios;1564;Valdeavero;157;140;251;145;165;221;122;130;112;164;141;215;165;169;150;148;170;163;140;
Municipios;1570;Valdelaguna;76;105;123;97;77;69;70;49;102;228;873;701;458;200;37;26;68;65;48;
Municipios;1586;Valdemanco;66;100;71;51;47;46;43;30;25;58;38;55;56;73;49;38;50;44;60;
Municipios;1599;Valdemaqueda;74;141;87;67;70;58;57;60;72;68;71;88;61;106;86;90;65;122;84;
Municipios;1603;Valdemorillo;1422;1518;1525;1361;1262;1045;1065;1153;1309;1433;1350;1569;1993;1770;1993;878;1235;1215;1025;
Municipios;1610;Valdemoro;17786;17636;19524;15396;11297;10958;10487;9772;10277;11506;15281;16040;13929;15216;14158;19995;31401;22567;22253;
Municipios;1625;Valdeolmos-Alalpardo;456;455;354;350;411;298;284;345;504;853;474;1063;1374;1502;1999;689;1291;1214;705;
Municipios;1631;Valdepiélagos;52;147;101;40;46;26;17;14;17;24;27;28;38;31;35;33;68;77;69;
