Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Todos los sectores. Porcentaje de contratos temporales registrados en las oficinas de empleo. Unidad: Porcentaje. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1071;Patones;72.11;80.95;86.96;86.02;90.11;90.84;88.72;90.91;94.59;94.82;96.49;96.31;92.86;94.48;91.06;92.95;83.33;57.76;68.18;
Municipios;1087;Pedrezuela;83.87;83.67;84.74;75.97;78.86;76.75;88.25;79.25;75.13;76.21;76.78;78.38;77.07;74.72;70.51;74.31;65.87;42.73;37.00;
Municipios;1090;Pelayos de la Presa;83.67;85.60;82.01;83.92;80.28;89.19;87.14;78.26;85.41;86.32;84.06;85.27;85.15;81.27;79.70;84.37;79.47;47.78;50.72;
Municipios;1104;Perales de Tajuña;90.37;81.67;82.53;85.62;83.77;92.49;89.47;87.23;87.33;83.33;78.43;86.79;81.28;81.09;85.71;85.78;90.98;49.36;37.10;
Municipios;1111;Pezuela de las Torres;80.72;81.33;64.63;51.61;76.19;85.19;95.74;77.59;83.87;89.74;86.67;83.56;92.31;81.82;90.98;83.12;87.82;68.81;75.18;
Municipios;1126;Pinilla del Valle;76.00;84.21;88.00;100.00;94.03;100.00;95.83;76.47;82.35;100.00;100.00;90.48;100.00;100.00;95.35;80.95;80.49;64.10;63.16;
Municipios;1132;Pinto;86.92;83.10;82.73;83.27;85.97;88.93;90.61;88.60;86.59;87.09;87.01;86.13;86.09;85.84;89.32;89.62;88.76;64.09;57.22;
Municipios;1147;Piñuécar-Gandullas;96.15;88.81;33.85;10.62;19.27;86.79;94.44;88.89;88.24;91.67;33.33;88.46;68.97;87.50;83.33;69.23;96.30;90.48;53.85;
Municipios;1150;Pozuelo de Alarcón;82.82;76.50;73.23;74.84;82.29;82.84;81.42;69.15;79.36;80.75;82.78;83.60;82.23;82.59;82.05;77.89;74.80;55.84;54.36;
Municipios;1163;Pozuelo del Rey;91.08;84.21;87.17;89.76;78.13;84.85;77.05;88.46;85.56;78.16;84.82;73.23;75.00;80.20;81.58;77.22;75.00;42.86;34.94;
Municipios;1179;Prádena del Rincón;93.10;97.22;76.92;91.67;96.97;95.45;92.86;57.14;86.36;94.74;90.91;91.30;93.75;62.50;86.96;92.00;82.76;88.89;56.00;
Municipios;1185;Puebla de la Sierra;85.71;88.98;71.88;82.22;92.31;88.00;90.00;91.67;83.33;80.00;86.67;90.91;95.24;75.00;85.71;90.91;77.27;88.89;76.47;
Municipios;9020;Puentes Viejas;75.56;75.93;90.57;88.61;92.47;79.03;83.87;96.70;92.31;96.49;96.75;87.72;92.31;85.51;89.47;87.72;95.65;56.84;40.74;
Municipios;1198;Quijorna;97.53;93.26;88.74;92.80;90.18;86.13;87.25;79.85;83.65;88.46;81.48;92.42;89.67;90.45;92.77;90.24;82.47;71.02;55.30;
Municipios;1202;Rascafría;97.48;93.02;94.81;95.81;94.82;90.13;96.21;96.29;95.09;92.44;81.44;79.20;76.40;78.42;85.35;83.15;75.66;49.17;59.22;
Municipios;1219;Redueña;77.33;87.14;95.24;92.86;82.22;93.68;100.00;86.36;92.86;90.74;50.00;67.86;90.16;69.05;80.00;74.42;85.00;66.67;59.52;
Municipios;1224;Ribatejada;82.69;85.07;87.67;79.10;88.89;89.47;88.68;83.08;91.53;93.55;85.56;87.72;94.71;95.04;98.82;93.75;86.92;69.11;83.82;
Municipios;1230;Rivas-Vaciamadrid;89.67;84.82;81.57;80.42;83.32;84.70;89.21;83.14;87.92;81.49;81.45;81.62;81.07;77.52;79.62;79.90;80.57;51.51;41.62;
Municipios;1245;Robledillo de la Jara;71.43;79.33;72.34;93.33;93.75;92.00;92.31;81.82;66.67;93.33;93.33;82.35;78.57;100.00;100.00;100.00;61.54;87.50;56.52;
Municipios;1258;Robledo de Chavela;81.15;78.59;78.59;81.43;81.25;81.34;86.46;79.87;78.74;82.13;90.95;88.86;90.14;90.69;87.24;83.85;85.12;64.90;52.13;
Municipios;1261;Robregordo;85.71;87.50;83.33;66.67;77.78;100.00;87.50;100.00;50.00;83.33;71.43;87.50;100.00;64.29;85.71;93.75;100.00;81.82;90.00;
Municipios;1277;Rozas de Madrid (Las);78.75;71.61;67.98;70.70;78.40;81.13;81.91;70.59;82.29;81.55;84.05;81.10;76.40;77.41;78.38;80.51;74.50;42.91;36.60;
Municipios;1283;Rozas de Puerto Real;90.38;88.64;90.00;94.25;82.93;95.65;91.46;87.69;78.31;96.00;91.21;90.08;89.17;82.57;91.83;81.19;89.26;58.90;53.13;
Municipios;1296;San Agustín del Guadalix;88.96;87.75;88.48;83.45;85.48;89.72;89.71;86.12;92.44;87.78;81.21;80.67;78.62;78.03;81.30;79.31;80.32;66.18;54.80;
Municipios;1300;San Fernando de Henares;84.43;79.41;78.53;76.13;81.34;82.31;82.79;83.53;84.90;85.28;84.40;88.08;84.01;83.97;85.41;83.68;84.64;60.41;56.56;
Municipios;1317;San Lorenzo de El Escorial;86.58;80.34;79.08;81.36;86.17;86.11;87.80;80.82;90.98;89.38;91.82;87.32;87.03;90.15;89.71;86.18;82.51;66.09;62.26;
Municipios;1338;San Martín de Valdeiglesias;90.44;83.36;85.77;89.08;88.88;86.93;90.37;85.97;89.88;87.51;90.31;85.76;89.40;87.80;87.84;88.98;85.13;57.32;57.05;
