Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Paro registrado total. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0611;Galapagar;1077;1055;1286;2024;2425;2444;2706;2812;2747;2428;2260;1967;1863;1703;1812;2193;1683;1617;
Municipios;0626;Garganta de los Montes;16;18;23;26;32;40;41;46;36;36;31;27;22;21;29;26;20;22;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7;16;23;18;27;29;34;35;33;29;21;16;14;20;19;24;27;22;
Municipios;0647;Gascones;2;10;3;6;16;14;17;15;10;10;12;12;11;10;6;11;13;10;
Municipios;0650;Getafe;7099;6696;7557;12275;14058;14134;15371;16910;16187;14981;13601;11994;11036;10189;10435;12799;9801;9166;
Municipios;0663;Griñón;261;230;267;484;571;592;700;777;680;652;582;493;463;435;472;531;455;405;
Municipios;0679;Guadalix de la Sierra;175;203;240;376;472;486;546;637;621;568;551;466;447;386;383;460;374;350;
Municipios;0685;Guadarrama;501;412;494;806;950;1014;1096;1222;1159;1058;945;839;794;747;817;919;779;727;
Municipios;0698;Hiruela (La);1;1;3;1;1;1;0;0;0;0;0;1;3;2;2;2;2;2;
Municipios;0702;Horcajo de la Sierra-Aoslos;8;6;6;3;15;7;9;10;10;9;10;7;7;7;6;10;9;8;
Municipios;0719;Horcajuelo de la Sierra;2;2;1;4;4;4;9;4;3;6;2;2;1;2;3;8;3;3;
Municipios;0724;Hoyo de Manzanares;188;185;219;325;384;420;464;471;486;421;399;328;338;311;345;417;319;303;
Municipios;0730;Humanes de Madrid;835;806;1073;1842;2084;2084;2256;2552;2319;2088;1830;1569;1449;1388;1355;1600;1269;1169;
Municipios;0745;Leganés;7982;7853;9034;14506;16783;16700;18280;19947;18678;17180;15486;13590;12237;11219;11330;13365;10528;9591;
Municipios;0758;Loeches;177;222;278;490;642;672;794;851;792;696;677;581;537;481;504;601;518;478;
Municipios;0761;Lozoya;11;17;19;30;45;36;50;47;44;45;36;28;25;23;29;31;28;32;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;35;32;58;99;92;87;120;113;108;111;93;90;76;70;74;115;67;77;
Municipios;0783;Madarcos;1;1;0;0;3;2;5;6;4;2;2;1;4;2;2;0;1;1;
Municipios;0796;Madrid;111276;109571;121723;186334;221346;220832;241263;257657;247067;230518;211046;191437;179406;167672;172670;214446;159411;149263;
Municipios;0800;Majadahonda;1620;1661;1872;2765;3345;3317;3703;3827;3668;3357;2962;2586;2423;2122;2264;2883;2157;1977;
Municipios;0822;Manzanares el Real;240;246;298;439;602;615;680;740;738;669;631;572;503;483;504;555;434;433;
Municipios;0838;Meco;427;428;540;1081;1230;1267;1412;1500;1386;1226;1078;902;850;821;927;1018;796;743;
Municipios;0843;Mejorada del Campo;836;873;1028;1939;2226;2210;2378;2549;2497;2209;1988;1795;1646;1536;1577;1880;1460;1326;
Municipios;0856;Miraflores de la Sierra;161;196;212;396;456;514;595;657;597;579;528;491;452;378;406;449;381;356;
Municipios;0869;Molar (El);160;198;299;530;640;651;748;787;778;732;662;597;545;490;506;618;492;485;
Municipios;0875;Molinos (Los);122;107;141;230;272;272;350;349;370;351;322;271;262;249;236;283;224;203;
Municipios;0881;Montejo de la Sierra;6;5;7;5;21;14;16;14;19;17;17;15;11;8;19;11;11;11;
Municipios;0894;Moraleja de Enmedio;152;146;220;369;399;424;483;535;502;414;361;336;301;296;289;343;264;244;
Municipios;0908;Moralzarzal;341;351;448;688;831;804;956;975;896;769;736;645;624;577;646;747;580;536;
Municipios;0915;Morata de Tajuña;235;260;315;615;785;779;951;1026;927;838;750;663;615;571;587;670;543;480;
Municipios;0920;Móstoles;10061;9896;11084;16963;19050;19253;21115;23237;21937;19676;17647;15542;14099;12712;12919;15317;11971;10860;
Municipios;0936;Navacerrada;97;106;117;137;153;154;180;202;203;170;153;133;101;118;136;179;131;133;
Municipios;0941;Navalafuente;34;39;61;123;139;127;161;158;139;124;144;116;121;105;111;138;100;106;
Municipios;0954;Navalagamella;56;69;87;169;225;236;250;244;268;247;217;192;179;165;180;189;174;179;
Municipios;0967;Navalcarnero;801;816;1000;1760;2152;2294;2642;2966;2800;2628;2384;2101;1908;1743;1788;2160;1836;1551;
Municipios;0973;Navarredonda y San Mamés;2;5;4;8;6;8;7;10;7;10;6;8;2;7;7;5;6;6;
Municipios;0992;Navas del Rey;122;113;137;237;304;293;364;392;361;366;322;282;251;222;226;261;210;185;
Municipios;1006;Nuevo Baztán;211;199;264;419;536;541;565;626;605;545;457;418;382;379;425;518;379;398;
Municipios;1013;Olmeda de las Fuentes;9;12;12;18;19;24;20;24;22;18;18;10;16;16;16;14;12;20;
Municipios;1028;Orusco de Tajuña;53;54;51;90;133;136;165;176;160;129;114;101;97;99;100;122;101;95;
Municipios;1049;Paracuellos de Jarama;219;226;327;624;847;916;1157;1253;1183;1114;960;918;905;828;829;1079;866;813;
Municipios;1065;Parla;4723;4959;6540;11619;14354;14232;15868;16750;15984;14392;13104;11415;10479;9761;10083;11605;9197;8380;
Municipios;1071;Patones;21;14;15;20;25;25;31;28;21;23;34;24;22;16;16;25;16;21;
Municipios;1087;Pedrezuela;73;104;128;245;337;364;445;470;442;401;404;383;321;303;307;372;296;276;
Municipios;1090;Pelayos de la Presa;104;113;166;227;318;322;323;356;297;291;286;292;276;250;243;329;261;213;
Municipios;1104;Perales de Tajuña;87;94;111;229;274;294;361;367;338;328;311;263;289;273;278;318;285;253;
Municipios;1111;Pezuela de las Torres;23;23;29;57;75;88;90;87;81;61;48;50;44;40;39;57;37;54;
Municipios;1126;Pinilla del Valle;4;15;9;6;8;14;17;16;19;14;10;9;7;6;11;12;11;10;
Municipios;1132;Pinto;1436;1459;1926;3255;3948;4033;4518;4936;4778;4456;4045;3555;3378;3111;3307;3867;3011;2782;
Municipios;1147;Piñuécar-Gandullas;5;6;7;8;11;11;12;16;10;12;11;8;12;7;12;16;8;4;
Municipios;1150;Pozuelo de Alarcón;1746;1734;1930;2718;3313;3290;3564;3728;3555;3250;2773;2668;2430;2309;2353;2757;2223;2083;
Municipios;1163;Pozuelo del Rey;11;15;37;57;84;89;99;110;114;83;84;68;70;64;79;99;69;77;
Municipios;1179;Prádena del Rincón;4;5;3;7;12;12;9;11;14;5;9;5;5;3;3;3;4;6;
Municipios;1185;Puebla de la Sierra;5;5;1;4;9;6;5;12;11;8;4;4;1;5;5;3;2;5;
Municipios;9020;Puentes Viejas;29;19;27;33;51;40;49;46;57;52;47;49;49;43;34;41;30;28;
