Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por edad y sexo.Total. Porcentaje de parados registrados en las oficinas de empleo de 25 años y más. Unidad: Número. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0357;Carabaña;87.69;87.67;87.95;85.80;88.73;89.11;92.18;91.92;88.93;90.31;87.90;91.95;94.32;93.20;93.24;93.25;89.54;90.07;
Municipios;0360;Casarrubuelos;87.83;90.24;87.66;89.73;84.98;87.46;85.71;91.21;90.54;89.33;93.88;91.97;94.02;94.17;94.02;88.93;92.64;90.36;
Municipios;0376;Cenicientos;86.93;85.60;75.17;79.53;77.78;83.19;83.73;84.42;83.61;83.91;83.59;85.77;87.01;87.75;85.35;90.10;90.22;88.75;
Municipios;0382;Cercedilla;92.54;80.43;89.16;87.23;87.98;87.71;87.52;90.43;91.43;91.04;92.34;93.28;94.02;92.31;94.48;93.41;92.80;90.70;
Municipios;0395;Cervera de Buitrago;100.00;100.00;100.00;100.00;92.31;72.73;93.75;95.45;88.89;86.67;100.00;100.00;92.86;100.00;100.00;100.00;100.00;84.62;
Municipios;0513;Chapinería;86.46;91.36;83.97;83.33;78.41;83.12;83.19;88.60;87.40;88.09;92.31;96.41;93.26;89.81;86.15;84.50;94.48;93.20;
Municipios;0528;Chinchón;89.30;85.00;86.08;84.10;85.71;84.98;87.80;91.11;91.37;91.20;94.61;92.86;93.52;94.82;94.29;92.16;93.18;93.26;
Municipios;0409;Ciempozuelos;86.83;87.23;86.31;84.18;84.88;86.55;87.59;89.71;90.23;90.49;90.34;91.01;91.74;89.56;90.66;89.51;90.39;88.73;
Municipios;0416;Cobeña;89.69;88.14;92.74;86.34;90.75;91.59;91.40;91.16;92.19;94.41;94.77;91.61;93.23;93.39;93.70;94.57;96.36;95.12;
Municipios;0468;Collado Mediano;87.66;93.02;90.40;91.18;88.82;90.04;90.02;92.52;92.82;92.91;92.95;94.63;95.07;92.84;94.28;93.50;95.01;93.16;
Municipios;0474;Collado Villalba;88.70;89.64;89.13;87.30;88.97;88.76;89.14;90.45;91.83;92.85;92.62;92.62;92.40;92.01;92.45;90.88;93.16;92.41;
Municipios;0455;Colmenar Viejo;87.00;87.41;87.09;85.72;87.09;87.83;86.71;88.17;90.90;90.56;91.24;91.40;91.88;92.66;91.80;90.53;93.76;93.72;
Municipios;0437;Colmenar de Oreja;86.61;86.99;84.05;84.52;81.26;85.86;85.80;88.38;87.31;89.33;91.00;92.40;92.00;91.79;89.74;91.76;93.59;92.18;
Municipios;0421;Colmenar del Arroyo;85.29;87.18;79.59;81.93;82.88;83.59;88.82;87.71;88.16;90.00;95.65;92.73;94.92;93.22;96.49;86.36;97.41;93.46;
Municipios;0442;Colmenarejo;90.79;91.23;88.04;86.64;90.48;90.37;90.65;93.70;92.97;92.61;94.44;93.43;95.01;92.49;93.56;92.17;94.59;94.59;
Municipios;0480;Corpa;78.26;80.00;86.96;85.37;75.41;79.69;82.80;85.33;84.72;90.77;93.65;93.22;88.46;91.11;97.78;91.94;92.73;100.00;
