Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado total. Evolución del porcentaje de paro registrado. Unidad: Porcentaje. Fuente: Estadística de Empleo. Ministerio de Trabajo y Economía Social.;
Serie;;;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Municipios;0468;Collado Mediano;-0.32;0.40;1.89;1.62;-0.26;1.98;-0.20;-0.71;-0.09;-0.80;0.90;-0.14;-0.26;0.13;0.97;-1.47;
Municipios;0474;Collado Villalba;-0.18;0.74;2.89;0.85;0.00;1.17;0.23;-0.46;-0.81;-0.54;0.74;-0.68;-0.44;0.27;1.05;-1.64;
Municipios;0455;Colmenar Viejo;0.24;0.42;2.75;1.24;-0.21;0.83;0.60;-0.45;-0.82;-0.68;0.84;-0.53;-0.46;-0.07;0.78;-1.33;
Municipios;0437;Colmenar de Oreja;0.31;0.50;4.73;2.14;-0.38;1.22;0.75;-0.31;-0.51;-1.05;-2.15;-0.53;-0.94;0.60;0.45;-1.52;
Municipios;0421;Colmenar del Arroyo;0.30;0.56;2.40;1.64;0.76;1.86;1.03;-1.71;-1.54;-1.02;0.31;0.26;-0.16;-0.45;-0.52;0.13;
Municipios;0442;Colmenarejo;-0.27;0.46;2.36;0.59;0.24;0.44;0.22;0.19;-0.67;-0.38;0.36;-0.59;-0.53;0.42;1.01;-1.32;
Municipios;0480;Corpa;-0.61;0.28;3.08;2.95;-0.19;4.37;-3.07;-0.67;-1.01;-0.34;0.75;-1.17;-1.15;-0.09;2.13;-1.16;
Municipios;0493;Coslada;0.48;-0.09;2.80;0.95;-0.04;0.27;0.74;-0.13;-0.75;-0.82;0.71;-0.49;-0.60;0.15;1.24;-1.48;
Municipios;0506;Cubas de la Sagra;-0.35;0.78;1.85;1.31;0.36;0.87;1.31;-1.52;-0.81;-0.21;-1.55;-0.82;-0.12;0.28;0.51;-1.27;
Municipios;0534;Daganzo de Arriba;-0.24;0.10;1.72;1.30;-0.27;0.78;1.08;-0.55;-0.72;-0.75;0.68;-0.41;-0.60;0.52;0.67;-1.02;
Municipios;0549;Escorial (El);-0.02;0.29;1.87;0.97;0.05;0.98;0.31;-0.61;-0.35;-0.65;0.55;-0.12;-0.32;0.34;0.42;-1.07;
Municipios;0552;Estremera;-1.13;-0.10;4.28;1.10;0.09;-0.05;1.86;-0.48;0.01;-0.55;0.90;-0.34;0.19;-0.02;0.92;-1.58;
Municipios;0565;Fresnedillas de la Oliva;-0.08;1.83;0.91;2.37;0.23;2.51;0.31;-0.64;-0.91;-0.27;-2.28;0.11;-1.18;-0.80;1.36;-1.09;
Municipios;0571;Fresno de Torote;-0.55;0.97;2.87;1.20;-0.74;1.69;0.26;0.16;0.09;-1.19;-1.76;-0.17;-1.52;0.30;1.05;-0.36;
Municipios;0587;Fuenlabrada;-0.06;0.91;3.73;1.17;-0.21;0.80;1.36;-0.46;-1.21;-1.16;-1.23;-0.81;-0.57;-0.07;1.39;-1.80;
Municipios;0590;Fuente el Saz de Jarama;-0.02;0.58;3.25;1.29;0.20;1.41;0.05;-0.59;-0.94;-0.95;0.63;-0.31;-0.22;0.27;0.75;-1.37;
Municipios;0604;Fuentidueña de Tajo;0.11;0.72;4.36;0.88;1.82;1.65;-0.32;-0.29;-1.36;-0.08;-2.31;-1.34;-1.14;-0.75;1.57;-0.67;
Municipios;0611;Galapagar;-0.21;0.60;2.25;1.13;0.02;0.71;0.43;-0.16;-0.97;-0.54;0.00;-0.40;-0.53;0.21;1.07;-1.49;
Municipios;0626;Garganta de los Montes;0.54;1.09;0.87;1.74;1.97;0.10;1.35;-2.28;0.39;-0.98;0.67;-1.84;-0.27;1.64;-1.37;-1.26;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;2.41;1.68;-1.23;2.11;0.78;1.56;0.30;-0.39;-0.85;-1.80;-1.38;-0.68;1.93;-0.18;0.83;0.50;
Municipios;0647;Gascones;5.40;-4.69;1.88;5.87;-2.17;1.59;-0.72;-2.94;0.10;1.34;0.20;-0.97;-0.67;-1.77;2.35;0.37;
Municipios;0650;Getafe;-0.34;0.40;2.74;0.97;0.00;0.67;0.83;-0.45;-0.79;-0.87;0.97;-0.62;-0.55;0.08;1.36;-1.64;
Municipios;0663;Griñón;-0.55;0.30;2.24;0.83;0.10;1.09;0.69;-1.02;-0.28;-0.72;0.96;-0.35;-0.33;0.31;0.55;-0.74;
Municipios;0679;Guadalix de la Sierra;0.36;0.41;2.32;1.50;0.08;0.84;1.54;-0.24;-0.85;-0.19;-1.51;-0.40;-1.09;-0.26;1.03;-1.37;
Municipios;0685;Guadarrama;-0.82;0.42;2.00;0.82;0.34;0.45;0.72;-0.32;-0.65;-0.71;0.73;-0.34;-0.37;0.27;0.55;-0.88;
Municipios;0698;Hiruela (La);0.04;2.60;-2.60;0.16;0.30;-1.82;0.00;0.00;0.00;0.00;1.92;4.33;-2.74;-0.43;-0.30;-0.11;
Municipios;0702;Horcajo de la Sierra-Aoslos;-1.28;-0.02;-1.75;7.04;-4.79;1.41;0.53;-0.33;0.07;1.33;-2.06;-0.20;0.10;-0.88;1.93;-1.40;
Municipios;0719;Horcajuelo de la Sierra;0.07;-0.96;3.42;-0.19;-0.29;5.55;-4.82;-0.90;3.07;-4.49;0.05;-1.15;1.20;1.05;4.18;-4.82;
Municipios;0724;Hoyo de Manzanares;-0.07;0.40;1.35;0.77;0.39;0.50;0.04;0.22;-0.86;-0.33;0.93;0.03;-0.42;0.36;0.76;-1.18;
Municipios;0730;Humanes de Madrid;-0.47;1.29;4.00;1.06;-0.14;0.86;1.30;-1.31;-1.20;-1.40;-1.35;-0.60;-0.37;-0.15;1.23;-1.71;
Municipios;0745;Leganés;-0.07;0.60;2.89;1.17;-0.01;0.82;0.90;-0.66;-0.81;-0.92;-1.03;-0.75;-0.59;0.02;1.19;-1.48;
Municipios;0758;Loeches;0.60;0.63;2.75;1.61;-0.03;1.14;0.60;-0.83;-1.23;-0.40;-1.26;-0.62;-0.72;0.19;1.12;-0.99;
Municipios;0761;Lozoya;0.92;0.23;1.68;2.12;-1.15;2.31;-0.35;-0.07;0.13;-1.33;-1.24;-0.54;-0.51;1.04;0.23;-0.58;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;-0.31;2.17;3.63;-0.55;-0.98;2.48;-0.71;-0.26;0.20;-1.54;0.41;-1.27;-0.61;0.13;2.65;-3.59;
Municipios;0783;Madarcos;-0.22;-2.22;0.00;6.12;-2.55;5.86;1.48;-2.40;-4.07;-0.19;-2.08;6.34;-4.34;-0.09;-4.08;1.59;
Municipios;0796;Madrid;-0.06;0.29;1.93;1.04;0.00;0.70;0.57;-0.23;-0.47;-0.67;0.65;-0.45;-0.43;0.04;1.31;-1.63;
Municipios;0800;Majadahonda;0.01;0.20;1.25;0.76;-0.08;0.54;0.16;-0.22;-0.47;-0.56;0.56;-0.25;-0.42;0.18;0.86;-1.01;
Municipios;0822;Manzanares el Real;-0.04;0.58;1.76;2.02;-0.13;0.60;0.63;-0.17;-0.97;-0.53;0.79;-0.88;-0.39;0.18;0.39;-1.34;
Municipios;0838;Meco;-0.20;0.77;4.28;1.07;0.31;0.94;0.57;-1.05;-1.31;-1.21;-1.38;-0.56;-0.35;0.58;0.51;-1.57;
