Codigo_Valor,Nombre,Valor,Year,Indicador,lau_id
2.9-2023-28129,San Agustín del Guadalix,36.132,2023,2.9,28129
2.9-2023-28130,San Fernando de Henares,18.348,2023,2.9,28130
2.9-2023-28131,San Lorenzo de El Escorial,62.624,2023,2.9,28131
2.9-2023-28133,San Martín de Valdeiglesias,78.77,2023,2.9,28133
2.9-2023-28132,San Martín de la Vega,30.402,2023,2.9,28132
2.9-2023-28134,San Sebastián de los Reyes,20.284,2023,2.9,28134
2.9-2023-28135,Santa María de la Alameda,70.111,2023,2.9,28135
2.9-2023-28136,Santorcaz,45.724,2023,2.9,28136
2.9-2023-28137,Santos de la Humosa (Los),46.496,2023,2.9,28137
2.9-2023-28138,Serna del Monte (La),80.844,2023,2.9,28138
2.9-2023-28140,Serranillos del Valle,35.694,2023,2.9,28140
2.9-2023-28141,Sevilla la Nueva,42.875,2023,2.9,28141
2.9-2023-28143,Somosierra,93.268,2023,2.9,28143
2.9-2023-28144,Soto del Real,44.268,2023,2.9,28144
2.9-2023-28145,Talamanca de Jarama,47.636,2023,2.9,28145
2.9-2023-28146,Tielmes,45.405,2023,2.9,28146
2.9-2023-28147,Titulcia,40.449,2023,2.9,28147
2.9-2023-28148,Torrejón de Ardoz,22.712,2023,2.9,28148
2.9-2023-28150,Torrejón de Velasco,29.513,2023,2.9,28150
2.9-2023-28149,Torrejón de la Calzada,27.728,2023,2.9,28149
2.9-2023-28151,Torrelaguna,60.357,2023,2.9,28151
2.9-2023-28152,Torrelodones,30.262,2023,2.9,28152
2.9-2023-28153,Torremocha de Jarama,64.681,2023,2.9,28153
2.9-2023-28154,Torres de la Alameda,37.051,2023,2.9,28154
2.9-2023-28903,Tres Cantos,24.566,2023,2.9,28903
2.9-2023-28155,Valdaracete,58.985,2023,2.9,28155
2.9-2023-28156,Valdeavero,47.888,2023,2.9,28156
2.9-2023-28157,Valdelaguna,50.708,2023,2.9,28157
2.9-2023-28158,Valdemanco,65.264,2023,2.9,28158
2.9-2023-28159,Valdemaqueda,80.311,2023,2.9,28159
2.9-2023-28160,Valdemorillo,49.031,2023,2.9,28160
2.9-2023-28161,Valdemoro,28.75,2023,2.9,28161
2.9-2023-28162,Valdeolmos-Alalpardo,37.129,2023,2.9,28162
2.9-2023-28163,Valdepiélagos,51.502,2023,2.9,28163
2.9-2023-28164,Valdetorres de Jarama,41.951,2023,2.9,28164
2.9-2023-28165,Valdilecha,45.871,2023,2.9,28165
2.9-2023-28166,Valverde de Alcalá,42.548,2023,2.9,28166
2.9-2023-28167,Velilla de San Antonio,21.48,2023,2.9,28167
2.9-2023-28168,Vellón (El),48.389,2023,2.9,28168
2.9-2023-28169,Venturada,52.667,2023,2.9,28169
2.9-2023-28171,Villa del Prado,66.911,2023,2.9,28171
2.9-2023-28170,Villaconejos,55.549,2023,2.9,28170
2.9-2023-28172,Villalbilla,39.662,2023,2.9,28172
2.9-2023-28173,Villamanrique de Tajo,64.302,2023,2.9,28173
2.9-2023-28174,Villamanta,47.225,2023,2.9,28174
2.9-2023-28175,Villamantilla,53.9,2023,2.9,28175
2.9-2023-28178,Villanueva de Perales,50.249,2023,2.9,28178
2.9-2023-28176,Villanueva de la Cañada,43.204,2023,2.9,28176
