Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de agricultura y ganadería. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0745;Leganés;141;148;140;111;88;117;89;128;116;62;95;114;130;465;430;
Municipios;0758;Loeches;5;8;8;5;6;5;-;6;6;6;6;6;5;5;5;
Municipios;0761;Lozoya;11;9;8;7;6;8;8;6;6;7;5;-;5;5;5;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;-;-;8;-;-;-;7;7;8;7;6;6;10;10;10;
Municipios;0783;Madarcos;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0796;Madrid;3948;3783;3637;2276;1751;1754;1509;1545;1613;1832;1903;1991;2255;1945;1970;
Municipios;0800;Majadahonda;81;59;50;42;44;47;45;40;37;40;41;39;45;50;45;
Municipios;0822;Manzanares el Real;20;29;21;12;12;14;28;24;24;14;15;15;20;20;20;
Municipios;0838;Meco;48;51;38;30;32;33;38;42;38;36;38;38;40;40;45;
Municipios;0843;Mejorada del Campo;24;20;14;12;6;9;8;7;5;8;6;5;5;5;5;
Municipios;0856;Miraflores de la Sierra;34;36;29;27;40;39;39;40;39;41;37;35;35;20;25;
Municipios;0869;Molar (El);35;38;38;34;21;18;19;18;18;25;27;27;25;30;25;
Municipios;0875;Molinos (Los);20;14;15;13;11;10;10;18;12;13;15;11;15;15;10;
Municipios;0881;Montejo de la Sierra;10;9;8;9;9;9;9;7;8;8;8;7;5;5;5;
Municipios;0894;Moraleja de Enmedio;15;18;16;16;12;13;14;15;14;15;13;12;10;10;10;
Municipios;0908;Moralzarzal;27;36;43;49;48;34;14;15;17;21;23;20;20;20;20;
Municipios;0915;Morata de Tajuña;63;74;67;65;73;78;66;65;58;60;60;62;70;60;65;
Municipios;0920;Móstoles;174;160;154;70;59;60;57;56;63;58;62;61;55;55;55;
Municipios;0936;Navacerrada;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0941;Navalafuente;10;10;9;8;7;6;6;6;7;6;8;6;5;5;5;
Municipios;0954;Navalagamella;31;28;23;17;12;14;15;13;19;14;19;14;15;15;20;
Municipios;0967;Navalcarnero;104;99;86;68;70;71;65;60;57;56;51;55;55;50;55;
Municipios;0973;Navarredonda y San Mamés;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;0992;Navas del Rey;7;8;6;6;8;13;17;18;8;5;6;7;10;10;10;
Municipios;1006;Nuevo Baztán;9;7;8;5;-;5;5;6;6;6;8;6;5;5;10;
Municipios;1013;Olmeda de las Fuentes;5;6;6;5;7;-;-;-;7;7;8;8;10;5;10;
Municipios;1028;Orusco de Tajuña;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;
Municipios;1049;Paracuellos de Jarama;54;54;56;51;18;22;21;34;28;30;21;14;15;15;15;
Municipios;1065;Parla;172;185;197;69;41;40;46;44;43;44;42;47;45;55;70;
Municipios;1071;Patones;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1087;Pedrezuela;38;35;37;36;27;26;25;22;22;24;22;24;25;20;15;
Municipios;1090;Pelayos de la Presa;-;-;-;-;-;-;-;-;-;6;-;5;5;5;15;
Municipios;1104;Perales de Tajuña;12;8;7;12;12;10;10;13;11;13;10;13;15;10;10;
Municipios;1111;Pezuela de las Torres;19;18;16;17;17;18;18;17;16;18;17;15;10;15;15;
Municipios;1126;Pinilla del Valle;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1132;Pinto;81;83;68;53;51;56;81;77;83;79;97;98;55;55;55;
Municipios;1147;Piñuécar-Gandullas;9;8;7;7;7;7;7;7;7;6;6;5;5;5;5;
Municipios;1150;Pozuelo de Alarcón;45;45;50;35;33;47;51;51;53;59;68;72;80;70;70;
Municipios;1163;Pozuelo del Rey;12;12;12;10;9;8;9;10;9;9;10;10;10;15;10;
Municipios;1179;Prádena del Rincón;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1185;Puebla de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;9020;Puentes Viejas;5;8;-;5;-;-;-;-;-;7;6;9;10;10;10;
Municipios;1198;Quijorna;8;8;9;11;10;12;9;9;8;9;10;15;15;15;15;
Municipios;1202;Rascafría;48;51;34;28;32;28;25;28;26;26;27;28;30;30;30;
Municipios;1219;Redueña;-;-;-;-;-;-;-;-;-;-;5;-;5;5;5;
Municipios;1224;Ribatejada;-;-;-;-;-;-;-;-;5;5;-;-;5;5;5;
Municipios;1230;Rivas-Vaciamadrid;58;49;51;38;32;32;36;37;32;38;36;39;40;35;40;
Municipios;1245;Robledillo de la Jara;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1258;Robledo de Chavela;69;59;62;52;52;56;59;63;73;67;69;64;65;75;75;
Municipios;1261;Robregordo;-;-;-;-;-;-;-;-;-;-;-;-;0;0;0;
Municipios;1277;Rozas de Madrid (Las);79;66;52;48;25;37;53;40;39;52;42;48;75;50;50;
Municipios;1283;Rozas de Puerto Real;-;-;-;-;-;-;-;-;-;8;-;-;5;5;5;
Municipios;1296;San Agustín del Guadalix;17;22;23;21;17;18;15;12;16;17;15;14;15;10;10;
Municipios;1300;San Fernando de Henares;31;35;27;25;16;15;19;14;16;12;9;11;10;10;10;
Municipios;1317;San Lorenzo de El Escorial;56;55;39;33;33;40;38;47;42;49;50;41;35;40;40;
Municipios;1338;San Martín de Valdeiglesias;22;20;17;19;25;23;24;28;23;23;22;22;20;20;20;
Municipios;1322;San Martín de la Vega;92;102;97;81;76;70;75;76;73;86;78;73;75;80;70;
Municipios;1343;San Sebastián de los Reyes;89;97;93;76;80;61;53;48;53;67;60;60;60;55;55;
Municipios;1356;Santa María de la Alameda;20;19;21;22;23;25;25;27;26;26;25;23;25;25;25;
Municipios;1369;Santorcaz;8;6;-;6;6;7;6;6;6;5;5;5;5;5;5;
Municipios;1375;Santos de la Humosa (Los);6;7;9;8;9;9;9;9;8;7;8;7;5;5;5;
Municipios;1381;Serna del Monte (La);-;5;6;6;6;6;7;6;5;6;6;6;5;5;5;
Municipios;1408;Serranillos del Valle;-;-;-;6;7;7;6;7;7;7;7;6;5;5;5;
Municipios;1415;Sevilla la Nueva;13;9;10;10;6;10;8;9;9;11;10;12;10;10;10;
Municipios;1436;Somosierra;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1441;Soto del Real;20;18;19;15;16;20;21;19;19;18;19;17;15;15;15;
Municipios;1454;Talamanca de Jarama;18;19;18;16;12;13;14;16;17;16;16;16;15;20;20;
Municipios;1467;Tielmes;26;26;24;17;16;15;16;29;20;28;16;28;20;15;15;
Municipios;1473;Titulcia;11;9;12;9;8;8;6;6;6;7;6;5;5;5;5;
Municipios;1489;Torrejón de Ardoz;176;186;174;96;51;47;50;49;59;50;45;36;80;85;95;
Municipios;1505;Torrejón de Velasco;31;30;56;52;50;49;46;49;53;59;51;49;45;45;55;
Municipios;1492;Torrejón de la Calzada;17;12;18;9;9;11;9;8;7;11;10;10;10;10;10;
Municipios;1512;Torrelaguna;24;25;20;23;22;27;27;21;22;24;22;20;20;20;15;
Municipios;1527;Torrelodones;8;9;9;-;-;-;5;8;13;11;13;15;15;15;15;
Municipios;1533;Torremocha de Jarama;8;7;7;8;8;8;8;6;7;8;7;8;10;10;10;
Municipios;1548;Torres de la Alameda;32;33;41;41;38;38;38;37;35;40;37;39;35;35;35;
Municipios;9036;Tres Cantos;41;47;41;76;72;70;90;101;78;80;85;73;80;80;85;
Municipios;1551;Valdaracete;33;19;27;18;24;15;27;29;25;25;22;20;15;15;20;
Municipios;1564;Valdeavero;23;23;25;15;17;17;19;17;17;18;20;20;20;25;25;
Municipios;1570;Valdelaguna;20;16;14;12;9;7;6;-;6;5;-;-;5;5;5;
Municipios;1586;Valdemanco;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5;
Municipios;1599;Valdemaqueda;5;-;5;-;-;-;6;5;6;6;9;5;5;5;5;
Municipios;1603;Valdemorillo;29;28;26;22;22;23;20;24;24;23;21;21;25;30;25;
Municipios;1610;Valdemoro;62;64;60;38;32;35;34;35;31;28;29;27;30;35;30;
Municipios;1625;Valdeolmos-Alalpardo;13;14;17;15;12;11;11;13;11;12;9;11;10;10;10;
Municipios;1631;Valdepiélagos;7;7;6;-;-;5;5;5;6;6;7;6;5;5;5;
Municipios;1646;Valdetorres de Jarama;11;16;14;10;12;16;15;16;13;11;22;28;30;30;35;
Municipios;1659;Valdilecha;49;39;37;32;32;34;43;39;35;36;33;35;35;30;30;
Municipios;1662;Valverde de Alcalá;-;-;5;6;-;5;-;5;-;-;-;-;5;5;5;
Municipios;1678;Velilla de San Antonio;7;16;9;14;11;10;11;12;12;10;8;6;15;10;5;
Municipios;1684;Vellón (El);16;13;13;13;14;14;14;13;11;14;13;11;10;10;10;
Municipios;1697;Venturada;-;-;6;7;-;-;-;-;-;5;5;5;5;5;10;
Municipios;1718;Villa del Prado;204;207;198;189;188;191;218;216;226;219;205;234;220;225;240;
Municipios;1701;Villaconejos;164;153;164;139;121;116;131;118;125;109;112;103;95;95;90;
Municipios;1723;Villalbilla;17;8;6;6;-;-;-;-;-;6;7;7;5;5;10;
Municipios;1739;Villamanrique de Tajo;25;26;24;20;21;22;23;21;26;28;25;24;20;20;25;
Municipios;1744;Villamanta;58;61;60;51;49;57;53;52;52;46;46;42;40;40;35;
Municipios;1757;Villamantilla;-;-;-;-;-;-;5;5;6;8;7;7;10;5;5;
Municipios;1782;Villanueva de Perales;7;8;8;10;7;8;7;7;9;10;12;12;10;10;15;
Municipios;1760;Villanueva de la Cañada;33;41;40;44;38;45;48;38;33;32;34;34;30;35;35;
Municipios;1776;Villanueva del Pardillo;66;66;57;70;66;50;54;45;48;42;43;30;15;15;15;
Municipios;1795;Villar del Olmo;8;5;7;7;5;-;-;7;5;6;6;5;5;5;5;
Municipios;1809;Villarejo de Salvanés;69;78;72;59;62;60;68;77;67;79;74;81;65;70;75;
Municipios;1816;Villaviciosa de Odón;129;125;127;123;120;113;112;109;130;129;120;112;125;125;115;
Municipios;1821;Villavieja del Lozoya;5;5;5;-;5;5;-;-;-;5;-;-;5;5;5;
Municipios;1837;Zarzalejo;16;14;12;10;11;10;11;13;13;12;10;9;5;5;10;
Municipios;9999;Sin municipio asignado;309;147;162;487;381;469;420;488;480;494;416;498;590;540;630;
Notas;
Los datos se refieren a 31 de diciembre y el municipio es en el que se ubica  el centro de trabajo.;
;
Hasta el año 2020 "-": Dato <5. No se visualizan por secreto estadístico.;
;
A partir del año 2021: para asegurar el secreto estadístico todos los datos, excepto el total, están redondeados al múltiplo de 5 más cercano. Por esta razón, los totales no tienen por qué coincidir con la suma de su desagregación.;
