Nombre;zona_estadistica;zona_estadistica_codigo;densidad_poblacion;Cluster estadistico
Olmeda de las Fuentes;Sudeste Comunidad;8;24.49;2
Orusco de Tajuña;Sudeste Comunidad;8;66.51;2
Paracuellos de Jarama;Este Metropolitano;3;617.07;0
Parla;Sur Metropolitano;4;5317.93;3
Patones;Sierra Norte;6;16.14;2
Pedrezuela;Sierra Norte;6;223.85;2
Pelayos de la Presa;Sierra Sur;10;391.28;1
Perales de Tajuña;Sudeste Comunidad;8;64.15;2
Pezuela de las Torres;Sudeste Comunidad;8;23.54;2
Pinilla del Valle;Sierra Norte;6;8.02;2
Pinto;Sur Metropolitano;4;889.54;0
Piñuécar-Gandullas;0;0;9.75;0
Pozuelo de Alarcón;Oeste Metropolitano;5;2053.93;0
Pozuelo del Rey;Sudeste Comunidad;8;41.24;2
Prádena del Rincón;Sierra Norte;6;6.66;2
Puebla de la Sierra;Sierra Norte;6;1.8;2
Puentes Viejas;Sierra Norte;6;12.94;2
Quijorna;Sudoeste Comunidad;9;150.04;1
Rascafría;Sierra Norte;6;11.64;2
Redueña;Sierra Norte;6;23.39;2
Ribatejada;Nordeste Comunidad;7;28.53;2
Rivas-Vaciamadrid;Este Metropolitano;3;1485.57;0
Robledillo de la Jara;Sierra Norte;6;6.37;2
Robledo de Chavela;Sierra Sur;10;50.34;1
Robregordo;Sierra Norte;6;4.3;2
Rozas de Madrid (Las);Oeste Metropolitano;5;1690.16;0
Rozas de Puerto Real;Sierra Sur;10;19.53;1
San Agustín del Guadalix;Norte Metropolitano;2;358.19;0
San Fernando de Henares;Este Metropolitano;3;1002.98;0
San Lorenzo de El Escorial;Sierra Central;11;328.4;1
San Martín de Valdeiglesias;Sierra Sur;10;77.01;1
San Martín de la Vega;Sur Metropolitano;4;192.73;0
San Sebastián de los Reyes;Norte Metropolitano;2;1559.52;0
Santa María de la Alameda;Sierra Sur;10;20.01;1
Santorcaz;Sudeste Comunidad;8;33.46;2
Santos de la Humosa (Los);Sudeste Comunidad;8;79.38;2
Serna del Monte (La);Sierra Norte;6;19.2;2
Serranillos del Valle;Sudoeste Comunidad;9;353.83;1
Sevilla la Nueva;Sudoeste Comunidad;9;386.54;1
Somosierra;Sierra Norte;6;4.16;2
Soto del Real;Sierra Central;11;219.39;1
Talamanca de Jarama;Nordeste Comunidad;7;113.55;2
Tielmes;Sudeste Comunidad;8;102.71;2
Titulcia;Sudeste Comunidad;8;134.71;2
Torrejón de Ardoz;Este Metropolitano;3;4266.66;3
Torrejón de Velasco;Sudoeste Comunidad;9;90.86;1
Torrejón de la Calzada;Sudoeste Comunidad;9;1137.12;1
Torrelaguna;Sierra Norte;6;114.74;2
Torrelodones;Oeste Metropolitano;5;1157.43;0
Torremocha de Jarama;Sierra Norte;6;60.47;2
Torres de la Alameda;Sudeste Comunidad;8;177.86;2
Tres Cantos;Norte Metropolitano;2;1352.85;0
Valdaracete;Sudeste Comunidad;8;10.07;2
Valdeavero;Nordeste Comunidad;7;94.71;2
Valdelaguna;Sudeste Comunidad;8;24.69;2
Valdemanco;Sierra Norte;6;60.28;2
Valdemaqueda;Sierra Sur;10;15.83;1
Valdemorillo;Sierra Central;11;145.24;1
Valdemoro;Sur Metropolitano;4;1270.53;0
Valdeolmos-Alalpardo;Nordeste Comunidad;7;175.3;2
Valdepiélagos;Nordeste Comunidad;7;35.54;2
Valdetorres de Jarama;Nordeste Comunidad;7;142.44;2
Valdilecha;Sudeste Comunidad;8;75.06;2
Valverde de Alcalá;Sudeste Comunidad;8;38.98;2
Velilla de San Antonio;Este Metropolitano;3;930.46;0
Vellón (El);Sierra Norte;6;65.68;2
Venturada;Sierra Norte;6;250.73;2
Villa del Prado;Sudoeste Comunidad;9;93.82;1
Villaconejos;Sudeste Comunidad;8;104.9;2
Villalbilla;Sudeste Comunidad;8;483.87;2
Villamanrique de Tajo;Sudeste Comunidad;8;27.19;2
Villamanta;Sudoeste Comunidad;9;43.98;1
Villamantilla;Sudoeste Comunidad;9;66.17;1
Villanueva de Perales;Sudoeste Comunidad;9;54.5;1
Villanueva de la Cañada;Oeste Metropolitano;5;674.76;0
Villanueva del Pardillo;Sierra Central;11;694.38;1
Villar del Olmo;Sudeste Comunidad;8;81.15;2
Villarejo de Salvanés;Sudeste Comunidad;8;64.79;2
Villaviciosa de Odón;Oeste Metropolitano;5;420.84;2
Villavieja del Lozoya;Sierra Norte;6;13.6;2
Zarzalejo;Sierra Sur;10;89.3;1
