Mercado de trabajo.Gestión del empleo.Paro registrado.Paro registrado por actividad.Total. Parados registrados en las oficinas de empleo en industria. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0719;Horcajuelo de la Sierra;1;0;0;0;0;1;2;0;0;0;0;0;1;0;0;
Municipios;0724;Hoyo de Manzanares;11;18;28;27;20;17;13;15;6;11;14;11;12;14;13;
Municipios;0730;Humanes de Madrid;281;338;299;324;351;303;233;200;169;151;153;138;147;123;108;
Municipios;0745;Leganés;1479;1530;1454;1609;1711;1540;1309;1093;909;778;701;731;810;670;571;
Municipios;0758;Loeches;115;131;115;137;129;125;94;95;75;77;75;58;66;56;59;
Municipios;0761;Lozoya;3;1;1;2;1;1;0;1;2;1;1;1;3;3;1;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;11;9;5;4;4;3;5;4;2;3;2;7;4;1;0;
Municipios;0783;Madarcos;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;0796;Madrid;13592;15538;14506;15572;16681;15214;13358;11536;9818;8753;7773;7619;8642;6892;6318;
Municipios;0800;Majadahonda;127;126;125;133;166;148;131;117;96;103;88;79;114;90;87;
Municipios;0822;Manzanares el Real;26;26;38;44;38;31;28;26;24;18;22;20;24;22;17;
Municipios;0838;Meco;191;165;152;177;188;175;149;146;118;93;115;113;127;94;78;
Municipios;0843;Mejorada del Campo;364;308;240;282;315;279;223;184;148;167;160;154;180;165;133;
Municipios;0856;Miraflores de la Sierra;23;18;27;31;26;27;32;21;22;15;14;6;17;20;14;
Municipios;0869;Molar (El);50;57;50;61;70;64;55;43;37;31;19;31;54;36;33;
Municipios;0875;Molinos (Los);8;16;9;17;19;13;11;12;9;11;10;8;7;5;6;
Municipios;0881;Montejo de la Sierra;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;
Municipios;0894;Moraleja de Enmedio;61;62;57;67;75;75;56;45;38;32;35;25;36;32;33;
Municipios;0908;Moralzarzal;37;47;31;45;47;45;37;30;34;32;27;29;32;25;26;
Municipios;0915;Morata de Tajuña;120;158;124;173;172;161;132;105;90;87;67;76;78;67;46;
Municipios;0920;Móstoles;2056;2167;1994;2069;2278;2052;1703;1424;1242;1057;921;915;1016;831;664;
Municipios;0936;Navacerrada;4;6;11;11;8;11;8;9;4;5;1;4;6;4;4;
Municipios;0941;Navalafuente;9;9;8;9;8;7;8;10;7;8;5;5;5;3;3;
Municipios;0954;Navalagamella;4;8;3;2;4;4;5;3;1;7;3;6;4;5;10;
Municipios;0967;Navalcarnero;231;277;250;267;303;292;235;212;166;139;122;131;145;119;99;
Municipios;0973;Navarredonda y San Mamés;0;0;0;0;1;1;2;0;0;0;1;2;1;1;1;
Municipios;0992;Navas del Rey;11;17;19;25;20;13;18;20;13;11;9;11;10;7;10;
Municipios;1006;Nuevo Baztán;57;57;52;53;57;62;58;49;32;34;49;56;63;37;41;
Municipios;1013;Olmeda de las Fuentes;2;1;2;2;1;1;3;3;2;3;1;0;0;0;2;
Municipios;1028;Orusco de Tajuña;16;17;11;16;18;17;13;8;10;6;8;9;12;7;5;
Municipios;1049;Paracuellos de Jarama;74;83;79;106;99;98;99;70;60;72;59;58;78;62;56;
Municipios;1065;Parla;1475;1504;1422;1575;1726;1596;1302;1140;925;797;691;748;818;651;552;
Municipios;1071;Patones;2;0;1;1;2;1;2;4;2;2;3;0;1;1;2;
Municipios;1087;Pedrezuela;28;27;21;21;29;22;29;26;23;21;20;16;22;26;19;
Municipios;1090;Pelayos de la Presa;12;13;13;20;23;19;21;19;22;19;14;12;14;12;12;
Municipios;1104;Perales de Tajuña;44;56;59;60;56;65;54;51;42;42;34;35;38;32;34;
Municipios;1111;Pezuela de las Torres;7;7;9;9;9;16;8;3;4;3;1;2;6;2;5;
Municipios;1126;Pinilla del Valle;0;0;1;1;1;2;1;3;1;1;1;2;1;1;1;
Municipios;1132;Pinto;573;593;536;636;778;678;568;474;359;343;306;358;399;321;285;
Municipios;1147;Piñuécar-Gandullas;0;1;2;0;0;1;2;1;0;0;0;0;1;0;0;
Municipios;1150;Pozuelo de Alarcón;120;114;116;150;176;161;144;122;121;109;103;107;108;104;86;
Municipios;1163;Pozuelo del Rey;10;16;14;19;16;19;17;16;14;14;9;11;13;9;5;
Municipios;1179;Prádena del Rincón;1;0;0;0;0;0;0;0;0;1;1;0;0;2;1;
Municipios;1185;Puebla de la Sierra;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;1;2;2;1;1;2;1;4;1;1;1;0;0;0;0;
Municipios;1198;Quijorna;9;13;14;13;14;11;15;13;9;7;7;6;9;9;6;
Municipios;1202;Rascafría;3;1;3;4;5;6;4;3;4;2;5;4;4;6;5;
Municipios;1219;Redueña;0;1;3;0;0;0;1;0;0;2;2;2;3;2;2;
Municipios;1224;Ribatejada;9;7;7;6;7;7;6;4;3;2;0;0;1;2;1;
Municipios;1230;Rivas-Vaciamadrid;274;252;251;283;336;332;301;279;248;245;220;211;272;217;203;
Municipios;1245;Robledillo de la Jara;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;8;13;9;4;6;5;8;6;14;15;11;5;13;14;11;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);158;159;141;169;186;168;177;168;134;131;124;117;119;95;99;
Municipios;1283;Rozas de Puerto Real;0;0;1;2;3;1;3;3;0;0;3;0;1;1;3;
Municipios;1296;San Agustín del Guadalix;50;63;68;68;101;77;69;44;38;38;43;41;62;42;30;
Municipios;1300;San Fernando de Henares;302;280;252;310;297;323;294;214;174;162;141;142;188;168;137;
Municipios;1317;San Lorenzo de El Escorial;35;42;48;43;39;51;33;23;26;31;18;20;29;23;20;
Municipios;1338;San Martín de Valdeiglesias;42;58;45;43;60;48;44;37;28;31;26;26;36;24;18;
Municipios;1322;San Martín de la Vega;166;181;167;188;210;176;164;150;134;117;96;86;120;82;86;
Municipios;1343;San Sebastián de los Reyes;407;506;466;510;516;494;465;407;342;312;250;251;281;212;193;
Municipios;1356;Santa María de la Alameda;2;3;7;12;5;5;9;5;6;5;3;4;5;4;7;
Municipios;1369;Santorcaz;17;8;7;11;10;12;7;10;9;6;5;5;5;2;3;
Municipios;1375;Santos de la Humosa (Los);23;22;15;25;21;26;16;18;12;11;16;13;22;14;11;
Municipios;1381;Serna del Monte (La);0;0;0;0;0;1;2;1;0;0;0;0;0;1;0;
Municipios;1408;Serranillos del Valle;32;36;33;41;48;41;39;36;30;25;29;26;28;19;23;
Municipios;1415;Sevilla la Nueva;40;49;57;57;58;52;54;37;40;25;28;19;29;24;19;
Municipios;1436;Somosierra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;27;32;31;36;39;29;32;30;31;20;24;17;25;20;16;
Municipios;1454;Talamanca de Jarama;27;30;29;32;29;18;25;22;17;14;13;9;14;9;10;
Municipios;1467;Tielmes;29;35;47;52;69;59;40;37;28;23;24;27;28;31;23;
Municipios;1473;Titulcia;13;19;16;24;15;16;12;10;13;8;7;3;6;7;7;
Municipios;1489;Torrejón de Ardoz;1509;1552;1375;1498;1680;1548;1321;1174;921;839;847;815;977;800;684;
Municipios;1505;Torrejón de Velasco;33;44;43;46;54;59;53;41;31;27;19;21;27;17;11;
Municipios;1492;Torrejón de la Calzada;70;67;77;82;98;76;65;53;51;40;39;40;54;44;37;
Municipios;1512;Torrelaguna;40;40;32;41;36;37;32;28;25;19;15;14;13;11;17;
Municipios;1527;Torrelodones;47;55;53;49;54;41;38;30;34;36;28;26;37;31;32;
Municipios;1533;Torremocha de Jarama;1;8;8;4;4;5;5;2;1;4;2;4;3;1;3;
Municipios;1548;Torres de la Alameda;150;139;125;139;140;141;122;123;93;85;81;82;95;66;55;
Municipios;9036;Tres Cantos;125;130;119;110;134;112;120;101;99;99;103;96;94;68;47;
