Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por grupo de cotización. Afiliados a la Seguridad Social del grupo de cotización de trabajadores menores de dieciocho años residentes. Unidad: Número. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1013;Olmeda de las Fuentes;0;0;0;0;0;0;0;0;0;0;
Municipios;1028;Orusco de Tajuña;0;0;0;0;0;0;0;0;0;0;
Municipios;1049;Paracuellos de Jarama;0;1;1;1;1;1;2;1;1;1;
Municipios;1065;Parla;20;13;11;9;11;7;6;6;5;6;
Municipios;1071;Patones;0;0;0;0;0;0;0;0;0;0;
Municipios;1087;Pedrezuela;1;1;1;1;0;2;1;1;1;1;
Municipios;1090;Pelayos de la Presa;0;0;0;0;0;0;0;0;1;0;
Municipios;1104;Perales de Tajuña;1;1;1;1;0;0;0;0;0;0;
Municipios;1111;Pezuela de las Torres;0;0;0;0;0;0;0;1;0;0;
Municipios;1126;Pinilla del Valle;0;0;0;0;0;0;0;0;0;0;
Municipios;1132;Pinto;10;8;3;1;5;7;2;0;3;3;
Municipios;1147;Piñuécar-Gandullas;0;0;0;0;0;0;0;0;0;0;
Municipios;1150;Pozuelo de Alarcón;3;2;2;1;0;1;1;1;2;4;
Municipios;1163;Pozuelo del Rey;0;0;0;0;1;0;0;0;0;0;
Municipios;1179;Prádena del Rincón;0;0;0;0;0;0;0;0;0;0;
Municipios;1185;Puebla de la Sierra;0;0;0;0;0;0;0;0;0;0;
Municipios;9020;Puentes Viejas;0;0;0;0;0;0;0;0;0;0;
Municipios;1198;Quijorna;0;0;0;0;1;1;2;0;0;0;
Municipios;1202;Rascafría;0;0;0;0;0;0;0;0;0;0;
Municipios;1219;Redueña;0;0;0;0;0;0;0;0;0;0;
Municipios;1224;Ribatejada;0;0;0;0;0;0;0;0;0;0;
Municipios;1230;Rivas-Vaciamadrid;5;6;4;6;6;11;5;4;5;6;
Municipios;1245;Robledillo de la Jara;0;0;0;0;0;0;0;0;0;0;
Municipios;1258;Robledo de Chavela;0;0;0;0;0;1;0;1;0;1;
Municipios;1261;Robregordo;0;0;0;0;0;0;0;0;0;0;
Municipios;1277;Rozas de Madrid (Las);1;1;0;0;3;1;2;3;1;4;
Municipios;1283;Rozas de Puerto Real;0;0;0;0;0;0;0;0;0;0;
Municipios;1296;San Agustín del Guadalix;2;1;0;0;0;0;0;0;0;0;
Municipios;1300;San Fernando de Henares;5;3;2;3;2;2;3;1;4;3;
Municipios;1317;San Lorenzo de El Escorial;7;2;4;7;3;4;7;3;1;2;
Municipios;1338;San Martín de Valdeiglesias;2;2;0;0;1;1;2;2;1;1;
Municipios;1322;San Martín de la Vega;0;0;1;0;1;0;0;1;2;0;
Municipios;1343;San Sebastián de los Reyes;10;6;6;5;6;3;7;2;4;3;
Municipios;1356;Santa María de la Alameda;1;1;1;1;0;1;1;0;0;0;
Municipios;1369;Santorcaz;0;0;0;0;0;0;0;0;0;0;
Municipios;1375;Santos de la Humosa (Los);2;1;0;1;0;0;0;0;0;0;
Municipios;1381;Serna del Monte (La);0;0;0;0;0;0;0;0;0;0;
Municipios;1408;Serranillos del Valle;2;1;0;0;0;1;0;0;0;0;
Municipios;1415;Sevilla la Nueva;0;0;0;2;1;1;1;1;1;1;
Municipios;1436;Somosierra;0;0;0;0;0;0;0;0;0;0;
Municipios;1441;Soto del Real;0;1;0;0;0;0;0;0;0;0;
Municipios;1454;Talamanca de Jarama;0;0;0;0;0;0;0;0;0;0;
Municipios;1467;Tielmes;0;3;0;3;1;3;1;0;0;0;
Municipios;1473;Titulcia;0;0;0;0;0;0;0;0;0;0;
Municipios;1489;Torrejón de Ardoz;20;19;8;12;8;13;7;3;7;3;
Municipios;1505;Torrejón de Velasco;0;1;0;0;0;0;0;0;0;1;
Municipios;1492;Torrejón de la Calzada;0;2;2;1;1;0;3;0;2;0;
Municipios;1512;Torrelaguna;0;0;0;0;0;0;0;0;0;0;
Municipios;1527;Torrelodones;1;0;1;1;0;0;0;0;0;0;
Municipios;1533;Torremocha de Jarama;0;0;0;1;0;1;0;1;1;0;
