Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1684;Vellón (El);60;62;62;60
Municipios;1697;Venturada;62;68;79;92
Municipios;1718;Villa del Prado;253;233;257;284
Municipios;1701;Villaconejos;194;201;202;187
Municipios;1723;Villalbilla;1216;1246;1295;1415
Municipios;1739;Villamanrique de Tajo;20;18;41;33
Municipios;1744;Villamanta;179;156;155;161
Municipios;1757;Villamantilla;81;73;96;94
Municipios;1782;Villanueva de Perales;86;68;64;82
Municipios;1760;Villanueva de la Cañada;733;660;911;913
Municipios;1776;Villanueva del Pardillo;709;737;722;751
Municipios;1795;Villar del Olmo;126;148;140;167
Municipios;1809;Villarejo de Salvanés;2168;2262;2384;2178
Municipios;1816;Villaviciosa de Odón;1860;1834;1790;1954
Municipios;1821;Villavieja del Lozoya;12;14;12;12
Municipios;1837;Zarzalejo;391;366;374;354
