Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de servicios a empresas y financieros. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1028;Orusco de Tajuña;8;6;8;6;8;8;10;11;7;8;9;11;15;15;20;
Municipios;1049;Paracuellos de Jarama;573;803;696;730;738;819;900;1040;975;1041;1041;992;980;1035;950;
Municipios;1065;Parla;1554;1576;1836;2070;1903;2111;2309;2457;2489;2546;2677;2792;2360;2510;2525;
Municipios;1071;Patones;-;-;6;5;5;-;5;6;6;6;6;5;5;5;5;
Municipios;1087;Pedrezuela;85;84;100;106;120;126;126;127;145;148;166;159;140;125;135;
Municipios;1090;Pelayos de la Presa;33;28;27;26;21;25;35;32;42;47;41;45;55;65;65;
Municipios;1104;Perales de Tajuña;26;65;22;29;27;30;43;43;50;50;63;62;70;80;80;
Municipios;1111;Pezuela de las Torres;-;11;14;13;12;11;-;-;-;-;5;7;10;5;5;
Municipios;1126;Pinilla del Valle;-;-;-;-;-;-;-;-;-;-;-;-;5;5;0;
Municipios;1132;Pinto;1707;1695;1589;1558;1519;10801;1631;1668;2102;2129;2266;2261;2290;2270;2260;
Municipios;1147;Piñuécar-Gandullas;-;5;-;-;-;-;-;-;-;-;-;-;5;5;5;
Municipios;1150;Pozuelo de Alarcón;29210;33556;31944;33430;34674;36862;42216;45176;42801;43031;46026;44475;43925;45595;45985;
Municipios;1163;Pozuelo del Rey;17;18;35;23;19;24;22;26;26;26;26;26;25;30;30;
Municipios;1179;Prádena del Rincón;-;-;-;-;-;-;-;-;-;-;-;-;0;0;5;
Municipios;1185;Puebla de la Sierra;-;-;-;-;-;-;-;-;-;-;-;-;0;5;5;
Municipios;9020;Puentes Viejas;13;7;5;-;-;-;-;-;-;-;6;5;5;10;10;
Municipios;1198;Quijorna;32;32;44;41;44;42;43;58;44;54;53;52;60;55;60;
Municipios;1202;Rascafría;8;15;11;11;15;21;13;27;17;22;27;28;30;25;30;
Municipios;1219;Redueña;5;5;5;7;7;7;8;8;6;5;7;8;5;5;5;
Municipios;1224;Ribatejada;5;8;7;6;6;6;7;9;8;11;11;13;15;15;20;
Municipios;1230;Rivas-Vaciamadrid;4045;4274;4256;4205;3488;4348;4762;5124;5523;5806;5834;6388;6710;6965;6840;
Municipios;1245;Robledillo de la Jara;-;-;-;-;-;-;-;-;-;-;-;-;5;5;0;
Municipios;1258;Robledo de Chavela;61;63;56;50;62;63;69;63;65;75;71;80;85;85;90;
Municipios;1261;Robregordo;-;-;-;-;-;-;-;-;-;-;-;-;5;0;0;
