Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por ubicación centro de trabajo.Por rama actividad. Afiliados en alta laboral a la Seguridad Social en la rama de otros servicios. Unidad: Número. Fuente: Elaboración propia a partir de los datos de la Tesorería de la Seguridad Social. Ministerio de Inclusión, Seguridad Social y Migraciones.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1338;San Martín de Valdeiglesias;581;559;550;461;454;467;519;510;517;527;519;489;515;515;535;
Municipios;1322;San Martín de la Vega;923;929;892;1012;859;856;908;888;1021;1101;1062;1026;1125;1215;1260;
Municipios;1343;San Sebastián de los Reyes;8025;7978;8262;8388;9212;9914;9117;9232;9761;9614;9802;9067;9945;9915;10660;
Municipios;1356;Santa María de la Alameda;67;62;71;38;34;45;43;50;42;44;57;59;60;55;50;
Municipios;1369;Santorcaz;17;15;15;11;9;12;17;14;15;15;15;20;50;40;25;
Municipios;1375;Santos de la Humosa (Los);59;54;54;54;63;62;54;58;55;62;60;58;65;60;75;
Municipios;1381;Serna del Monte (La);8;11;9;-;6;6;7;6;7;8;7;8;15;10;15;
Municipios;1408;Serranillos del Valle;279;290;262;251;245;251;264;276;323;339;327;325;330;400;310;
Municipios;1415;Sevilla la Nueva;518;476;465;459;493;558;539;583;714;760;787;754;840;1015;1025;
Municipios;1436;Somosierra;6;7;6;-;-;-;-;6;5;15;8;13;10;15;30;
Municipios;1441;Soto del Real;972;981;955;986;970;1024;1049;1075;1103;1122;1090;1023;1090;1170;1390;
Municipios;1454;Talamanca de Jarama;148;135;143;132;139;142;143;160;151;157;161;134;140;155;140;
Municipios;1467;Tielmes;136;134;167;144;149;158;192;192;185;151;142;155;155;160;155;
Municipios;1473;Titulcia;37;36;37;34;33;48;42;47;40;47;49;61;60;80;55;
Municipios;1489;Torrejón de Ardoz;5047;5017;4960;5569;5776;5920;6280;6597;6819;6665;7088;6742;7435;7910;7860;
Municipios;1505;Torrejón de Velasco;167;170;170;141;139;163;165;173;176;191;183;209;205;225;230;
Municipios;1492;Torrejón de la Calzada;421;503;454;439;472;529;556;553;586;609;630;589;610;645;640;
Municipios;1512;Torrelaguna;172;193;178;170;155;163;174;168;161;172;203;177;210;210;205;
Municipios;1527;Torrelodones;2615;2640;2664;2862;3209;2947;3057;3065;3170;3328;3257;3169;3145;3140;3275;
Municipios;1533;Torremocha de Jarama;201;192;187;156;150;148;147;163;181;185;181;172;190;210;190;
Municipios;1548;Torres de la Alameda;615;754;597;556;559;659;702;728;671;623;639;597;675;675;620;
Municipios;9036;Tres Cantos;3474;3354;3389;3696;3673;3981;3577;3741;3868;4027;4033;3771;3995;4105;4275;
Municipios;1551;Valdaracete;19;20;18;15;17;16;14;16;15;16;19;20;20;25;25;
Municipios;1564;Valdeavero;33;64;33;29;23;28;35;48;40;41;43;44;40;50;50;
Municipios;1570;Valdelaguna;7;12;15;15;17;17;26;27;26;21;21;25;25;45;30;
Municipios;1586;Valdemanco;34;31;34;31;33;32;38;33;31;35;32;33;35;35;40;
Municipios;1599;Valdemaqueda;24;24;26;24;17;27;24;25;20;29;30;32;45;35;30;
