Serie;Codigo_municipio;Nombre;distancia_capital;municipio_codigo_ine;zona_estadistica_codigo;zona_estadistica;superficie_km2;afiliados_ss_primario;afiliados_ss_secundario;afiliados_ss_terciario;contratos_primario;contratos_secundario;contratos_terciario;empleo_primario;empleo_secundario;empleo_terciario;crecimiento_relativo_poblacion;densidad_poblacion;edad_media_total;grado_envejecimiento_mayores_45;grado_envejecimiento_mayores_55;grado_envejecimiento_mayores_65;grado_envejecimiento_mayores_75;grado_envejecimiento_mayores_85;grado_juventud_menores_15;grado_juventud_menores_25;grado_juventud_menores_35;grado_juventud_menores_45;variacion_relativa_paro_registrado;sup_edif_indust;sup_total_indust;sup_edif_terc_indust;sup_total_terc_indust;paro_registrado_entre_25_44;paro_registrado_mayores_25;paro_registrado_mayores_45;paro_registrado_menores_25;paro_registrado_por_100_habitantes;paro_registrado_total;porcentaje_parados_mayores_25;porcentaje_parados_menores_25;poblacion_censada_0a4;poblacion_censada_10a14;poblacion_censada_15a19;poblacion_censada_20a24;poblacion_censada_25a29;poblacion_censada_30a34;poblacion_censada_35a39;poblacion_censada_40a44;poblacion_censada_45a49;poblacion_censada_50a54;poblacion_censada_55a59;poblacion_censada_5a9;poblacion_censada_60a64;poblacion_censada_65a69;poblacion_censada_70a74;poblacion_censada_75a79;poblacion_censada_80a84;poblacion_censada_85a89;poblacion_censada_90a94;poblacion_censada_95a99;poblacion_censada_mayores_100;poblacion_censada_total;num_explotaciones_agricolas_con_SAU;num_explotaciones_agricolas_con_SAU_huertos_consumo_propio;num_explotaciones_agricolas_con_SAU_tierra_pastos;superficie_explotaciones_agricolas_con_SAU;sup_explotaciones_agricolas_con_SAU_huertos_consumo_propio;sup_explotaciones_agricolas_con_SAU_tierra_pastos;unidades_productivas_primario;unidades_productivas_secundario;unidades_productivas_terciario
Municipios;0493;Coslada;12.887;280493;03;Este Metropolitano;12.02;20.0;13820.0;106600.0;68.0;12740.0;175400.0;50.0;16790.0;147204.0;-0.54;6662.18;45.33;52.71;36.93;22.75;8.35;1.90;12.31;21.58;32.65;47.29;-9.00;0;0;0;0;1395;3680;2285;254;4.91;3934;93.54;6.46;2689;3861;3765;3659;4036;4841;5374;6356;6984;5668;5320;3318;6043;6091;5448;3519;1650;946;452;112;14;80146;0;0;0;0;0;0;32.0;3690.0;25814.0
Municipios;0506;Cubas de la Sagra;36.177;280506;09;Sudoeste Comunidad;12.89;20.0;1300.0;5420.0;20.0;1088.0;23172.0;18.0;1522.0;5098.0;1.72;527.67;38.41;41.75;21.80;11.21;5.52;2.48;20.36;33.14;40.81;58.25;3.79;0;0;0;0;96;240;144;34;4.02;274;87.59;12.41;323;583;549;321;221;301;451;736;800;558;424;480;297;220;167;117;90;81;68;17;3;6807;9;0;2;248.23;0.00;8.45;14.0;426.0;1834.0
Municipios;0534;Daganzo de Arriba;36.597;280534;07;Nordeste Comunidad;43.40;40.0;2720.0;12810.0;0.0;7876.0;20508.0;42.0;5808.0;15360.0;-0.30;244.04;38.36;45.33;21.51;8.57;3.57;1.24;18.09;33.68;41.40;54.67;-6.37;0;0;0;0;105;414;309;42;4.30;456;90.79;9.21;423;897;941;711;405;414;559;848;1226;1299;846;598;526;314;216;161;86;89;35;5;2;10601;30;3;3;4232.89;0.05;323.84;38.0;686.0;3742.0
Municipios;0549;Escorial (El);51.323;280549;11;Sierra Central;68.81;70.0;700.0;11990.0;68.0;388.0;14240.0;66.0;796.0;14904.0;1.46;246.70;44.39;52.10;36.05;19.51;8.94;2.99;13.29;24.51;34.68;47.90;1.74;0;0;0;0;243;717;474;43;4.50;760;94.34;5.66;603;881;952;952;848;879;993;1251;1390;1336;1480;773;1327;1002;794;637;373;289;167;46;5;16978;37;1;36;3485.26;0.01;3482.38;62.0;530.0;6042.0
Municipios;0552;Estremera;72.696;280552;08;Sudeste Comunidad;79.13;50.0;120.0;4460.0;1472.0;152.0;3568.0;92.0;148.0;5088.0;2.91;18.30;46.56;53.69;37.06;23.81;13.53;6.56;12.97;22.50;32.37;46.31;4.44;0;0;0;0;41;91;50;3;6.47;94;96.81;3.19;55;79;67;71;74;69;85;117;118;123;91;54;101;83;66;52;49;49;34;11;1;1449;126;9;9;5375.96;0.20;96.57;48.0;58.0;508.0
Municipios;0565;Fresnedillas de la Oliva;69.753;280565;10;Sierra Sur;28.34;20.0;90.0;790.0;4.0;96.0;1124.0;10.0;140.0;1210.0;1.01;63.30;40.15;43.64;27.63;13.79;6.39;1.83;18.45;29.52;39.86;56.36;-6.20;0;0;0;0;45;114;69;7;6.76;121;94.21;5.79;90;143;88;111;87;99;128;169;153;135;125;99;124;78;55;57;25;13;17;3;0;1799;18;1;18;908.95;0.05;907.90;8.0;64.0;492.0
Municipios;0571;Fresno de Torote;46.990;280571;07;Nordeste Comunidad;31.75;10.0;240.0;1090.0;4.0;96.0;724.0;12.0;222.0;1228.0;2.87;78.92;40.60;45.93;25.28;14.35;7.10;1.59;17.98;28.71;37.28;54.07;-19.35;0;0;0;0;48;113;65;12;4.96;125;90.40;9.60;104;190;158;111;91;124;183;238;260;258;166;157;108;98;84;98;40;26;12;2;0;2508;9;1;2;2073.00;0.05;110.43;10.0;112.0;524.0
Municipios;0587;Fuenlabrada;25.824;280587;04;Sur Metropolitano;39.18;180.0;28050.0;162400.0;220.0;27316.0;219056.0;256.0;46398.0;211476.0;-0.49;4827.52;42.46;48.22;31.85;17.21;5.08;1.37;13.84;25.54;36.46;51.78;-7.80;67.81;40.68;409.31;490.91;3997;10083;6086;1108;5.93;11191;90.10;9.90;6885;10444;11191;10955;9761;10896;13140;15864;15603;15388;14159;8873;13560;14234;8710;4716;2314;1578;767;222;27;189287;24;6;3;1332.18;0.30;388.67;186.0;9692.0;59176.0
Municipios;0590;Fuente el Saz de Jarama;36.187;280590;07;Nordeste Comunidad;33.15;60.0;1260.0;7030.0;24.0;1016.0;6264.0;52.0;2048.0;7974.0;3.21;218.87;41.32;46.27;28.43;14.55;6.50;2.18;14.99;27.62;38.64;53.73;-9.04;0;0;0;0;123;323;200;29;4.90;352;91.76;8.24;288;430;475;442;375;425;490;606;657;638;565;370;443;320;264;200;114;95;43;18;2;7260;21;0;4;2054.80;0.00;7.31;44.0;740.0;3132.0
Municipios;0604;Fuentidueña de Tajo;63.685;280604;08;Sudeste Comunidad;60.18;80.0;230.0;1220.0;120.0;184.0;1416.0;120.0;254.0;1676.0;0.49;37.52;44.34;50.80;34.96;20.04;8.63;3.32;13.58;23.27;34.34;49.20;-18.75;0;0;0;0;63;147;84;9;6.87;156;94.23;5.77;94;112;116;103;113;137;134;202;193;165;171;101;166;140;118;76;44;42;26;7;0;2260;57;6;1;3681.86;0.16;0.39;54.0;108.0;616.0
Municipios;0611;Galapagar;35.516;280611;05;Oeste Metropolitano;65.20;90.0;2510.0;22770.0;40.0;1812.0;30252.0;90.0;2236.0;25162.0;1.26;541.05;41.50;47.54;30.29;14.60;6.48;2.04;15.22;27.85;39.40;52.46;-3.92;0;0;0;0;545;1510;965;107;4.58;1617;93.38;6.62;1360;2155;2246;2211;2108;1970;2061;2549;3046;3045;2986;1857;2549;1653;1214;974;594;430;224;59;7;35298;18;1;18;718.95;0.02;718.93;56.0;1244.0;12802.0
Municipios;0626;Garganta de los Montes;79.318;280626;06;Sierra Norte;40.33;20.0;60.0;270.0;8.0;24.0;496.0;16.0;120.0;608.0;5.81;10.38;46.88;57.76;38.19;21.48;8.35;1.67;9.55;17.42;29.12;42.24;10.00;0;0;0;0;4;21;17;1;5.24;22;95.45;4.55;13;13;15;18;20;29;27;28;46;36;34;14;36;34;21;14;14;2;4;1;0;419;23;3;23;1815.26;0.11;1812.45;14.0;48.0;152.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;81.426;280761;06;Sierra Norte;57.69;10.0;20.0;350.0;0.0;4.0;724.0;8.0;38.0;732.0;1.31;16.03;48.04;63.40;41.49;22.42;10.05;4.64;10.82;18.56;25.77;36.60;-18.52;0;0;0;0;7;21;14;1;5.67;22;95.45;4.55;15;17;17;13;13;15;17;25;42;43;45;10;29;29;19;11;10;12;6;0;0;388;12;0;12;827.74;0.00;827.74;8.0;16.0;146.0
Municipios;0647;Gascones;80.024;280647;06;Sierra Norte;20.07;20.0;50.0;310.0;0.0;32.0;552.0;16.0;34.0;418.0;7.08;11.32;43.08;51.54;33.48;16.30;6.61;0.88;15.86;24.67;35.24;48.46;-23.08;0;0;0;0;5;9;4;1;4.37;10;90.00;10.00;8;21;10;10;11;13;19;11;21;20;22;7;17;17;5;7;6;0;2;0;0;227;10;0;10;529.46;0.00;526.31;14.0;22.0;118.0
Municipios;0650;Getafe;17.416;280650;04;Sur Metropolitano;78.59;110.0;49850.0;254360.0;444.0;41600.0;499100.0;134.0;76900.0;316470.0;1.30;2383.09;43.09;48.48;30.92;19.51;10.12;2.35;15.34;25.34;35.80;51.52;-6.48;334.13;118.42;1702.33;1074.3;3352;8413;5061;753;4.93;9166;91.78;8.22;8378;10242;9680;9071;9012;10601;13397;16097;17731;15189;11629;10142;9774;8266;9340;9591;4979;2937;1149;274;46;187525;29;0;6;2713.24;0.00;342.07;112.0;6562.0;52740.0
Municipios;0663;Griñón;33.337;280663;09;Sudoeste Comunidad;17.09;50.0;4410.0;22130.0;432.0;4892.0;19588.0;80.0;6936.0;22402.0;0.89;619.82;41.93;47.85;29.80;16.31;6.96;2.89;15.72;28.38;37.65;52.15;-10.99;0;0;0;0;140;369;229;36;4.02;405;91.11;8.89;368;729;722;620;496;486;623;914;1000;914;754;569;675;576;415;264;168;162;104;34;6;10599;13;2;1;1458.62;0.04;743.95;34.0;1090.0;5058.0
Municipios;0679;Guadalix de la Sierra;58.847;280679;06;Sierra Norte;60.26;120.0;510.0;3310.0;64.0;540.0;5756.0;112.0;576.0;5070.0;1.99;112.97;41.77;48.32;28.86;15.12;6.91;2.25;15.35;27.39;37.55;51.68;-6.42;0;0;0;0;130;332;202;18;5.14;350;94.86;5.14;306;397;427;393;320;372;406;557;653;673;530;343;406;319;240;183;135;100;40;11;2;6813;68;7;68;3686.51;0.19;3646.66;84.0;340.0;2088.0
Municipios;0685;Guadarrama;50.794;280685;11;Sierra Central;57.18;40.0;1310.0;14310.0;24.0;768.0;22472.0;54.0;1420.0;17062.0;1.03;298.02;43.29;50.45;32.51;18.02;8.97;3.17;14.76;26.53;36.09;49.55;-6.68;0;0;0;0;260;670;410;57;4.26;727;92.16;7.84;625;1026;1030;975;825;806;987;1307;1524;1533;1388;865;1082;814;728;565;423;299;171;59;12;17044;43;1;43;1929.58;0.01;1929.54;44.0;628.0;5704.0
Municipios;0698;Hiruela (La);97.734;280698;06;Sierra Norte;17.16;0.0;0.0;80.0;0.0;12.0;468.0;0.0;24.0;316.0;-2.63;4.31;53.90;71.62;55.41;32.43;10.81;2.70;6.76;12.16;16.22;28.38;0.00;0;0;0;0;1;2;1;0;2.70;2;100.00;0.00;3;0;1;3;1;2;5;4;4;8;5;2;12;7;9;2;4;1;1;0;0;74;0;0;0;0;0;0;0.0;2.0;70.0
Municipios;0702;Horcajo de la Sierra-Aoslos;89.479;280702;06;Sierra Norte;21.20;20.0;40.0;190.0;20.0;32.0;724.0;12.0;38.0;538.0;17.59;11.03;44.38;50.85;32.48;20.09;5.56;1.28;13.25;19.23;31.20;49.15;-11.11;0;0;0;0;4;8;4;0;3.42;8;100.00;0.00;9;11;7;7;15;13;18;24;25;18;16;11;13;19;15;7;3;2;1;0;0;234;8;1;8;493.96;0.01;491.45;12.0;6.0;106.0
Municipios;0719;Horcajuelo de la Sierra;94.536;280719;06;Sierra Norte;23.83;10.0;10.0;100.0;0.0;0.0;600.0;6.0;38.0;312.0;-0.92;4.53;48.10;61.11;44.44;26.85;14.81;3.70;12.96;22.22;32.41;38.89;0.00;0;0;0;0;2;3;1;0;2.78;3;100.00;0.00;5;7;3;7;6;5;3;4;7;11;10;2;9;8;5;9;3;3;1;0;0;108;4;0;4;404.84;0.00;395.80;6.0;8.0;46.0
Municipios;0724;Hoyo de Manzanares;36.584;280724;05;Oeste Metropolitano;45.23;20.0;340.0;10720.0;32.0;188.0;4348.0;18.0;374.0;8068.0;1.74;198.30;42.52;49.48;32.53;15.70;6.99;2.37;14.42;26.67;38.13;50.52;-5.02;0;0;0;0;88;290;202;13;3.38;303;95.71;4.29;302;552;528;571;550;478;491;620;768;753;795;440;715;451;330;256;158;107;78;27;1;8971;13;0;13;412.25;0.00;332.15;14.0;236.0;3636.0
Municipios;0730;Humanes de Madrid;31.246;280730;04;Sur Metropolitano;19.66;50.0;11390.0;33060.0;144.0;9604.0;33780.0;48.0;21180.0;41180.0;0.36;1007.31;38.03;39.66;21.25;10.61;3.82;1.11;19.40;31.11;41.90;60.34;-7.88;98.85;118.59;499.23;1627.75;499;1053;554;116;5.87;1169;90.08;9.92;903;1705;1321;1002;972;1168;1449;2208;2171;1481;1117;1240;992;797;551;350;186;135;67;15;4;19834;21;1;3;1110.61;0.04;3.03;44.0;5266.0;11638.0
Municipios;0745;Leganés;16.847;280745;04;Sur Metropolitano;43.23;860.0;23220.0;220960.0;1304.0;21576.0;260152.0;98.0;33620.0;252952.0;1.52;4415.58;44.88;51.96;34.62;22.47;11.50;2.77;13.57;23.77;34.24;48.04;-8.90;226.59;117.47;0;0;3395;8805;5410;786;5.03;9591;91.80;8.20;6671;10297;10031;9444;9710;10280;11386;14963;18027;15102;12373;8956;10824;9237;11702;10675;5999;3534;1407;297;59;190974;9;0;2;813.65;0.00;9.49;60.0;7404.0;52856.0
Municipios;0758;Loeches;28.433;280758;08;Sudeste Comunidad;44.32;10.0;4920.0;12890.0;0.0;4164.0;13228.0;18.0;8870.0;14178.0;1.76;206.38;38.41;42.00;21.03;9.00;3.77;1.23;17.49;29.98;40.64;58.00;-7.72;0;0;0;0;149;429;280;49;5.25;478;89.75;10.25;409;632;662;481;449;527;738;851;1085;834;636;560;465;281;198;142;90;72;35;6;0;9153;7;0;1;2110.50;0.00;3.50;18.0;1030.0;3500.0
Municipios;0761;Lozoya;85.605;280761;06;Sierra Norte;57.69;10.0;50.0;600.0;0.0;92.0;3620.0;8.0;62.0;1006.0;3.50;10.73;50.20;61.51;45.57;27.86;12.88;4.19;8.21;15.46;25.12;38.49;14.29;0;0;0;0;11;30;19;2;5.15;32;93.75;6.25;16;18;22;23;26;34;41;42;46;53;59;17;51;48;45;28;26;16;6;4;0;621;22;0;21;1509.12;0.00;1506.52;8.0;34.0;266.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;68.104;289015;06;Sierra Norte;51.43;20.0;150.0;1770.0;20.0;116.0;3072.0;14.0;240.0;2386.0;1.03;28.62;44.43;52.61;32.38;19.35;11.07;4.48;14.53;24.44;33.40;47.39;14.93;0;0;0;0;27;73;46;4;5.19;77;94.81;5.19;49;95;72;74;65;67;86;120;169;129;109;70;83;72;50;59;38;36;25;4;1;1473;24;4;23;1513.26;0.12;1511.21;14.0;96.0;600.0
Municipios;0783;Madarcos;92.498;280783;06;Sierra Norte;8.55;10.0;10.0;80.0;0.0;260.0;4036.0;2.0;28.0;252.0;14.29;8.41;49.27;61.11;43.06;27.78;15.28;5.56;9.72;15.28;26.39;38.89;0.00;0;0;0;0;0;1;1;0;1.39;1;100.00;0.00;2;4;4;0;7;1;5;4;7;6;9;1;2;6;3;1;6;3;1;0;0;72;5;0;5;945.25;0.00;908.09;2.0;6.0;38.0
Municipios;0796;Madrid;0.000;0;0;0;0;3940.0;361210.0;8899450.0;12324.0;425364.0;10423272.0;6354.0;435716.0;8537050.0;2.24;5521.13;44.35;49.16;33.68;20.18;10.93;4.03;12.43;22.45;36.47;50.84;-6.37;98.85;118.59;499.23;1627.75;54392;138992;84600;10271;4.48;149263;93.12;6.88;124448;150484;154206;180665;228310;239794;231133;248990;265700;251449;241670;140109;209042;165765;143320;132034;98336;80430;41780;11079;1432;3340176;109;3;12;2030.10;0.13;71.69;3078.0;86066.0;1646976.0
Municipios;0800;Majadahonda;19.700;280800;05;Oeste Metropolitano;38.47;90.0;4290.0;130940.0;180.0;3256.0;127196.0;136.0;4848.0;132828.0;0.61;1892.26;42.06;48.14;31.40;18.14;8.56;2.21;15.84;29.08;39.31;51.86;-8.34;11.36;27.27;0;0;612;1912;1300;65;2.73;1977;96.71;3.29;2940;4746;5061;4583;3828;3620;4122;5024;6183;6005;5332;3850;4324;3531;3453;2958;1660;983;486;128;16;72833;8;0;4;1546.76;0.00;680.92;84.0;1506.0;40526.0
Municipios;0822;Manzanares el Real;51.894;280822;11;Sierra Central;128.31;40.0;450.0;5260.0;16.0;220.0;5148.0;38.0;442.0;5508.0;1.26;73.52;41.69;49.29;27.51;13.75;6.26;1.91;16.21;26.84;35.17;50.71;-0.23;0;0;0;0;141;409;268;24;4.61;433;94.46;5.54;366;594;569;430;362;421;577;883;1099;947;727;563;566;375;329;234;175;108;54;17;0;9396;19;1;19;5824.04;0.03;5495.23;32.0;316.0;2876.0
Municipios;0838;Meco;48.983;280838;07;Nordeste Comunidad;34.93;90.0;3970.0;26130.0;48.0;7092.0;82420.0;82.0;5688.0;28570.0;1.66;442.09;38.67;42.32;23.12;9.37;3.37;1.07;17.18;29.66;41.56;57.68;-6.66;62.26;46.69;0;0;271;678;407;65;4.82;743;91.25;8.75;684;1058;1058;870;865;974;1095;1396;1587;1380;1206;912;918;566;361;236;120;109;47;9;0;15451;33;0;2;3819.25;0.00;1656.81;26.0;1010.0;4708.0
Municipios;0843;Mejorada del Campo;21.041;280843;03;Este Metropolitano;17.93;10.0;5170.0;21910.0;0.0;3692.0;21636.0;10.0;8482.0;23234.0;1.50;1344.46;40.94;44.90;28.00;14.57;4.80;1.45;15.34;27.06;38.20;55.10;-9.18;0;0;0;0;505;1198;693;128;5.46;1326;90.35;9.65;935;1505;1497;1332;1285;1405;1737;2340;2216;1863;1745;1261;1497;1407;950;564;245;224;95;26;4;24133;17;1;3;540.05;0.04;65.64;10.0;2320.0;7828.0
Municipios;0856;Miraflores de la Sierra;55.446;280856;11;Sierra Central;56.40;50.0;400.0;4030.0;52.0;108.0;5712.0;42.0;462.0;4596.0;4.22;123.83;42.42;49.33;30.24;14.69;6.84;1.96;14.48;25.74;35.71;50.67;-6.56;0;0;0;0;107;332;225;24;5.13;356;93.26;6.74;247;429;432;355;314;383;443;603;690;644;584;336;503;315;234;199;142;88;45;4;0;6990;25;2;25;2539.95;0.08;2527.95;32.0;322.0;2114.0
Municipios;0869;Molar (El);43.648;280869;07;Nordeste Comunidad;50.19;50.0;470.0;4780.0;32.0;364.0;7284.0;54.0;568.0;5950.0;3.65;194.80;40.01;43.00;24.54;12.39;5.49;1.79;16.52;27.46;39.41;57.00;-1.42;0;0;0;0;182;448;266;37;4.97;485;92.37;7.63;445;624;540;530;522;647;764;956;992;814;678;547;510;371;304;217;145;102;59;13;1;9781;99;7;21;1674.35;0.26;247.00;40.0;380.0;2506.0
Municipios;0875;Molinos (Los);55.681;280875;11;Sierra Central;19.16;20.0;340.0;3270.0;8.0;132.0;2788.0;20.0;318.0;3638.0;1.81;252.45;45.32;53.12;38.06;20.07;9.85;3.35;11.09;22.95;34.99;46.88;-9.38;0;0;0;0;66;193;127;10;4.24;203;95.07;4.93;153;216;263;311;268;315;261;315;345;384;455;168;416;294;201;180;135;94;52;15;1;4842;28;1;28;771.21;0.02;771.19;18.0;226.0;1674.0
Municipios;0881;Montejo de la Sierra;87.651;280881;06;Sierra Norte;32.18;10.0;20.0;370.0;0.0;8.0;1128.0;10.0;36.0;660.0;1.61;11.77;50.74;63.59;45.12;25.86;17.15;8.18;6.86;18.21;27.44;36.41;0.00;0;0;0;0;6;11;5;0;2.89;11;100.00;0.00;2;12;20;23;21;14;12;22;32;38;41;12;32;17;16;18;16;15;10;6;0;379;12;2;11;626.80;0.04;623.53;10.0;14.0;126.0
Municipios;0894;Moraleja de Enmedio;27.170;280894;09;Sudoeste Comunidad;31.17;20.0;2360.0;6810.0;4.0;1840.0;5660.0;22.0;3884.0;7470.0;1.53;176.53;40.67;44.50;27.21;14.20;5.83;1.98;16.53;27.88;39.03;55.50;-7.58;0;0;0;0;90;225;135;19;4.47;244;92.21;7.79;222;368;328;297;308;306;384;523;481;471;416;320;300;286;175;131;81;67;36;5;1;5506;25;3;8;2228.00;0.08;58.91;20.0;1004.0;2630.0
Municipios;0908;Moralzarzal;46.641;280908;11;Sierra Central;43.56;40.0;970.0;10640.0;52.0;608.0;9836.0;66.0;914.0;12174.0;1.46;323.83;41.62;49.94;28.57;14.33;6.81;2.17;15.76;29.26;37.77;50.06;-7.59;0;0;0;0;130;488;358;48;3.79;536;91.04;8.96;468;1006;1058;846;623;577;673;1061;1489;1525;1177;748;831;595;466;409;245;183;87;34;2;14103;14;0;14;1295.10;0.00;1191.42;24.0;478.0;4898.0
Municipios;0915;Morata de Tajuña;34.745;280915;08;Sudeste Comunidad;45.29;130.0;780.0;4540.0;288.0;732.0;4820.0;140.0;1510.0;5350.0;1.60;178.40;43.19;48.55;31.82;18.65;9.23;3.57;14.81;25.16;36.65;51.45;-11.60;0;0;0;0;176;441;265;39;5.91;480;91.88;8.13;334;463;456;381;407;522;536;661;720;632;557;400;508;406;356;282;175;152;101;33;3;8085;121;8;6;2574.99;0.21;126.88;112.0;364.0;2068.0
Municipios;0920;Móstoles;24.488;280920;04;Sur Metropolitano;44.90;110.0;19190.0;159860.0;92.0;14680.0;141660.0;102.0;28036.0;188136.0;0.99;4682.94;44.33;49.92;34.66;22.39;8.83;2.05;13.79;23.27;34.10;50.08;-9.28;636.75;732.2;81.89;53.23;4185;10022;5837;838;5.14;10860;92.28;7.72;8177;10712;10117;9841;10412;12393;15091;18563;18193;13955;13226;10152;12601;13786;14773;9810;4468;2710;1219;352;41;210592;19;0;5;2120.45;0.00;103.03;94.0;6644.0;49600.0
Municipios;0936;Navacerrada;52.561;280936;11;Sierra Central;27.51;10.0;190.0;2650.0;16.0;224.0;3088.0;0.0;200.0;3068.0;1.82;100.92;44.43;53.96;34.01;18.65;8.81;2.98;13.48;24.26;33.37;46.04;1.53;0;0;0;0;39;128;89;5;4.05;133;96.24;3.76;122;200;202;153;144;156;184;233;320;337;268;122;238;173;151;104;88;71;20;7;0;3293;12;0;12;1389.35;0.00;1389.35;0.0;118.0;1442.0
Municipios;0941;Navalafuente;59.831;280941;06;Sierra Norte;12.18;10.0;50.0;660.0;20.0;32.0;1124.0;18.0;72.0;834.0;4.17;137.16;40.39;45.99;28.17;13.16;4.61;1.61;18.18;28.05;37.44;54.01;6.00;0;0;0;0;38;97;59;9;6.48;106;91.51;8.49;91;100;87;78;82;75;132;145;159;139;154;113;97;86;57;27;23;14;11;2;0;1672;14;1;14;649.02;0.04;642.44;18.0;50.0;360.0
Municipios;0954;Navalagamella;56.822;280954;10;Sierra Sur;75.76;40.0;110.0;1070.0;256.0;88.0;1704.0;28.0;94.0;1472.0;5.87;39.73;40.48;45.87;26.93;13.02;5.71;1.66;17.10;28.10;39.22;54.13;2.87;0;0;0;0;62;170;108;9;6.00;179;94.97;5.03;139;209;190;141;166;169;190;259;290;280;251;167;168;112;108;62;60;29;15;6;0;3011;19;1;19;2250.44;0.01;1662.28;24.0;74.0;660.0
Municipios;0967;Navalcarnero;36.609;280967;09;Sudoeste Comunidad;100.84;110.0;3650.0;36180.0;136.0;2828.0;30988.0;140.0;4892.0;40860.0;1.90;316.73;39.08;41.20;23.75;12.66;6.05;2.31;19.65;30.31;40.53;58.80;-15.52;0;0;0;0;637;1413;776;138;4.85;1551;91.10;8.90;1706;2295;1925;1481;1453;1814;2488;3351;3161;2414;1970;2277;1573;1120;993;719;476;443;224;66;6;31955;223;9;27;5178.81;0.29;245.13;86.0;1560.0;8822.0
Municipios;0973;Navarredonda y San Mamés;85.319;280973;06;Sierra Norte;28.47;10.0;10.0;90.0;0.0;8.0;1664.0;6.0;52.0;438.0;6.99;5.37;53.26;66.67;56.21;29.41;14.38;6.54;5.88;11.11;21.57;33.33;0.00;0;0;0;0;2;6;4;0;4.00;6;100.00;0.00;5;0;3;5;5;11;11;7;4;12;19;4;22;18;5;9;3;4;3;2;1;153;10;0;10;553.53;0.00;548.33;6.0;8.0;62.0
Municipios;0992;Navas del Rey;60.506;280992;10;Sierra Sur;50.51;20.0;300.0;1960.0;4.0;124.0;2496.0;16.0;370.0;2726.0;3.77;64.19;43.02;48.06;31.69;18.74;9.56;3.58;14.80;25.83;36.44;51.94;-11.90;0;0;0;0;60;167;107;18;5.70;185;90.27;9.73;153;172;186;172;163;181;228;275;287;244;241;155;179;147;151;119;75;61;46;8;1;3244;46;3;15;1526.99;0.12;1435.98;16.0;164.0;1028.0
Municipios;1006;Nuevo Baztán;48.300;281006;08;Sudeste Comunidad;20.10;20.0;800.0;4580.0;0.0;604.0;4380.0;14.0;716.0;4306.0;3.43;354.17;42.20;48.93;31.04;14.62;5.02;1.36;13.88;25.68;35.97;51.07;5.01;0;0;0;0;129;368;239;30;5.65;398;92.46;7.54;261;388;451;390;351;382;505;571;626;649;629;340;541;405;279;172;89;64;24;9;0;7126;9;0;0;820.50;0.00;0.00;12.0;338.0;2114.0
Municipios;1013;Olmeda de las Fuentes;53.406;281013;08;Sudeste Comunidad;16.52;20.0;50.0;270.0;16.0;32.0;456.0;14.0;34.0;756.0;6.58;24.49;43.61;56.05;32.10;15.06;7.41;2.72;15.31;24.20;32.84;43.95;66.67;153.36;36.85;0;0;7;19;12;1;4.98;20;95.00;5.00;13;24;17;19;19;16;15;30;65;32;41;25;28;16;15;12;7;7;4;0;0;405;9;0;2;737.65;0.00;15.37;12.0;14.0;190.0
Municipios;1028;Orusco de Tajuña;57.456;281028;08;Sudeste Comunidad;21.36;10.0;70.0;830.0;12.0;64.0;844.0;8.0;84.0;1130.0;5.96;66.51;45.24;51.48;34.11;21.52;12.80;6.33;13.01;24.12;34.60;48.52;-5.94;0;0;0;0;31;83;52;12;6.71;95;87.37;12.63;43;78;92;66;67;82;76;122;125;122;105;64;74;66;58;57;35;47;33;9;1;1422;35;5;4;352.59;0.22;8.98;8.0;50.0;292.0
Municipios;1049;Paracuellos de Jarama;24.676;281049;03;Este Metropolitano;43.78;30.0;2960.0;22740.0;28.0;2928.0;21940.0;48.0;5808.0;26902.0;1.49;617.07;36.75;40.53;18.07;8.61;3.64;1.04;23.29;35.02;41.72;59.47;-6.12;191.93;119.82;0;0;267;760;493;53;3.01;813;93.48;6.52;1320;2691;1969;1203;832;979;1804;2993;3460;2614;1552;2285;1004;726;619;447;255;172;90;16;3;27034;15;1;4;1270.31;0.03;20.12;22.0;1440.0;9922.0
Municipios;1065;Parla;23.672;281065;04;Sur Metropolitano;25.02;140.0;9090.0;65060.0;96.0;8448.0;81680.0;90.0;10254.0;83576.0;2.02;5317.93;39.03;41.14;23.52;13.33;4.80;1.07;18.58;29.77;41.10;58.86;-8.88;53.51;93.64;150.04;180.05;3567;7718;4151;662;6.30;8380;92.10;7.90;6196;9810;7843;7021;7041;8010;9770;13824;13610;9788;7421;8682;6114;6108;5234;3337;1613;917;390;96;17;132842;17;0;2;1470.86;0.00;2.41;68.0;3932.0;26100.0
Municipios;1071;Patones;65.895;281071;06;Sierra Norte;35.07;10.0;20.0;480.0;0.0;4.0;1076.0;8.0;16.0;908.0;6.19;16.14;50.70;59.19;44.88;32.51;18.73;11.66;12.37;19.43;26.33;40.81;31.25;0;0;0;0;4;20;16;1;3.71;21;95.24;4.76;23;21;22;18;16;23;42;40;39;42;33;26;37;35;43;20;20;35;21;10;0;566;11;2;5;482.38;0.06;431.51;8.0;12.0;236.0
