Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por estrato de edad. Afiliados a la Seguridad Social de 50 años y más residentes. Unidad: Número. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;1646;Valdetorres de Jarama;312;318;357;392;434;484;507;522;574;619;
Municipios;1659;Valdilecha;172;181;214;241;270;273;313;324;342;367;
Municipios;1662;Valverde de Alcalá;22;26;24;27;41;49;60;63;75;75;
Municipios;1678;Velilla de San Antonio;1026;1086;1202;1317;1411;1536;1651;1711;1883;1984;
Municipios;1684;Vellón (El);129;126;136;132;164;170;190;207;225;247;
Municipios;1697;Venturada;168;186;207;238;266;276;303;336;367;399;
Municipios;1718;Villa del Prado;509;529;588;599;654;723;760;812;862;908;
Municipios;1701;Villaconejos;241;246;264;264;303;325;349;374;409;426;
Municipios;1723;Villalbilla;911;989;1097;1216;1278;1418;1565;1620;1773;1917;
Municipios;1739;Villamanrique de Tajo;45;53;48;59;62;63;67;72;82;80;
Municipios;1744;Villamanta;191;199;214;219;223;240;259;268;298;334;
Municipios;1757;Villamantilla;71;79;86;100;112;136;147;155;187;224;
Municipios;1782;Villanueva de Perales;110;131;147;167;163;188;204;219;236;252;
Municipios;1760;Villanueva de la Cañada;1736;1877;2056;2246;2509;2734;2959;3058;3277;3460;
Municipios;1776;Villanueva del Pardillo;1055;1185;1380;1562;1801;2042;2246;2448;2700;3036;
Municipios;1795;Villar del Olmo;225;235;256;273;300;324;349;358;394;418;
Municipios;1809;Villarejo de Salvanés;544;594;657;704;755;800;827;809;853;904;
Municipios;1816;Villaviciosa de Odón;3086;3174;3294;3427;3564;3783;3933;4027;4198;4384;
Municipios;1821;Villavieja del Lozoya;22;23;27;29;34;45;44;42;42;48;
Municipios;1837;Zarzalejo;131;139;142;164;178;179;203;218;224;252;
Municipios;9999;Sin municipio asignado;37236;40779;45132;50151;56179;62553;66394;69821;77700;86205;
Notas;
Fecha de referencia 1 de enero.;
;
El municipio de residencia según consta en la Seguridad Social.;
;
Sin municipio asignado: Incluye afiliados residentes en la Comunidad de Madrid de los que no consta municipio de residencia, Residentes fuera de la Comunidad de Madrid y No consta o no contesta el municipio de residencia.;
