Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Municipios;1467;Tielmes;343;374;372;349
Municipios;1473;Titulcia;192;192;184;180
Municipios;1489;Torrejón de Ardoz;17167;16958;17489;17416
Municipios;1505;Torrejón de Velasco;750;754;811;817
Municipios;1492;Torrejón de la Calzada;1637;1678;1717;1741
Municipios;1512;Torrelaguna;773;784;802;813
Municipios;1527;Torrelodones;6500;6598;6850;6830
Municipios;1533;Torremocha de Jarama;215;223;202;202
Municipios;1548;Torres de la Alameda;1420;1428;1448;1435
Municipios;9036;Tres Cantos;10156;10033;10358;10404
Municipios;1551;Valdaracete;73;73;72;69
Municipios;1564;Valdeavero;291;288;291;277
Municipios;1570;Valdelaguna;99;103;124;119
Municipios;1586;Valdemanco;132;134;150;137
Municipios;1599;Valdemaqueda;138;126;130;125
Municipios;1603;Valdemorillo;2611;2631;2848;2880
Municipios;1610;Valdemoro;11670;11724;11977;11983
Municipios;1625;Valdeolmos-Alalpardo;840;858;863;888
Municipios;1631;Valdepiélagos;111;122;121;109
Municipios;1646;Valdetorres de Jarama;685;675;708;734
Municipios;1659;Valdilecha;417;429;433;414
Municipios;1662;Valverde de Alcalá;57;57;59;54
Municipios;1678;Velilla de San Antonio;2001;2015;2075;2122
Municipios;1684;Vellón (El);248;252;267;243
Municipios;1697;Venturada;662;693;733;755
Municipios;1718;Villa del Prado;924;932;929;923
Municipios;1701;Villaconejos;576;586;601;587
Municipios;1723;Villalbilla;2120;2128;2237;2231
Municipios;1739;Villamanrique de Tajo;120;131;126;118
Municipios;1744;Villamanta;430;405;425;433
Municipios;1757;Villamantilla;190;206;217;196
Municipios;1782;Villanueva de Perales;290;290;280;281
Municipios;1760;Villanueva de la Cañada;5332;5352;5616;5671
Municipios;1776;Villanueva del Pardillo;3232;3141;3229;3321
Municipios;1795;Villar del Olmo;415;418;413;432
Municipios;1809;Villarejo de Salvanés;1123;1126;1130;1091
Municipios;1816;Villaviciosa de Odón;7251;7171;7441;7587
Municipios;1821;Villavieja del Lozoya;57;56;47;45
Municipios;1837;Zarzalejo;265;262;279;302
