Mercado de trabajo.Gestión del empleo.Contratos registrados.Total.Servicios. Contratos temporales registrados en las oficinas de empleo en servicios. Unidad: Número. Fuente: Estadísticas Mercado de Trabajo. Dirección General del Servicio Público de Empleo. Consejería de Economía, Hacienda y Empleo.;
Serie;;;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Municipios;0626;Garganta de los Montes;41;21;26;5;21;60;40;39;26;23;28;13;34;19;21;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;33;31;27;22;27;32;45;35;42;68;55;27;68;59;41;
Municipios;0647;Gascones;22;9;19;6;12;20;18;40;34;25;18;22;41;10;23;
Municipios;0650;Getafe;26082;28605;26508;24830;25367;28454;30799;30993;40767;40569;48286;49339;62868;45469;35736;
Municipios;0663;Griñón;1043;1310;1117;978;1215;1148;1663;1625;1676;1597;1757;1015;1265;724;685;
Municipios;0679;Guadalix de la Sierra;895;946;511;508;555;673;1288;986;798;744;1026;466;791;649;316;
Municipios;0685;Guadarrama;1532;1787;1787;1502;1923;2501;2074;2048;1890;3058;2233;1643;2226;1859;1836;
Municipios;0698;Hiruela (La);29;33;37;16;23;30;19;23;38;19;40;20;36;28;15;
Municipios;0702;Horcajo de la Sierra-Aoslos;105;111;109;40;25;37;49;115;49;51;39;41;23;36;33;
Municipios;0719;Horcajuelo de la Sierra;39;110;75;35;22;29;27;27;18;34;23;16;52;45;25;
Municipios;0724;Hoyo de Manzanares;256;226;271;247;395;354;519;374;323;381;336;358;447;739;236;
Municipios;0730;Humanes de Madrid;1917;1984;2110;1971;2019;2257;2363;2610;2644;3002;4416;2188;3132;2159;1242;
Municipios;0745;Leganés;20459;20958;20384;18798;18874;23084;25022;28090;29939;30317;33352;21017;25948;15971;16497;
Municipios;0758;Loeches;1648;2643;2606;1249;1103;656;887;826;728;767;1172;673;956;505;551;
Municipios;0761;Lozoya;601;576;2131;1613;1829;603;835;1562;1166;874;683;627;617;355;352;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;114;83;148;66;71;122;131;145;108;120;238;183;285;245;211;
Municipios;0783;Madarcos;288;305;279;346;281;305;371;392;416;471;397;389;276;203;238;
Municipios;0796;Madrid;774875;812378;844564;796483;811047;902829;1035384;1131647;1234115;1309993;1377303;768889;1024303;798088;657690;
Municipios;0800;Majadahonda;7371;7674;7847;9605;11594;12891;12955;13663;12777;13781;12616;8694;11888;7792;7392;
